   9552 root      20   0   10.5g 486620  28924 S 133.3   3.0   3:03.69 java
   9552 root      20   0   10.5g 486684  28924 S 231.0   3.0   3:06.00 java
   9552 root      20   0   10.5g 486684  28924 S 225.0   3.0   3:08.25 java
   9552 root      20   0   10.5g 486684  28924 S 223.0   3.0   3:10.48 java
   9552 root      20   0   10.5g 486684  28924 S 222.0   3.0   3:12.70 java
   9552 root      20   0   10.5g 486912  28924 S 221.8   3.0   3:14.94 java
   9552 root      20   0   10.5g 486912  28924 S 223.0   3.0   3:17.17 java
   9552 root      20   0   10.5g 486944  28924 S 225.0   3.0   3:19.42 java
   9552 root      20   0   10.5g 486944  28924 S 221.0   3.0   3:21.63 java
   9552 root      20   0   10.5g 486944  28924 S 226.0   3.0   3:23.89 java
   9552 root      20   0   10.5g 487392  28924 S 225.0   3.0   3:26.14 java
   9552 root      20   0   10.5g 487596  28924 S 221.0   3.0   3:28.35 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   3:30.58 java
   9552 root      20   0   10.5g 487708  28924 S 224.0   3.0   3:32.82 java
   9552 root      20   0   10.5g 487708  28924 S 225.0   3.0   3:35.07 java
   9552 root      20   0   10.5g 487708  28924 S 219.8   3.0   3:37.29 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   3:39.52 java
   9552 root      20   0   10.5g 487708  28924 S 225.0   3.0   3:41.77 java
   9552 root      20   0   10.5g 487708  28924 S 222.0   3.0   3:43.99 java
   9552 root      20   0   10.5g 487708  28924 S 224.0   3.0   3:46.23 java
   9552 root      20   0   10.5g 487708  28924 S 225.0   3.0   3:48.48 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   3:50.71 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   3:52.94 java
   9552 root      20   0   10.5g 487708  28924 S 224.0   3.0   3:55.18 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   3:57.41 java
   9552 root      20   0   10.5g 487708  28924 S 221.8   3.0   3:59.65 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   4:01.88 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   4:04.11 java
   9552 root      20   0   10.5g 487708  28924 S 222.0   3.0   4:06.33 java
   9552 root      20   0   10.5g 487708  28924 S 224.0   3.0   4:08.57 java
   9552 root      20   0   10.5g 487708  28924 S 225.0   3.0   4:10.82 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   4:13.05 java
   9552 root      20   0   10.5g 487708  28924 S 222.0   3.0   4:15.27 java
   9552 root      20   0   10.5g 487708  28924 S 225.0   3.0   4:17.52 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   4:19.75 java
   9552 root      20   0   10.5g 487708  28924 S 221.8   3.0   4:21.99 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   4:24.22 java
   9552 root      20   0   10.5g 487708  28924 S 225.0   3.0   4:26.47 java
   9552 root      20   0   10.5g 487708  28924 S 224.0   3.0   4:28.71 java
   9552 root      20   0   10.5g 487708  28924 S 222.0   3.0   4:30.93 java
   9552 root      20   0   10.5g 487708  28924 S 225.0   3.0   4:33.18 java
   9552 root      20   0   10.5g 487708  28924 S 222.0   3.0   4:35.40 java
   9552 root      20   0   10.5g 487708  28924 S 222.0   3.0   4:37.62 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   4:39.85 java
   9552 root      20   0   10.5g 487708  28924 S 226.0   3.0   4:42.11 java
   9552 root      20   0   10.5g 487708  28924 S 219.8   3.0   4:44.33 java
   9552 root      20   0   10.5g 487708  28924 S 223.0   3.0   4:46.56 java
   9552 root      20   0   10.5g 487924  28924 S 225.0   3.0   4:48.81 java
   9552 root      20   0   10.5g 487924  28924 S 221.0   3.0   4:51.02 java
   9552 root      20   0   10.5g 488188  28924 S 223.0   3.0   4:53.25 java
   9552 root      20   0   10.5g 488188  28924 S 224.0   3.0   4:55.49 java
   9552 root      20   0   10.5g 488188  28924 S 223.0   3.0   4:57.72 java
   9552 root      20   0   10.5g 488188  28924 S 222.0   3.0   4:59.94 java
   9552 root      20   0   10.5g 488188  28924 S 225.0   3.0   5:02.
