  10703 root      20   0   10.4g 638404  29004 S 186.7   3.9  32:44.38 java
  10703 root      20   0   10.4g 638508  29004 S 402.0   3.9  32:48.40 java
  10703 root      20   0   10.4g 638508  29004 S 393.1   3.9  32:52.37 java
  10703 root      20   0   10.4g 638508  29004 S 399.0   3.9  32:56.36 java
  10703 root      20   0   10.4g 638508  29004 S 397.0   3.9  33:00.33 java
  10703 root      20   0   10.4g 638748  29004 S 399.0   3.9  33:04.32 java
  10703 root      20   0   10.4g 639220  29004 S 391.0   3.9  33:08.23 java
  10703 root      20   0   10.4g 639220  29004 S 397.0   3.9  33:12.20 java
  10703 root      20   0   10.4g 716164  29004 S 395.0   4.4  33:16.15 java
  10703 root      20   0   10.4g 716376  29004 S 395.0   4.4  33:20.10 java
  10703 root      20   0   10.4g 716376  29004 S 399.0   4.4  33:24.09 java
  10703 root      20   0   10.4g 716376  29004 S 389.1   4.4  33:28.02 java
  10703 root      20   0   10.4g 716376  29004 S 397.0   4.4  33:31.99 java
  10703 root      20   0   10.4g 716376  29004 S 399.0   4.4  33:35.98 java
  10703 root      20   0   10.4g 716376  29004 S 398.0   4.4  33:39.96 java
  10703 root      20   0   10.4g 716376  29004 S 390.0   4.4  33:43.86 java
  10703 root      20   0   10.4g 716376  29004 S 386.0   4.4  33:47.72 java
  10703 root      20   0   10.4g 716376  29004 S 399.0   4.4  33:51.71 java
  10703 root      20   0   10.4g 716376  29004 S 398.0   4.4  33:55.69 java
  10703 root      20   0   10.4g 716376  29004 S 396.0   4.4  33:59.65 java
  10703 root      20   0   10.4g 716376  29004 S 397.0   4.4  34:03.62 java
  10703 root      20   0   10.4g 716376  29004 S 395.0   4.4  34:07.61 java
  10703 root      20   0   10.4g 716376  29004 S 396.0   4.4  34:11.57 java
  10703 root      20   0   10.4g 716376  29004 S 397.0   4.4  34:15.54 java
  10703 root      20   0   10.4g 716376  29004 S 394.0   4.4  34:19.48 java
  10703 root      20   0   10.4g 716376  29004 S 396.0   4.4  34:23.44 java
  10703 root      20   0   10.4g 716588  29004 S 399.0   4.4  34:27.43 java
  10703 root      20   0   10.4g 716588  29004 S 400.0   4.4  34:31.43 java
  10703 root      20   0   10.4g 716588  29004 S 398.0   4.4  34:35.41 java
  10703 root      20   0   10.4g 716588  29004 S 400.0   4.4  34:39.41 java
  10703 root      20   0   10.4g 716816  29004 S 396.0   4.4  34:43.37 java
  10703 root      20   0   10.4g 716816  29004 S 396.0   4.4  34:47.33 java
  10703 root      20   0   10.4g 716816  29004 S 393.1   4.4  34:51.30 java
  10703 root      20   0   10.4g 716816  29004 S 397.0   4.4  34:55.27 java
  10703 root      20   0   10.4g 716816  29004 S 400.0   4.4  34:59.27 java
  10703 root      20   0   10.4g 716816  29004 S 396.0   4.4  35:03.23 java
  10703 root      20   0   10.4g 716816  29004 S 395.0   4.4  35:07.18 java
  10703 root      20   0   10.4g 716816  29004 S 401.0   4.4  35:11.19 java
  10703 root      20   0   10.4g 717068  29004 S 399.0   4.4  35:15.18 java
  10703 root      20   0   10.4g 717068  29004 S 390.0   4.4  35:19.08 java
  10703 root      20   0   10.4g 717068  29004 S 392.0   4.4  35:23.00 java
  10703 root      20   0   10.4g 717068  29004 S 393.0   4.4  35:26.93 java
  10703 root      20   0   10.4g 717068  29004 S 393.1   4.4  35:30.90 java
  10703 root      20   0   10.4g 717068  29004 S 394.0   4.4  35:34.84 java
  10703 root      20   0   10.4g 717068  29004 S 401.0   4.4  35:38.85 java
  10703 root      20   0   10.4g 717068  29004 S 397.0   4.4  35:42.82 java
  10703 root      20   0   10.4g 717300  29004 S 396.0   4.4  35:46.78 java
  10703 root      20   0   10.4g 717300  29004 S 397.0   4.4  35:50.75 java
  10703 root      20   0   10.4g 717300  29004 S 396.0   4.4  35:54.71 java
  10703 root      20   0   10.4g 717300  29004 S 395.0   4.4  35:58.66 java
  10703 root      20   0   10.4g 717300  29004 S 393.0   4.4  36:02.59 java
  10703 root      20   0   10.4g 717300  29004 S 390.1   4.4  36:06.53 java
  10703 root      20   0   10.4g 717300  29004 S 398.0   4.4  36:10.51 java
  10703 root      20   0   10.4g 717300  29004 S 398.0   4.4  36:14.
