  10703 root      20   0   10.4g 509192  29004 S 206.7   3.1   1:59.55 java
  10703 root      20   0   10.4g 512712  29004 S 310.0   3.1   2:02.65 java
  10703 root      20   0   10.4g 512836  29004 S 102.0   3.1   2:03.68 java
  10703 root      20   0   10.4g 512836  29004 S  92.0   3.1   2:04.60 java
  10703 root      20   0   10.4g 512836  29004 S  92.0   3.1   2:05.52 java
  10703 root      20   0   10.4g 512832  29004 S  97.0   3.1   2:06.49 java
  10703 root      20   0   10.4g 512832  29004 S  92.0   3.1   2:07.41 java
  10703 root      20   0   10.4g 512832  29004 S  89.0   3.1   2:08.30 java
  10703 root      20   0   10.4g 512832  29004 S  92.0   3.1   2:09.22 java
  10703 root      20   0   10.4g 512832  29004 S  90.0   3.1   2:10.12 java
  10703 root      20   0   10.4g 512928  29004 S  92.0   3.1   2:11.04 java
  10703 root      20   0   10.4g 512928  29004 S  90.0   3.1   2:11.94 java
  10703 root      20   0   10.4g 512928  29004 S  88.1   3.1   2:12.83 java
  10703 root      20   0   10.4g 512928  29004 S  91.0   3.1   2:13.74 java
  10703 root      20   0   10.4g 512928  29004 S  90.0   3.1   2:14.64 java
  10703 root      20   0   10.4g 512964  29004 S  89.0   3.1   2:15.53 java
  10703 root      20   0   10.4g 512964  29004 S  90.0   3.1   2:16.43 java
  10703 root      20   0   10.4g 512964  29004 S  90.0   3.1   2:17.33 java
  10703 root      20   0   10.4g 512964  29004 S  89.0   3.1   2:18.22 java
  10703 root      20   0   10.4g 512964  29004 S  90.0   3.1   2:19.12 java
  10703 root      20   0   10.4g 513840  29004 S  89.0   3.1   2:20.01 java
  10703 root      20   0   10.4g 513840  29004 S  89.1   3.1   2:20.91 java
  10703 root      20   0   10.4g 513840  29004 S  90.0   3.1   2:21.81 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:22.68 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:23.56 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:24.44 java
  10703 root      20   0   10.4g 513840  29004 S  89.0   3.1   2:25.33 java
  10703 root      20   0   10.4g 513840  29004 S  89.0   3.1   2:26.22 java
  10703 root      20   0   10.4g 513840  29004 S  89.0   3.1   2:27.11 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:27.99 java
  10703 root      20   0   10.4g 513840  29004 S  89.0   3.1   2:28.88 java
  10703 root      20   0   10.4g 513840  29004 S  87.1   3.1   2:29.76 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:30.63 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:31.51 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:32.39 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:33.27 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:34.15 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:35.03 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:35.90 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:36.78 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:37.65 java
  10703 root      20   0   10.4g 513840  29004 S  87.1   3.1   2:38.53 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:39.40 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:40.27 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:41.15 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:42.02 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:42.89 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:43.76 java
  10703 root      20   0   10.4g 513840  29004 S  86.0   3.1   2:44.62 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:45.50 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:46.38 java
  10703 root      20   0   10.4g 513840  29004 S  85.1   3.1   2:47.24 java
  10703 root      20   0   10.4g 513840  29004 S  88.0   3.1   2:48.12 java
  10703 root      20   0   10.4g 513840  29004 S  87.0   3.1   2:48.
