  10058 root      20   0   13.7g 534448  29400 S 100.0   3.3   3:16.62 java
  10058 root      20   0   13.7g 534532  29400 S 218.0   3.3   3:18.80 java
  10058 root      20   0   13.7g 534532  29400 S 246.0   3.3   3:21.26 java
  10058 root      20   0   13.7g 535832  29400 S 251.0   3.3   3:23.77 java
  10058 root      20   0   13.7g 536300  29400 S 247.0   3.3   3:26.24 java
  10058 root      20   0   13.7g 536496  29400 S 247.5   3.3   3:28.74 java
  10058 root      20   0   13.7g 536688  29400 S 248.0   3.3   3:31.22 java
  10058 root      20   0   13.7g 536688  29400 S 252.0   3.3   3:33.74 java
  10058 root      20   0   13.7g 536688  29400 S 253.0   3.3   3:36.27 java
  10058 root      20   0   13.7g 536688  29400 S 247.0   3.3   3:38.74 java
  10058 root      20   0   13.7g 536688  29400 S 246.0   3.3   3:41.20 java
  10058 root      20   0   13.7g 537112  29400 S 252.0   3.3   3:43.72 java
  10058 root      20   0   13.7g 537112  29400 S 249.0   3.3   3:46.21 java
  10058 root      20   0   13.7g 537112  29400 S 244.0   3.3   3:48.65 java
  10058 root      20   0   13.7g 537112  29400 S 248.0   3.3   3:51.13 java
  10058 root      20   0   13.7g 538356  29400 S 249.5   3.3   3:53.65 java
  10058 root      20   0   13.7g 539960  29400 S 256.0   3.3   3:56.21 java
  10058 root      20   0   13.7g 539960  29400 S 255.0   3.3   3:58.76 java
  10058 root      20   0   13.7g 539960  29400 S 249.0   3.3   4:01.25 java
  10058 root      20   0   13.7g 539960  29400 S 252.0   3.3   4:03.77 java
  10058 root      20   0   13.7g 539960  29400 S 255.0   3.3   4:06.32 java
  10058 root      20   0   13.7g 539960  29400 S 250.0   3.3   4:08.82 java
  10058 root      20   0   13.7g 539960  29400 S 247.0   3.3   4:11.29 java
  10058 root      20   0   13.7g 539960  29400 S 255.0   3.3   4:13.84 java
  10058 root      20   0   13.7g 540140  29400 S 247.0   3.3   4:16.31 java
  10058 root      20   0   13.7g 540140  29400 S 241.6   3.3   4:18.75 java
  10058 root      20   0   13.7g 540140  29400 S 245.0   3.3   4:21.20 java
  10058 root      20   0   13.7g 540288  29400 S 244.0   3.3   4:23.64 java
  10058 root      20   0   13.7g 540828  29400 S 248.0   3.3   4:26.12 java
  10058 root      20   0   13.7g 540828  29400 S 244.0   3.3   4:28.56 java
  10058 root      20   0   13.7g 540828  29400 S 253.0   3.3   4:31.09 java
  10058 root      20   0   13.7g 540828  29400 S 249.0   3.3   4:33.58 java
  10058 root      20   0   13.7g 541092  29400 S 251.0   3.3   4:36.09 java
  10058 root      20   0   13.7g 541092  29400 S 252.0   3.3   4:38.61 java
  10058 root      20   0   13.7g 541092  29400 S 255.0   3.3   4:41.16 java
  10058 root      20   0   13.7g 541092  29400 S 255.4   3.3   4:43.74 java
  10058 root      20   0   13.7g 541248  29400 S 249.0   3.3   4:46.23 java
  10058 root      20   0   13.7g 541248  29400 S 251.0   3.3   4:48.74 java
  10058 root      20   0   13.7g 541356  29400 S 254.0   3.3   4:51.28 java
  10058 root      20   0   13.7g 541356  29400 S 253.0   3.3   4:53.81 java
  10058 root      20   0   13.7g 541356  29400 S 256.0   3.3   4:56.37 java
  10058 root      20   0   13.7g 541356  29400 S 251.0   3.3   4:58.88 java
  10058 root      20   0   13.7g 541356  29400 S 253.0   3.3   5:01.41 java
  10058 root      20   0   13.7g 542960  29400 S 246.0   3.3   5:03.87 java
  10058 root      20   0   13.7g 542960  29400 S 245.0   3.3   5:06.32 java
  10058 root      20   0   13.7g 542960  29400 S 243.6   3.3   5:08.78 java
  10058 root      20   0   13.7g 542960  29400 S 247.0   3.3   5:11.25 java
  10058 root      20   0   13.7g 542960  29400 S 252.0   3.3   5:13.77 java
  10058 root      20   0   13.7g 542960  29400 S 256.0   3.3   5:16.33 java
  10058 root      20   0   13.7g 542960  29400 S 251.0   3.3   5:18.84 java
  10058 root      20   0   13.7g 542960  29400 S 254.0   3.3   5:21.38 java
  10058 root      20   0   13.7g 542960  29400 S 251.0   3.3   5:23.89 java
  10058 root      20   0   13.7g 543088  29400 S 254.0   3.3   5:26.43 java
  10058 root      20   0   13.7g 543088  29400 S 257.0   3.3   5:29.
