  10058 root      20   0   13.7g 556708  29400 S 206.7   3.4  14:43.98 java
  10058 root      20   0   13.7g 558388  29400 S 414.0   3.4  14:48.12 java
  10058 root      20   0   13.7g 559172  29400 S 399.0   3.4  14:52.11 java
  10058 root      20   0   13.7g 559344  29400 S 401.0   3.4  14:56.12 java
  10058 root      20   0   13.7g 559344  29400 S 400.0   3.4  15:00.12 java
  10058 root      20   0   13.7g 568920  29400 S 400.0   3.5  15:04.12 java
  10058 root      20   0   13.7g 613480  29400 S 399.0   3.7  15:08.11 java
  10058 root      20   0   13.7g 613480  29400 S 397.0   3.7  15:12.12 java
  10058 root      20   0   13.7g 618368  29400 S 400.0   3.8  15:16.12 java
  10058 root      20   0   13.7g 618368  29400 S 400.0   3.8  15:20.12 java
  10058 root      20   0   13.7g 618368  29400 S 399.0   3.8  15:24.11 java
  10058 root      20   0   13.7g 619112  29400 S 401.0   3.8  15:28.12 java
  10058 root      20   0   13.7g 685912  29400 S 399.0   4.2  15:32.11 java
  10058 root      20   0   13.7g 685912  29400 S 401.0   4.2  15:36.12 java
  10058 root      20   0   13.7g 685912  29400 S 400.0   4.2  15:40.12 java
  10058 root      20   0   13.7g 685912  29400 S 396.0   4.2  15:44.12 java
  10058 root      20   0   13.7g 685912  29400 S 399.0   4.2  15:48.11 java
  10058 root      20   0   13.7g 685912  29400 S 401.0   4.2  15:52.12 java
  10058 root      20   0   13.7g 685912  29400 S 399.0   4.2  15:56.11 java
  10058 root      20   0   13.7g 685912  29400 S 401.0   4.2  16:00.12 java
  10058 root      20   0   13.7g 685912  29400 S 399.0   4.2  16:04.11 java
  10058 root      20   0   13.7g 686172  29400 S 401.0   4.2  16:08.12 java
  10058 root      20   0   13.7g 686172  29400 S 396.0   4.2  16:12.12 java
  10058 root      20   0   13.7g 686172  29400 S 400.0   4.2  16:16.12 java
  10058 root      20   0   13.7g 686432  29400 S 402.0   4.2  16:20.14 java
  10058 root      20   0   13.7g 686432  29400 S 400.0   4.2  16:24.14 java
  10058 root      20   0   13.7g 686432  29400 S 401.0   4.2  16:28.15 java
  10058 root      20   0   13.7g 686432  29400 S 402.0   4.2  16:32.17 java
  10058 root      20   0   13.7g 686432  29400 S 400.0   4.2  16:36.17 java
  10058 root      20   0   13.7g 686432  29400 S 401.0   4.2  16:40.18 java
  10058 root      20   0   13.7g 686432  29400 S 402.0   4.2  16:44.20 java
  10058 root      20   0   13.7g 686432  29400 S 399.0   4.2  16:48.19 java
  10058 root      20   0   13.7g 686432  29400 S 398.0   4.2  16:52.21 java
  10058 root      20   0   13.7g 686432  29400 S 401.0   4.2  16:56.22 java
  10058 root      20   0   13.7g 686432  29400 S 399.0   4.2  17:00.21 java
  10058 root      20   0   13.7g 686464  29400 S 402.0   4.2  17:04.23 java
  10058 root      20   0   13.7g 686464  29400 S 400.0   4.2  17:08.23 java
  10058 root      20   0   13.7g 686464  29400 S 404.0   4.2  17:12.27 java
  10058 root      20   0   13.7g 686464  29400 S 398.0   4.2  17:16.25 java
  10058 root      20   0   13.7g 686516  29400 S 402.0   4.2  17:20.27 java
  10058 root      20   0   13.7g 686876  29400 S 402.0   4.2  17:24.29 java
  10058 root      20   0   13.7g 686876  29400 S 397.0   4.2  17:28.26 java
  10058 root      20   0   13.7g 686876  29400 S 402.0   4.2  17:32.32 java
  10058 root      20   0   13.7g 686876  29400 S 401.0   4.2  17:36.33 java
  10058 root      20   0   13.7g 686876  29400 S 401.0   4.2  17:40.34 java
  10058 root      20   0   13.7g 686876  29400 S 400.0   4.2  17:44.34 java
  10058 root      20   0   13.7g 686876  29400 S 399.0   4.2  17:48.33 java
  10058 root      20   0   13.7g 686876  29400 S 401.0   4.2  17:52.34 java
  10058 root      20   0   13.7g 686876  29400 S 401.0   4.2  17:56.35 java
  10058 root      20   0   13.7g 686876  29400 S 403.0   4.2  18:00.38 java
  10058 root      20   0   13.7g 686876  29400 S 399.0   4.2  18:04.37 java
  10058 root      20   0   13.7g 686876  29400 S 400.0   4.2  18:08.37 java
  10058 root      20   0   13.7g 687296  29400 S 398.0   4.2  18:12.39 java
  10058 root      20   0   13.7g 687392  29400 S 401.0   4.2  18:16.
