   5913 root      20   0   10.5g 388860  28896 S 120.0   2.4   0:47.47 java
   5913 root      20   0   10.5g 395884  28896 S 110.0   2.4   0:48.57 java
   5913 root      20   0   10.5g 395892  28896 S  52.0   2.4   0:49.09 java
   5913 root      20   0   10.5g 395892  28896 S  50.0   2.4   0:49.59 java
   5913 root      20   0   10.5g 395892  28896 S  50.0   2.4   0:50.09 java
   5913 root      20   0   10.5g 395892  28896 S  53.0   2.4   0:50.62 java
   5913 root      20   0   10.5g 395892  28896 S  48.0   2.4   0:51.10 java
   5913 root      20   0   10.5g 395892  28896 S  48.0   2.4   0:51.58 java
   5913 root      20   0   10.5g 389104  28896 S  49.0   2.4   0:52.07 java
   5913 root      20   0   10.5g 389104  28896 S  48.0   2.4   0:52.55 java
   5913 root      20   0   10.5g 389232  28896 S  48.5   2.4   0:53.04 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   0:53.51 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   0:53.98 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   0:54.45 java
   5913 root      20   0   10.5g 389232  28896 S  48.0   2.4   0:54.93 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   0:55.40 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   0:55.87 java
   5913 root      20   0   10.5g 389232  28896 S  49.0   2.4   0:56.36 java
   5913 root      20   0   10.5g 389232  28896 S  48.0   2.4   0:56.84 java
   5913 root      20   0   10.5g 389232  28896 S  46.5   2.4   0:57.31 java
   5913 root      20   0   10.5g 389232  28896 S  48.0   2.4   0:57.79 java
   5913 root      20   0   10.5g 389232  28896 S  49.0   2.4   0:58.28 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   0:58.75 java
   5913 root      20   0   10.5g 389232  28896 S  48.0   2.4   0:59.23 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   0:59.70 java
   5913 root      20   0   10.5g 389232  28896 S  48.0   2.4   1:00.18 java
   5913 root      20   0   10.5g 389232  28896 S  48.0   2.4   1:00.66 java
   5913 root      20   0   10.5g 389232  28896 S  47.5   2.4   1:01.14 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   1:01.61 java
   5913 root      20   0   10.5g 389232  28896 S  48.0   2.4   1:02.09 java
   5913 root      20   0   10.5g 389232  28896 S  46.0   2.4   1:02.55 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   1:03.02 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   1:03.49 java
   5913 root      20   0   10.5g 389232  28896 S  47.0   2.4   1:03.96 java
   5913 root      20   0   10.5g 389456  28896 S  48.0   2.4   1:04.44 java
   5913 root      20   0   10.5g 389456  28896 S  47.0   2.4   1:04.91 java
   5913 root      20   0   10.5g 389456  28896 S  46.0   2.4   1:05.37 java
   5913 root      20   0   10.5g 389456  28896 S  49.5   2.4   1:05.87 java
   5913 root      20   0   10.5g 389456  28896 S  49.0   2.4   1:06.36 java
   5913 root      20   0   10.5g 389456  28896 S  48.0   2.4   1:06.84 java
   5913 root      20   0   10.5g 389456  28896 S  49.0   2.4   1:07.33 java
   5913 root      20   0   10.5g 389456  28896 S  47.0   2.4   1:07.80 java
   5913 root      20   0   10.5g 389456  28896 S  48.0   2.4   1:08.28 java
   5913 root      20   0   10.5g 389456  28896 S  47.0   2.4   1:08.75 java
   5913 root      20   0   10.5g 389456  28896 S  47.0   2.4   1:09.22 java
   5913 root      20   0   10.5g 389456  28896 S  47.0   2.4   1:09.69 java
   5913 root      20   0   10.5g 389456  28896 S  46.5   2.4   1:10.16 java
   5913 root      20   0   10.5g 389456  28896 S  47.0   2.4   1:10.63 java
   5913 root      20   0   10.5g 389456  28896 S  47.0   2.4   1:11.10 java
   5913 root      20   0   10.5g 389456  28896 S  47.0   2.4   1:11.57 java
   5913 root      20   0   10.5g 389456  28896 S  48.0   2.4   1:12.05 java
   5913 root      20   0   10.5g 389456  28896 S  47.0   2.4   1:12.52 java
   5913 root      20   0   10.5g 389456  28896 S  46.0   2.4   1:12.98 java
   5913 root      20   0   10.5g 389672  28896 S  47.0   2.4   1:13.
