   5808 root      20   0   13.6g 466524  29280 S 146.7   2.8   1:47.78 java
   5808 root      20   0   13.6g 473508  29280 S 177.0   2.9   1:49.55 java
   5808 root      20   0   13.6g 473740  29280 S 111.0   2.9   1:50.66 java
   5808 root      20   0   13.6g 473740  29280 S 112.9   2.9   1:51.80 java
   5808 root      20   0   13.6g 473740  29280 S 107.0   2.9   1:52.87 java
   5808 root      20   0   13.6g 473740  29280 S 107.0   2.9   1:53.94 java
   5808 root      20   0   13.6g 473740  29280 S 108.0   2.9   1:55.02 java
   5808 root      20   0   13.6g 473740  29280 S 107.0   2.9   1:56.09 java
   5808 root      20   0   13.6g 473740  29280 S 107.0   2.9   1:57.16 java
   5808 root      20   0   13.6g 473740  29280 S 106.0   2.9   1:58.22 java
   5808 root      20   0   13.6g 473740  29280 S 107.0   2.9   1:59.29 java
   5808 root      20   0   13.6g 473740  29280 S 111.0   2.9   2:00.40 java
   5808 root      20   0   13.6g 473740  29280 S 106.0   2.9   2:01.46 java
   5808 root      20   0   13.6g 473812  29280 S 114.9   2.9   2:02.62 java
   5808 root      20   0   13.6g 473812  29280 S 105.0   2.9   2:03.67 java
   5808 root      20   0   13.6g 473812  29280 S 107.0   2.9   2:04.74 java
   5808 root      20   0   13.6g 473812  29280 S 108.0   2.9   2:05.82 java
   5808 root      20   0   13.6g 473812  29280 S 106.0   2.9   2:06.88 java
   5808 root      20   0   13.6g 474672  29280 S 107.0   2.9   2:07.95 java
   5808 root      20   0   13.6g 474672  29280 S 104.0   2.9   2:08.99 java
   5808 root      20   0   13.6g 474672  29280 S 106.0   2.9   2:10.05 java
   5808 root      20   0   13.6g 476096  29280 S 106.0   2.9   2:11.11 java
   5808 root      20   0   13.6g 476192  29280 S 107.0   2.9   2:12.18 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:13.23 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:14.27 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:15.31 java
   5808 root      20   0   13.6g 476436  29280 S 105.0   2.9   2:16.36 java
   5808 root      20   0   13.6g 476436  29280 S 109.0   2.9   2:17.45 java
   5808 root      20   0   13.6g 476436  29280 S 105.0   2.9   2:18.50 java
   5808 root      20   0   13.6g 476436  29280 S 105.0   2.9   2:19.55 java
   5808 root      20   0   13.6g 476436  29280 S 106.0   2.9   2:20.61 java
   5808 root      20   0   13.6g 476436  29280 S 105.0   2.9   2:21.66 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:22.71 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:23.75 java
   5808 root      20   0   13.6g 476436  29280 S 105.0   2.9   2:24.80 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:25.84 java
   5808 root      20   0   13.6g 476436  29280 S 105.0   2.9   2:26.89 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:27.93 java
   5808 root      20   0   13.6g 476436  29280 S 103.0   2.9   2:28.96 java
   5808 root      20   0   13.6g 476436  29280 S 106.0   2.9   2:30.02 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:31.06 java
   5808 root      20   0   13.6g 476436  29280 S 105.0   2.9   2:32.11 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:33.16 java
   5808 root      20   0   13.6g 476436  29280 S 104.0   2.9   2:34.20 java
   5808 root      20   0   13.6g 476436  29280 S 105.0   2.9   2:35.25 java
   5808 root      20   0   13.6g 476436  29280 S 105.0   2.9   2:36.30 java
   5808 root      20   0   13.6g 476436  29280 S 103.0   2.9   2:37.33 java
   5808 root      20   0   13.6g 476552  29280 S 115.0   2.9   2:38.48 java
   5808 root      20   0   13.6g 476552  29280 S 107.0   2.9   2:39.55 java
   5808 root      20   0   13.6g 476552  29280 S 104.0   2.9   2:40.59 java
   5808 root      20   0   13.6g 476552  29280 S 104.0   2.9   2:41.63 java
   5808 root      20   0   13.6g 476552  29280 S 106.0   2.9   2:42.69 java
   5808 root      20   0   13.6g 476772  29280 S 104.0   2.9   2:43.74 java
   5808 root      20   0   13.6g 476772  29280 S 105.0   2.9   2:44.
