   6396 root      20   0   12.4g 203296  28724 S 500.0   1.2   0:05.68 java
   6396 root      20   0   13.7g 254820  28724 S 400.0   1.6   0:09.68 java
   6396 root      20   0   13.7g 281484  28724 S 400.0   1.7   0:13.68 java
   6396 root      20   0   13.7g 310032  28724 S 399.0   1.9   0:17.67 java
   6396 root      20   0   13.7g 367404  28724 S 401.0   2.2   0:21.68 java
   6396 root      20   0   13.7g 438180  28724 S 400.0   2.7   0:25.68 java
   6396 root      20   0   13.7g 468452  28724 S 400.0   2.9   0:29.68 java
   6396 root      20   0   13.7g 531740  28724 S 401.0   3.2   0:33.69 java
   6396 root      20   0   13.7g 578864  28724 S 395.0   3.5   0:37.68 java
   6396 root      20   0   13.7g 637996  28788 S 401.0   3.9   0:41.69 java
   6396 root      20   0   13.7g 643360  28788 S 399.0   3.9   0:45.68 java
   6396 root      20   0   13.7g 644856  28788 S 400.0   3.9   0:49.68 java
   6396 root      20   0   13.7g 643096  28788 S 379.0   3.9   0:53.47 java
   6396 root      20   0   13.7g 643096  28788 S 105.0   3.9   0:54.52 java
   6396 root      20   0   13.7g 618732  28788 S 109.0   3.8   0:55.61 java
   6396 root      20   0   13.7g 618732  28788 S 104.0   3.8   0:56.65 java
   6396 root      20   0   13.7g 618996  28788 S 109.0   3.8   0:57.74 java
   6396 root      20   0   13.7g 618996  28788 S 109.0   3.8   0:58.83 java
   6396 root      20   0   13.7g 618996  28788 S 103.0   3.8   0:59.87 java
   6396 root      20   0   13.7g 618996  28788 S 108.0   3.8   1:00.95 java
   6396 root      20   0   13.7g 619260  28788 S 104.0   3.8   1:01.99 java
   6396 root      20   0   13.7g 619260  28788 S 107.0   3.8   1:03.06 java
   6396 root      20   0   13.7g 619260  28788 S 104.0   3.8   1:04.10 java
   6396 root      20   0   13.7g 620044  28788 S 106.0   3.8   1:05.16 java
   6396 root      20   0   13.7g 620044  28788 S 103.0   3.8   1:06.19 java
   6396 root      20   0   13.7g 620496  28788 S 107.0   3.8   1:07.26 java
   6396 root      20   0   13.7g 620496  28788 S 104.0   3.8   1:08.30 java
   6396 root      20   0   13.7g 623860  28788 S 107.0   3.8   1:09.37 java
   6396 root      20   0   13.7g 623860  28788 S 105.9   3.8   1:10.44 java
   6396 root      20   0   13.7g 623860  28788 S 107.0   3.8   1:11.51 java
   6396 root      20   0   13.7g 623860  28788 S 107.0   3.8   1:12.58 java
   6396 root      20   0   13.7g 623860  28788 S 107.0   3.8   1:13.65 java
   6396 root      20   0   13.7g 623860  28788 S 104.0   3.8   1:14.69 java
   6396 root      20   0   13.7g 623912  28788 S 106.0   3.8   1:15.75 java
   6396 root      20   0   13.7g 623912  28788 S 105.0   3.8   1:16.80 java
   6396 root      20   0   13.7g 623912  28788 S 106.0   3.8   1:17.86 java
   6396 root      20   0   13.7g 623912  28788 S 105.0   3.8   1:18.91 java
   6396 root      20   0   13.7g 623912  28788 S 106.0   3.8   1:19.97 java
   6396 root      20   0   13.7g 625580  28788 S 104.0   3.8   1:21.02 java
   6396 root      20   0   13.7g 625580  28788 S 106.0   3.8   1:22.08 java
   6396 root      20   0   13.7g 625580  28788 S 105.0   3.8   1:23.13 java
   6396 root      20   0   13.7g 625580  28788 S 107.0   3.8   1:24.20 java
   6396 root      20   0   13.6g 626896  28788 S 107.0   3.8   1:25.27 java
   6396 root      20   0   13.6g 626896  28788 S 104.0   3.8   1:26.31 java
   6396 root      20   0   13.6g 626896  28788 S 105.0   3.8   1:27.36 java
   6396 root      20   0   13.6g 626896  28788 S 105.0   3.8   1:28.41 java
   6396 root      20   0   13.6g 626896  28788 S 106.0   3.8   1:29.47 java
   6396 root      20   0   13.6g 626896  28788 S 104.0   3.8   1:30.51 java
   6396 root      20   0   13.6g 626896  28788 S 105.0   3.8   1:31.57 java
   6396 root      20   0   13.6g 626896  28788 S 104.0   3.8   1:32.61 java
   6396 root      20   0   13.6g 626896  28788 S 107.0   3.8   1:33.68 java
   6396 root      20   0   13.6g 626896  28788 S 104.0   3.8   1:34.72 java
   6396 root      20   0   13.6g 626896  28788 S 106.0   3.8   1:35.78 java
   6396 root      20   0   13.6g 626896  28788 S 105.0   3.8   1:36.
