   6396 root      20   0   13.6g 666064  28788 S 193.3   4.1  17:42.22 java
   6396 root      20   0   13.6g 666264  28788 S 356.4   4.1  17:45.82 java
   6396 root      20   0   13.6g 666468  28788 S 401.0   4.1  17:49.83 java
   6396 root      20   0   13.6g 666468  28788 S 401.0   4.1  17:53.84 java
   6396 root      20   0   13.6g 666664  28788 S 400.0   4.1  17:57.84 java
   6396 root      20   0   13.6g 666664  28788 S 400.0   4.1  18:01.84 java
   6396 root      20   0   13.6g 666664  28788 S 401.0   4.1  18:05.85 java
   6396 root      20   0   13.6g 666852  28788 S 402.0   4.1  18:09.87 java
   6396 root      20   0   13.6g 667452  28788 S 401.0   4.1  18:13.88 java
   6396 root      20   0   13.6g 667452  28788 S 401.0   4.1  18:17.89 java
   6396 root      20   0   13.6g 667452  28788 S 401.0   4.1  18:21.90 java
   6396 root      20   0   13.6g 667644  28788 S 398.0   4.1  18:25.92 java
   6396 root      20   0   13.6g 667644  28788 S 402.0   4.1  18:29.94 java
   6396 root      20   0   13.6g 667840  28788 S 399.0   4.1  18:33.93 java
   6396 root      20   0   13.6g 668048  28788 S 403.0   4.1  18:37.96 java
   6396 root      20   0   13.6g 668288  28788 S 400.0   4.1  18:41.96 java
   6396 root      20   0   13.6g 668288  28788 S 402.0   4.1  18:45.98 java
   6396 root      20   0   13.6g 669044  28788 S 400.0   4.1  18:49.98 java
   6396 root      20   0   13.6g 669044  28788 S 397.0   4.1  18:53.95 java
   6396 root      20   0   13.6g 669044  28788 S 407.0   4.1  18:58.02 java
   6396 root      20   0   13.6g 669044  28788 S 399.0   4.1  19:02.01 java
   6396 root      20   0   13.6g 669544  28788 S 395.0   4.1  19:06.00 java
   6396 root      20   0   13.6g 669544  28788 S 402.0   4.1  19:10.02 java
   6396 root      20   0   13.6g 670084  28788 S 401.0   4.1  19:14.03 java
   6396 root      20   0   13.6g 670084  28788 S 404.0   4.1  19:18.07 java
   6396 root      20   0   13.6g 670084  28788 S 400.0   4.1  19:22.07 java
   6396 root      20   0   13.6g 670240  28788 S 400.0   4.1  19:26.07 java
   6396 root      20   0   13.6g 670240  28788 S 400.0   4.1  19:30.07 java
   6396 root      20   0   13.6g 670240  28788 S 406.0   4.1  19:34.13 java
   6396 root      20   0   13.6g 670240  28788 S 395.0   4.1  19:38.08 java
   6396 root      20   0   13.6g 670240  28788 S 398.0   4.1  19:42.06 java
   6396 root      20   0   13.6g 670240  28788 S 402.0   4.1  19:46.12 java
   6396 root      20   0   13.6g 670372  28788 S 401.0   4.1  19:50.13 java
   6396 root      20   0   13.6g 670372  28788 S 402.0   4.1  19:54.15 java
   6396 root      20   0   13.6g 670372  28788 S 402.0   4.1  19:58.17 java
   6396 root      20   0   13.6g 670372  28788 S 397.0   4.1  20:02.14 java
   6396 root      20   0   13.6g 670372  28788 S 400.0   4.1  20:06.14 java
   6396 root      20   0   13.6g 670636  28788 S 399.0   4.1  20:10.13 java
   6396 root      20   0   13.6g 670636  28788 S 403.0   4.1  20:14.16 java
   6396 root      20   0   13.6g 670636  28788 S 400.0   4.1  20:18.16 java
   6396 root      20   0   13.6g 670784  28788 S 400.0   4.1  20:22.16 java
   6396 root      20   0   13.6g 670784  28788 S 395.0   4.1  20:26.15 java
   6396 root      20   0   13.6g 670784  28788 S 403.0   4.1  20:30.18 java
   6396 root      20   0   13.6g 670972  28788 S 401.0   4.1  20:34.19 java
   6396 root      20   0   13.6g 670972  28788 S 400.0   4.1  20:38.19 java
   6396 root      20   0   13.6g 670972  28788 S 397.0   4.1  20:42.16 java
   6396 root      20   0   13.6g 671036  28788 S 402.0   4.1  20:46.18 java
   6396 root      20   0   13.6g 671036  28788 S 400.0   4.1  20:50.18 java
   6396 root      20   0   13.6g 671036  28788 S 403.0   4.1  20:54.21 java
   6396 root      20   0   13.6g 671036  28788 S 398.0   4.1  20:58.19 java
   6396 root      20   0   13.6g 671176  28788 S 402.0   4.1  21:02.21 java
   6396 root      20   0   13.6g 671176  28788 S 395.0   4.1  21:06.20 java
   6396 root      20   0   13.6g 671352  28788 S 400.0   4.1  21:10.20 java
   6396 root      20   0   13.6g 671352  28788 S 400.0   4.1  21:14.
