   6396 root      20   0   13.6g 694688  28788 S 433.3   4.2  45:42.28 java
   6396 root      20   0   13.6g 694812  28788 S 400.0   4.2  45:46.28 java
   6396 root      20   0   13.6g 694860  28788 S 396.0   4.2  45:50.28 java
   6396 root      20   0   13.6g 694860  28788 S 400.0   4.2  45:54.28 java
   6396 root      20   0   13.6g 694860  28788 S 400.0   4.2  45:58.28 java
   6396 root      20   0   13.6g 694968  28788 S 400.0   4.2  46:02.28 java
   6396 root      20   0   13.6g 694968  28788 S 400.0   4.2  46:06.28 java
   6396 root      20   0   13.6g 695320  28788 S 400.0   4.2  46:10.28 java
   6396 root      20   0   13.6g 695320  28788 S 400.0   4.2  46:14.28 java
   6396 root      20   0   13.6g 695400  28788 S 396.0   4.2  46:18.28 java
   6396 root      20   0   13.6g 695400  28788 S 400.0   4.2  46:22.28 java
   6396 root      20   0   13.6g 695448  28788 S 400.0   4.2  46:26.28 java
   6396 root      20   0   13.6g 695600  28788 S 400.0   4.2  46:30.28 java
   6396 root      20   0   13.6g 695600  28788 S 400.0   4.2  46:34.28 java
   6396 root      20   0   13.6g 695600  28788 S 400.0   4.2  46:38.28 java
   6396 root      20   0   13.6g 695600  28788 S 400.0   4.2  46:42.28 java
   6396 root      20   0   13.6g 695744  28788 S 400.0   4.2  46:46.28 java
   6396 root      20   0   13.6g 695744  28788 S 397.0   4.2  46:50.29 java
   6396 root      20   0   13.6g 695744  28788 S 401.0   4.2  46:54.30 java
   6396 root      20   0   13.6g 695844  28788 S 400.0   4.2  46:58.30 java
   6396 root      20   0   13.6g 695844  28788 S 401.0   4.2  47:02.31 java
   6396 root      20   0   13.6g 695844  28788 S 402.0   4.2  47:06.33 java
   6396 root      20   0   13.6g 695844  28788 S 400.0   4.2  47:10.33 java
   6396 root      20   0   13.6g 695992  28788 S 401.0   4.2  47:14.34 java
   6396 root      20   0   13.6g 695992  28788 S 399.0   4.2  47:18.33 java
   6396 root      20   0   13.6g 695992  28788 S 405.0   4.2  47:22.38 java
   6396 root      20   0   13.6g 695992  28788 S 397.0   4.2  47:26.35 java
   6396 root      20   0   13.6g 695992  28788 S 401.0   4.2  47:30.40 java
   6396 root      20   0   13.6g 695992  28788 S 396.0   4.2  47:34.36 java
   6396 root      20   0   13.6g 696284  28788 S 405.0   4.2  47:38.41 java
   6396 root      20   0   13.6g 696424  28788 S 398.0   4.3  47:42.39 java
   6396 root      20   0   13.6g 696424  28788 S 404.0   4.3  47:46.43 java
   6396 root      20   0   13.6g 696424  28788 S 398.0   4.3  47:50.41 java
   6396 root      20   0   13.6g 696672  28788 S 407.0   4.3  47:54.48 java
   6396 root      20   0   13.6g 696672  28788 S 399.0   4.3  47:58.47 java
   6396 root      20   0   13.6g 696672  28788 S 401.0   4.3  48:02.48 java
   6396 root      20   0   13.6g 696672  28788 S 400.0   4.3  48:06.48 java
   6396 root      20   0   13.6g 696672  28788 S 401.0   4.3  48:10.53 java
   6396 root      20   0   13.6g 698656  28788 S 399.0   4.3  48:14.52 java
   6396 root      20   0   13.6g 698656  28788 S 397.0   4.3  48:18.49 java
   6396 root      20   0   13.6g 698656  28788 S 400.0   4.3  48:22.49 java
   6396 root      20   0   13.6g 698656  28788 S 400.0   4.3  48:26.49 java
   6396 root      20   0   13.6g 698656  28788 S 408.0   4.3  48:30.57 java
   6396 root      20   0   13.6g 698656  28788 S 397.0   4.3  48:34.54 java
   6396 root      20   0   13.6g 698656  28788 S 403.0   4.3  48:38.57 java
   6396 root      20   0   13.6g 698656  28788 S 400.0   4.3  48:42.57 java
   6396 root      20   0   13.6g 698656  28788 S 404.0   4.3  48:46.61 java
   6396 root      20   0   13.6g 698728  28788 S 394.1   4.3  48:50.59 java
   6396 root      20   0   13.6g 698728  28788 S 404.0   4.3  48:54.63 java
   6396 root      20   0   13.6g 698728  28788 S 394.0   4.3  48:58.57 java
   6396 root      20   0   13.6g 698728  28788 S 405.0   4.3  49:02.62 java
   6396 root      20   0   13.6g 698728  28788 S 401.0   4.3  49:06.63 java
   6396 root      20   0   13.6g 698728  28788 S 402.0   4.3  49:10.65 java
   6396 root      20   0   13.6g 698728  28788 S 399.0   4.3  49:14.
