  20825 1001      20   0 3314412 578192  46968 S 106.2   3.5  15:56.73 application
  20825 1001      20   0 3314412 578456  46968 S 402.0   3.5  16:00.75 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  16:04.76 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  16:08.77 application
  20825 1001      20   0 3314412 578456  46968 S 402.0   3.5  16:12.79 application
  20825 1001      20   0 3314412 578456  46968 S 400.0   3.5  16:16.79 application
  20825 1001      20   0 3314412 578456  46968 S 402.0   3.5  16:20.81 application
  20825 1001      20   0 3314412 578456  46968 S 400.0   3.5  16:24.81 application
  20825 1001      20   0 3314412 578456  46968 S 400.0   3.5  16:28.81 application
  20825 1001      20   0 3314412 578456  46968 S 397.0   3.5  16:32.82 application
  20825 1001      20   0 3314412 578456  46968 S 402.0   3.5  16:36.84 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  16:40.85 application
  20825 1001      20   0 3314412 578456  46968 S 400.0   3.5  16:44.85 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  16:48.86 application
  20825 1001      20   0 3314412 578456  46968 S 398.0   3.5  16:52.84 application
  20825 1001      20   0 3314412 578456  46968 S 405.0   3.5  16:56.89 application
  20825 1001      20   0 3314412 578456  46968 S 400.0   3.5  17:00.89 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  17:04.90 application
  20825 1001      20   0 3314412 578456  46968 S 399.0   3.5  17:08.89 application
  20825 1001      20   0 3314412 578456  46968 S 403.0   3.5  17:12.92 application
  20825 1001      20   0 3314412 578456  46968 S 397.0   3.5  17:16.93 application
  20825 1001      20   0 3314412 578456  46968 S 400.0   3.5  17:20.93 application
  20825 1001      20   0 3314412 578456  46968 S 402.0   3.5  17:24.95 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  17:28.96 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  17:32.97 application
  20825 1001      20   0 3314412 578456  46968 S 396.0   3.5  17:36.93 application
  20825 1001      20   0 3314412 578456  46968 S 405.0   3.5  17:40.98 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  17:44.99 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  17:49.00 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  17:53.01 application
  20825 1001      20   0 3314412 578456  46968 S 397.0   3.5  17:57.02 application
  20825 1001      20   0 3314412 578456  46968 S 400.0   3.5  18:01.02 application
  20825 1001      20   0 3314412 578456  46968 S 398.0   3.5  18:05.00 application
  20825 1001      20   0 3314412 578456  46968 S 404.0   3.5  18:09.04 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  18:13.05 application
  20825 1001      20   0 3314412 578456  46968 S 397.0   3.5  18:17.02 application
  20825 1001      20   0 3314412 578456  46968 S 405.0   3.5  18:21.07 application
  20825 1001      20   0 3314412 578456  46968 S 399.0   3.5  18:25.06 application
  20825 1001      20   0 3314412 578456  46968 S 402.0   3.5  18:29.08 application
  20825 1001      20   0 3314412 578456  46968 S 394.1   3.5  18:33.06 application
  20825 1001      20   0 3314412 578456  46968 S 404.0   3.5  18:37.10 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  18:41.11 application
  20825 1001      20   0 3314412 578456  46968 S 398.0   3.5  18:45.09 application
  20825 1001      20   0 3314412 578456  46968 S 404.0   3.5  18:49.13 application
  20825 1001      20   0 3314412 578456  46968 S 400.0   3.5  18:53.13 application
  20825 1001      20   0 3314412 578456  46968 S 401.0   3.5  18:57.14 application
  20825 1001      20   0 3314412 578456  46968 S 398.0   3.5  19:01.12 application
  20825 1001      20   0 3314412 578456  46968 S 402.0   3.5  19:05.14 application
  20825 1001      20   0 3314412 578456  46968 S 400.0   3.5  19:09.14 application
  20825 1001      20   0 3314
