  19890 1001      20   0 3085036 348036  47528 S  66.7   2.1   1:47.14 application
  19890 1001      20   0 3086060 348828  47528 S 181.0   2.1   1:48.95 application
  19890 1001      20   0 3086060 349092  47528 S 177.0   2.1   1:50.72 application
  19890 1001      20   0 3086060 349092  47528 S 176.0   2.1   1:52.48 application
  19890 1001      20   0 3086060 349092  47528 S 178.0   2.1   1:54.26 application
  19890 1001      20   0 3088108 350412  47528 S 178.0   2.1   1:56.04 application
  19890 1001      20   0 3088108 350412  47528 S 179.0   2.1   1:57.83 application
  19890 1001      20   0 3088108 350676  47528 S 174.3   2.1   1:59.59 application
  19890 1001      20   0 3088108 350940  47528 S 175.0   2.1   2:01.34 application
  19890 1001      20   0 3088108 350940  47528 S 177.0   2.1   2:03.11 application
  19890 1001      20   0 3088108 351204  47528 S 177.0   2.1   2:04.88 application
  19890 1001      20   0 3088108 351204  47528 S 177.0   2.1   2:06.65 application
  19890 1001      20   0 3088108 351204  47528 S 177.0   2.1   2:08.42 application
  19890 1001      20   0 3088108 351204  47528 S 177.0   2.1   2:10.19 application
  19890 1001      20   0 3088108 351204  47528 S 176.0   2.1   2:11.95 application
  19890 1001      20   0 3088108 351204  47528 S 178.0   2.1   2:13.73 application
  19890 1001      20   0 3088108 351204  47528 S 177.0   2.1   2:15.50 application
  19890 1001      20   0 3089132 351204  47528 S 175.2   2.1   2:17.27 application
  19890 1001      20   0 3089132 351204  47528 S 177.0   2.1   2:19.04 application
  19890 1001      20   0 3089132 351204  47528 S 176.0   2.1   2:20.80 application
  19890 1001      20   0 3089132 351468  47528 S 178.0   2.1   2:22.58 application
  19890 1001      20   0 3089132 351468  47528 S 176.0   2.1   2:24.34 application
  19890 1001      20   0 3089132 351468  47528 S 177.0   2.1   2:26.11 application
  19890 1001      20   0 3089132 351732  47528 S 176.0   2.1   2:27.87 application
  19890 1001      20   0 3089132 351732  47528 S 177.0   2.1   2:29.64 application
  19890 1001      20   0 3089132 351992  47524 S 179.0   2.1   2:31.43 application
  19890 1001      20   0 3090156 351992  47524 S 175.0   2.1   2:33.18 application
  19890 1001      20   0 3090156 352256  47524 S 174.3   2.1   2:34.94 application
  19890 1001      20   0 3090156 352520  47524 S 177.0   2.2   2:36.71 application
  19890 1001      20   0 3090156 352784  47524 S 177.0   2.2   2:38.48 application
  19890 1001      20   0 3090156 352784  47524 S 177.0   2.2   2:40.25 application
  19890 1001      20   0 3090156 352784  47524 S 177.0   2.2   2:42.02 application
  19890 1001      20   0 3090156 353048  47524 S 176.0   2.2   2:43.78 application
  19890 1001      20   0 3091180 353312  47524 S 178.0   2.2   2:45.56 application
  19890 1001      20   0 3091180 353576  47524 S 177.0   2.2   2:47.33 application
  19890 1001      20   0 3091180 353840  47524 S 177.0   2.2   2:49.10 application
  19890 1001      20   0 3091180 354104  47524 S 174.3   2.2   2:50.86 application
  19890 1001      20   0 3091180 354368  47524 S 176.0   2.2   2:52.62 application
  19890 1001      20   0 3091180 354368  47524 S 179.0   2.2   2:54.41 application
  19890 1001      20   0 3091180 354368  47524 S 177.0   2.2   2:56.18 application
  19890 1001      20   0 3092204 354632  47524 S 177.0   2.2   2:57.95 application
  19890 1001      20   0 3092204 354632  47524 S 176.0   2.2   2:59.71 application
  19890 1001      20   0 3092204 354896  47524 S 176.0   2.2   3:01.47 application
  19890 1001      20   0 3092204 355160  47524 S 179.0   2.2   3:03.26 application
  19890 1001      20   0 3092204 355160  47524 S 176.0   2.2   3:05.02 application
  19890 1001      20   0 3092204 355160  47524 S 177.0   2.2   3:06.79 application
  19890 1001      20   0 3092204 355160  47524 S 175.2   2.2   3:08.56 application
  19890 1001      20   0 3093228 355160  47524 S 176.0   2.2   3:10.32 application
  19890 1001      20   0 3093228 355160  47524 S 178.0   2.2   3:12.10 application
  19890 1001      20   0 3093
