  20309 1001      20   0 9806.4m 585344  53020 S 343.8   3.6  39:47.34 application
  20309 1001      20   0 9798.4m 585392  53020 S 407.0   3.6  39:51.41 application
  20309 1001      20   0 9798.4m 585392  53020 S 399.0   3.6  39:55.40 application
  20309 1001      20   0 9798.4m 585392  53020 S 404.0   3.6  39:59.44 application
  20309 1001      20   0 9766.4m 585708  53020 S 400.0   3.6  40:03.44 application
  20309 1001      20   0 9766.4m 585708  53020 S 400.0   3.6  40:07.44 application
  20309 1001      20   0 9766.4m 585708  53020 S 396.0   3.6  40:11.40 application
  20309 1001      20   0 9766.4m 585708  53020 S 405.0   3.6  40:15.45 application
  20309 1001      20   0 9766.4m 585708  53020 S 402.0   3.6  40:19.47 application
  20309 1001      20   0 9766.4m 585708  53020 S 398.0   3.6  40:23.49 application
  20309 1001      20   0 9766.4m 585708  53020 S 400.0   3.6  40:27.49 application
  20309 1001      20   0 9766.4m 585708  53020 S 401.0   3.6  40:31.50 application
  20309 1001      20   0 9766.4m 585708  53020 S 403.0   3.6  40:35.53 application
  20309 1001      20   0 9766.4m 585708  53020 S 399.0   3.6  40:39.52 application
  20309 1001      20   0 9766.4m 585708  53020 S 402.0   3.6  40:43.54 application
  20309 1001      20   0 9766.4m 585708  53020 S 401.0   3.6  40:47.55 application
  20309 1001      20   0 9766.4m 585708  53020 S 399.0   3.6  40:51.54 application
  20309 1001      20   0 9766.4m 585708  53020 S 397.0   3.6  40:55.51 application
  20309 1001      20   0 9806.4m 585708  53020 S 404.0   3.6  40:59.55 application
  20309 1001      20   0 9806.4m 585708  53020 S 395.0   3.6  41:03.54 application
  20309 1001      20   0 9806.4m 585708  53020 S 400.0   3.6  41:07.54 application
  20309 1001      20   0 9806.4m 585708  53020 S 401.0   3.6  41:11.55 application
  20309 1001      20   0 9807.4m 585708  53020 S 399.0   3.6  41:15.54 application
  20309 1001      20   0 9807.4m 586232  53020 S 400.0   3.6  41:19.54 application
  20309 1001      20   0 9806.4m 583916  53020 S 400.0   3.6  41:23.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 401.0   3.6  41:27.55 application
  20309 1001      20   0 9806.4m 585500  53020 S 400.0   3.6  41:31.55 application
  20309 1001      20   0 9806.4m 585500  53020 S 395.0   3.6  41:35.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 400.0   3.6  41:39.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 400.0   3.6  41:43.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 400.0   3.6  41:47.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 401.0   3.6  41:51.55 application
  20309 1001      20   0 9806.4m 585500  53020 S 399.0   3.6  41:55.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 400.0   3.6  41:59.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 401.0   3.6  42:03.55 application
  20309 1001      20   0 9806.4m 585500  53020 S 395.0   3.6  42:07.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 401.0   3.6  42:11.55 application
  20309 1001      20   0 9806.4m 585500  53020 S 399.0   3.6  42:15.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 400.0   3.6  42:19.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 401.0   3.6  42:23.55 application
  20309 1001      20   0 9806.4m 585500  53020 S 399.0   3.6  42:27.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 400.0   3.6  42:31.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 400.0   3.6  42:35.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 396.0   3.6  42:39.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 401.0   3.6  42:43.55 application
  20309 1001      20   0 9806.4m 585500  53020 S 399.0   3.6  42:47.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 400.0   3.6  42:51.54 application
  20309 1001      20   0 9806.4m 585500  53020 S 399.0   3.6  42:55.53 application
  20309 1001      20   0 9774.4m 586172  53020 S 401.0   3.6  42:59.54 application
  20309 1001      20   0 9766
