  20309 1001      20   0 6942752 355132  51552 S  66.7   2.2   1:53.34 application
  20309 1001      20   0 6943776 356140  51552 S 190.1   2.2   1:55.26 application
  20309 1001      20   0 6944800 357456  51552 S 191.0   2.2   1:57.17 application
  20309 1001      20   0 6944800 357456  51552 S 187.0   2.2   1:59.04 application
  20309 1001      20   0 6944800 357456  51552 S 191.0   2.2   2:00.95 application
  20309 1001      20   0 6944800 357456  51552 S 190.0   2.2   2:02.85 application
  20309 1001      20   0 6945824 357456  51552 S 190.0   2.2   2:04.75 application
  20309 1001      20   0 6945824 357780  51616 S 191.0   2.2   2:06.66 application
  20309 1001      20   0 6945824 357780  51616 S 190.0   2.2   2:08.56 application
  20309 1001      20   0 6945824 357780  51616 S 190.0   2.2   2:10.46 application
  20309 1001      20   0 6945824 358044  51616 S 188.1   2.2   2:12.36 application
  20309 1001      20   0 6945824 358044  51616 S 189.0   2.2   2:14.25 application
  20309 1001      20   0 6945824 358044  51616 S 191.0   2.2   2:16.16 application
  20309 1001      20   0 6945824 358044  51616 S 190.0   2.2   2:18.06 application
  20309 1001      20   0 6945824 358044  51616 S 190.0   2.2   2:19.96 application
  20309 1001      20   0 6945824 358044  51616 S 190.0   2.2   2:21.86 application
  20309 1001      20   0 6945824 358308  51616 S 190.0   2.2   2:23.76 application
  20309 1001      20   0 6945824 358308  51616 S 189.0   2.2   2:25.65 application
  20309 1001      20   0 6946848 358572  51616 S 190.0   2.2   2:27.55 application
  20309 1001      20   0 6946848 358572  51616 S 189.0   2.2   2:29.44 application
  20309 1001      20   0 6946848 358572  51616 S 187.1   2.2   2:31.33 application
  20309 1001      20   0 6946848 358572  51616 S 189.0   2.2   2:33.22 application
  20309 1001      20   0 6946848 358572  51616 S 190.0   2.2   2:35.12 application
  20309 1001      20   0 6946848 358836  51616 S 190.0   2.2   2:37.02 application
  20309 1001      20   0 6946848 358836  51616 S 192.0   2.2   2:38.94 application
  20309 1001      20   0 6946848 358836  51616 S 189.0   2.2   2:40.83 application
  20309 1001      20   0 6946848 359096  51616 S 191.0   2.2   2:42.74 application
  20309 1001      20   0 6946848 359096  51616 S 189.0   2.2   2:44.63 application
  20309 1001      20   0 6946848 359360  51616 S 190.0   2.2   2:46.53 application
  20309 1001      20   0 6947872 359624  51616 S 190.0   2.2   2:48.43 application
  20309 1001      20   0 6947872 359624  51616 S 188.1   2.2   2:50.33 application
  20309 1001      20   0 6931480 360872  51676 S 190.0   2.2   2:52.23 application
  20309 1001      20   0 6923284 361340  51676 S 191.0   2.2   2:54.14 application
  20309 1001      20   0 6923284 361340  51676 S 189.0   2.2   2:56.03 application
  20309 1001      20   0 6923284 361340  51676 S 190.0   2.2   2:57.93 application
  20309 1001      20   0 6924308 361604  51676 S 191.0   2.2   2:59.84 application
  20309 1001      20   0 6924308 361604  51676 S 191.0   2.2   3:01.75 application
  20309 1001      20   0 6924308 361868  51676 S 191.0   2.2   3:03.66 application
  20309 1001      20   0 6924308 362132  51676 S 191.0   2.2   3:05.57 application
  20309 1001      20   0 6924308 362132  51676 S 190.0   2.2   3:07.47 application
  20309 1001      20   0 6924308 362132  51676 S 189.1   2.2   3:09.38 application
  20309 1001      20   0 6924308 362132  51676 S 190.0   2.2   3:11.28 application
  20309 1001      20   0 6924308 362396  51676 S 190.0   2.2   3:13.18 application
  20309 1001      20   0 6924308 362660  51676 S 191.0   2.2   3:15.09 application
  20309 1001      20   0 6924308 362660  51676 S 191.0   2.2   3:17.00 application
  20309 1001      20   0 6925332 362924  51676 S 190.0   2.2   3:18.90 application
  20309 1001      20   0 6925332 363188  51676 S 190.0   2.2   3:20.80 application
  20309 1001      20   0 6925332 363188  51676 S 189.0   2.2   3:22.69 application
  20309 1001      20   0 6925332 363188  51676 S 190.0   2.2   3:24.59 application
  20309 1001      20   0 6925
