  15954 1001      20   0 3070700 328544  43372 S  53.3   2.0   4:29.24 application
  15954 1001      20   0 3070700 329072  43372 S 224.8   2.0   4:31.51 application
  15954 1001      20   0 3071724 329072  43372 S 231.0   2.0   4:33.82 application
  15954 1001      20   0 3071724 329072  43372 S 229.0   2.0   4:36.11 application
  15954 1001      20   0 3071724 329072  43372 S 231.0   2.0   4:38.42 application
  15954 1001      20   0 3071724 329072  43372 S 230.0   2.0   4:40.72 application
  15954 1001      20   0 3071724 329336  43372 S 229.0   2.0   4:43.01 application
  15954 1001      20   0 3071724 329336  43372 S 231.0   2.0   4:45.32 application
  15954 1001      20   0 3071724 329336  43372 S 228.0   2.0   4:47.60 application
  15954 1001      20   0 3071724 329336  43372 S 229.0   2.0   4:49.89 application
  15954 1001      20   0 3071724 329336  43372 S 229.7   2.0   4:52.21 application
  15954 1001      20   0 3072748 330656  43372 S 232.0   2.0   4:54.53 application
  15954 1001      20   0 3072748 330656  43372 S 232.0   2.0   4:56.85 application
  15954 1001      20   0 3072748 330920  43372 S 231.0   2.0   4:59.16 application
  15954 1001      20   0 3072748 330920  43372 S 230.0   2.0   5:01.46 application
  15954 1001      20   0 3072748 330920  43372 S 230.0   2.0   5:03.76 application
  15954 1001      20   0 3072748 330920  43372 S 232.0   2.0   5:06.08 application
  15954 1001      20   0 3072748 330920  43372 S 232.0   2.0   5:08.40 application
  15954 1001      20   0 3072748 330920  43372 S 230.0   2.0   5:10.70 application
  15954 1001      20   0 3072748 330920  43372 S 228.0   2.0   5:12.98 application
  15954 1001      20   0 3072748 330920  43372 S 226.7   2.0   5:15.27 application
  15954 1001      20   0 3072748 330920  43372 S 229.0   2.0   5:17.56 application
  15954 1001      20   0 3072748 330920  43372 S 229.0   2.0   5:19.85 application
  15954 1001      20   0 3072748 331184  43372 S 229.0   2.0   5:22.14 application
  15954 1001      20   0 3072748 331184  43372 S 229.0   2.0   5:24.43 application
  15954 1001      20   0 3072748 331184  43372 S 232.0   2.0   5:26.75 application
  15954 1001      20   0 3072748 331448  43372 S 229.0   2.0   5:29.04 application
  15954 1001      20   0 3072748 331712  43372 S 230.0   2.0   5:31.34 application
  15954 1001      20   0 3072748 331712  43372 S 229.0   2.0   5:33.63 application
  15954 1001      20   0 3072748 331712  43372 S 230.0   2.0   5:35.93 application
  15954 1001      20   0 3072748 331712  43372 S 227.7   2.0   5:38.23 application
  15954 1001      20   0 3072748 331712  43372 S 230.0   2.0   5:40.53 application
  15954 1001      20   0 3072748 331712  43372 S 229.0   2.0   5:42.82 application
  15954 1001      20   0 3072748 331712  43372 S 230.0   2.0   5:45.12 application
  15954 1001      20   0 3072748 331712  43372 S 229.0   2.0   5:47.41 application
  15954 1001      20   0 3072748 331712  43372 S 232.0   2.0   5:49.73 application
  15954 1001      20   0 3072748 331712  43372 S 231.0   2.0   5:52.04 application
  15954 1001      20   0 3072748 331712  43372 S 230.0   2.0   5:54.34 application
  15954 1001      20   0 3072748 331712  43372 S 228.0   2.0   5:56.62 application
  15954 1001      20   0 3072748 331712  43372 S 226.7   2.0   5:58.91 application
  15954 1001      20   0 3073772 332768  43372 S 231.0   2.0   6:01.22 application
  15954 1001      20   0 3073772 332768  43372 S 229.0   2.0   6:03.51 application
  15954 1001      20   0 3073772 332768  43372 S 229.0   2.0   6:05.80 application
  15954 1001      20   0 3073772 332768  43372 S 231.0   2.0   6:08.11 application
  15954 1001      20   0 3073772 332768  43372 S 229.0   2.0   6:10.40 application
  15954 1001      20   0 3073772 332768  43372 S 230.0   2.0   6:12.70 application
  15954 1001      20   0 3073772 332768  43372 S 233.0   2.0   6:15.03 application
  15954 1001      20   0 3073772 332768  43372 S 230.0   2.0   6:17.33 application
  15954 1001      20   0 3073772 332768  43372 S 229.0   2.0   6:19.62 application
  15954 1001      20   0 3073
