  14881 1001      20   0 3073772 331180  43824 S   0.0   2.0   6:53.16 application
  14881 1001      20   0 3073772 331708  43824 S 246.0   2.0   6:55.62 application
  14881 1001      20   0 3073772 331972  43824 S 352.0   2.0   6:59.14 application
  14881 1001      20   0 3073772 332236  43824 S 353.0   2.0   7:02.67 application
  14881 1001      20   0 3074796 332236  43824 S 351.0   2.0   7:06.18 application
  14881 1001      20   0 3074796 332236  43824 S 353.0   2.0   7:09.71 application
  14881 1001      20   0 3075820 333556  43824 S 354.0   2.0   7:13.25 application
  14881 1001      20   0 3075820 333556  43824 S 348.5   2.0   7:16.77 application
  14881 1001      20   0 3075820 333820  43824 S 351.0   2.0   7:20.28 application
  14881 1001      20   0 3075820 334084  43824 S 353.0   2.0   7:23.81 application
  14881 1001      20   0 3075820 334084  43824 S 352.0   2.0   7:27.33 application
  14881 1001      20   0 3075820 334084  43824 S 354.0   2.0   7:30.87 application
  14881 1001      20   0 3075820 334084  43824 S 353.0   2.0   7:34.40 application
  14881 1001      20   0 3075820 334084  43824 S 353.0   2.0   7:37.93 application
  14881 1001      20   0 3075820 334348  43824 S 353.0   2.0   7:41.46 application
  14881 1001      20   0 3075820 334348  43824 S 354.0   2.0   7:45.00 application
  14881 1001      20   0 3075820 334348  43824 S 353.0   2.0   7:48.53 application
  14881 1001      20   0 3075820 334612  43824 S 350.5   2.0   7:52.07 application
  14881 1001      20   0 3075820 334876  43824 S 353.0   2.0   7:55.60 application
  14881 1001      20   0 3075820 334876  43824 S 353.0   2.0   7:59.13 application
  14881 1001      20   0 3075820 335140  43824 S 352.0   2.0   8:02.65 application
  14881 1001      20   0 3075820 335140  43824 S 353.0   2.0   8:06.18 application
  14881 1001      20   0 3075820 335140  43824 S 354.0   2.0   8:09.72 application
  14881 1001      20   0 3075820 335140  43824 S 354.0   2.0   8:13.26 application
  14881 1001      20   0 3075820 335140  43824 S 352.0   2.0   8:16.78 application
  14881 1001      20   0 3075820 335140  43824 S 352.0   2.0   8:20.30 application
  14881 1001      20   0 3075820 335140  43824 S 353.0   2.0   8:23.83 application
  14881 1001      20   0 3075820 335140  43824 S 349.5   2.0   8:27.36 application
  14881 1001      20   0 3075820 335140  43824 S 352.0   2.0   8:30.88 application
  14881 1001      20   0 3075820 335140  43824 S 353.0   2.0   8:34.41 application
  14881 1001      20   0 3075820 335140  43824 S 354.0   2.0   8:37.95 application
  14881 1001      20   0 3075820 335140  43824 S 352.0   2.0   8:41.47 application
  14881 1001      20   0 3075820 335140  43824 S 354.0   2.0   8:45.01 application
  14881 1001      20   0 3075820 335140  43824 S 355.0   2.0   8:48.56 application
  14881 1001      20   0 3075820 335140  43824 S 353.0   2.0   8:52.09 application
  14881 1001      20   0 3075820 335140  43824 S 352.0   2.0   8:55.61 application
  14881 1001      20   0 3076844 336196  43824 S 352.0   2.1   8:59.13 application
  14881 1001      20   0 3076844 336196  43824 S 350.5   2.1   9:02.67 application
  14881 1001      20   0 3076844 336196  43824 S 352.0   2.1   9:06.19 application
  14881 1001      20   0 3076844 336196  43824 S 354.0   2.1   9:09.73 application
  14881 1001      20   0 3076844 336196  43824 S 354.0   2.1   9:13.27 application
  14881 1001      20   0 3076844 336196  43824 S 352.0   2.1   9:16.79 application
  14881 1001      20   0 3076844 336196  43824 S 354.0   2.1   9:20.33 application
  14881 1001      20   0 3076844 336196  43824 S 352.0   2.1   9:23.85 application
  14881 1001      20   0 3076844 336196  43824 S 354.0   2.1   9:27.39 application
  14881 1001      20   0 3076844 336196  43824 S 353.0   2.1   9:30.92 application
  14881 1001      20   0 3076844 336196  43824 S 352.0   2.1   9:34.44 application
  14881 1001      20   0 3076844 336196  43824 S 349.5   2.1   9:37.97 application
  14881 1001      20   0 3076844 336196  43824 S 355.0   2.1   9:41.52 application
  14881 1001      20   0 3076
