  15268 1001      20   0 5615612 342548  47408 S  66.7   2.1   1:59.41 application
  15268 1001      20   0 5616636 343336  47408 S 160.0   2.1   2:01.01 application
  15268 1001      20   0 5616636 343600  47408 S 207.0   2.1   2:03.08 application
  15268 1001      20   0 5616636 343600  47408 S 208.0   2.1   2:05.16 application
  15268 1001      20   0 5616636 343864  47408 S 205.9   2.1   2:07.24 application
  15268 1001      20   0 5616636 343864  47408 S 209.0   2.1   2:09.33 application
  15268 1001      20   0 5617660 344128  47408 S 209.0   2.1   2:11.42 application
  15268 1001      20   0 5617660 344392  47408 S 208.0   2.1   2:13.50 application
  15268 1001      20   0 5617660 344392  47408 S 207.0   2.1   2:15.57 application
  15268 1001      20   0 5617660 344392  47408 S 207.0   2.1   2:17.64 application
  15268 1001      20   0 5617660 344392  47408 S 208.0   2.1   2:19.72 application
  15268 1001      20   0 5617660 344392  47408 S 209.0   2.1   2:21.81 application
  15268 1001      20   0 5617660 344656  47408 S 210.0   2.1   2:23.91 application
  15268 1001      20   0 5617660 344920  47408 S 211.0   2.1   2:26.02 application
  15268 1001      20   0 5617660 344920  47408 S 207.9   2.1   2:28.12 application
  15268 1001      20   0 5617660 344920  47408 S 208.0   2.1   2:30.20 application
  15268 1001      20   0 5617660 344920  47408 S 209.0   2.1   2:32.29 application
  15268 1001      20   0 5618684 344920  47408 S 210.0   2.1   2:34.39 application
  15268 1001      20   0 5618684 344920  47408 S 210.0   2.1   2:36.49 application
  15268 1001      20   0 5618684 345184  47408 S 209.0   2.1   2:38.58 application
  15268 1001      20   0 5618684 345508  47472 S 209.0   2.1   2:40.67 application
  15268 1001      20   0 5618684 345508  47472 S 211.0   2.1   2:42.78 application
  15268 1001      20   0 5618684 345508  47472 S 209.0   2.1   2:44.87 application
  15268 1001      20   0 5618684 346164  47472 S 209.0   2.1   2:46.96 application
  15268 1001      20   0 5610488 346476  47472 S 206.9   2.1   2:49.05 application
  15268 1001      20   0 5610488 346476  47472 S 209.0   2.1   2:51.14 application
  15268 1001      20   0 5610488 346476  47472 S 208.0   2.1   2:53.22 application
  15268 1001      20   0 5610488 346476  47472 S 210.0   2.1   2:55.32 application
  15268 1001      20   0 5611512 346476  47472 S 209.0   2.1   2:57.41 application
  15268 1001      20   0 5611512 346476  47472 S 208.0   2.1   2:59.49 application
  15268 1001      20   0 5611512 346740  47472 S 208.0   2.1   3:01.57 application
  15268 1001      20   0 5611512 346740  47472 S 210.0   2.1   3:03.67 application
  15268 1001      20   0 5611512 346740  47472 S 209.0   2.1   3:05.76 application
  15268 1001      20   0 5611512 346740  47472 S 210.0   2.1   3:07.86 application
  15268 1001      20   0 5611512 346740  47472 S 207.9   2.1   3:09.96 application
  15268 1001      20   0 5611512 346884  47472 S 209.0   2.1   3:12.05 application
  15268 1001      20   0 5603316 347144  47472 S 209.0   2.1   3:14.14 application
  15268 1001      20   0 5604340 347672  47472 S 210.0   2.1   3:16.24 application
  15268 1001      20   0 5604340 347672  47472 S 210.0   2.1   3:18.34 application
  15268 1001      20   0 5604340 347672  47472 S 208.0   2.1   3:20.42 application
  15268 1001      20   0 5604340 347672  47472 S 208.0   2.1   3:22.50 application
  15268 1001      20   0 5604340 347936  47472 S 209.0   2.1   3:24.59 application
  15268 1001      20   0 5604340 347936  47472 S 208.0   2.1   3:26.67 application
  15268 1001      20   0 5596144 348140  47472 S 209.0   2.1   3:28.76 application
  15268 1001      20   0 5596144 348140  47472 S 206.9   2.1   3:30.85 application
  15268 1001      20   0 5596144 348140  47472 S 208.0   2.1   3:32.93 application
  15268 1001      20   0 5596144 348140  47472 S 209.0   2.1   3:35.02 application
  15268 1001      20   0 5596144 348404  47472 S 209.0   2.1   3:37.11 application
  15268 1001      20   0 5596144 348668  47472 S 210.0   2.1   3:39.21 application
  15268 1001      20   0 5597
