  15042 1001      20   0 3751872  73352  46028 S  80.0   0.4   0:00.19 application
  15042 1001      20   0 4999156 307000  46648 S 208.0   1.9   0:02.27 application
  15042 1001      20   0 5000180 328968  46712 S 185.0   2.0   0:04.12 application
  15042 1001      20   0 5000180 333192  46712 S 184.0   2.0   0:05.96 application
  15042 1001      20   0 5000180 333456  46712 S 182.2   2.0   0:07.80 application
  15042 1001      20   0 5000180 333456  46712 S 183.0   2.0   0:09.63 application
  15042 1001      20   0 5000180 333456  46712 S 184.0   2.0   0:11.47 application
  15042 1001      20   0 5000180 333984  46712 S 186.0   2.0   0:13.33 application
  15042 1001      20   0 5001204 334244  46708 S 184.0   2.0   0:15.17 application
  15042 1001      20   0 5001204 334508  46708 S 187.0   2.0   0:17.04 application
  15042 1001      20   0 5001204 334772  46708 S 184.0   2.0   0:18.88 application
  15042 1001      20   0 5001204 334772  46708 S 184.0   2.0   0:20.72 application
  15042 1001      20   0 5001204 334772  46708 S 185.0   2.0   0:22.57 application
  15042 1001      20   0 5001204 335036  46708 S 184.0   2.0   0:24.41 application
  15042 1001      20   0 5001204 335300  46708 S 184.2   2.0   0:26.27 application
  15042 1001      20   0 5001204 335300  46708 S 185.0   2.0   0:28.12 application
  15042 1001      20   0 5074936 335300  46708 S 186.0   2.0   0:29.98 application
  15042 1001      20   0 5075960 335564  46708 S 185.0   2.0   0:31.83 application
  15042 1001      20   0 5075960 335564  46708 S 186.0   2.0   0:33.69 application
  15042 1001      20   0 5075960 335564  46708 S 187.0   2.0   0:35.56 application
  15042 1001      20   0 5075960 335564  46708 S 186.0   2.0   0:37.42 application
  15042 1001      20   0 5075960 335564  46708 S 186.0   2.0   0:39.28 application
  15042 1001      20   0 5075960 335564  46708 S 187.0   2.0   0:41.15 application
  15042 1001      20   0 5075960 335564  46708 S 185.0   2.0   0:43.00 application
  15042 1001      20   0 5075960 335564  46708 S 183.2   2.0   0:44.85 application
  15042 1001      20   0 5075960 335828  46708 S 186.0   2.0   0:46.71 application
  15042 1001      20   0 5076984 336092  46708 S 185.0   2.1   0:48.56 application
  15042 1001      20   0 5076984 336092  46708 S 184.0   2.1   0:50.40 application
  15042 1001      20   0 5076984 336092  46708 S 185.0   2.1   0:52.25 application
  15042 1001      20   0 5076984 336092  46708 S 186.0   2.1   0:54.11 application
  15042 1001      20   0 5076984 336092  46708 S 186.0   2.1   0:55.97 application
  15042 1001      20   0 5076984 336356  46708 S 185.0   2.1   0:57.82 application
  15042 1001      20   0 5076984 336356  46708 S 186.0   2.1   0:59.68 application
  15042 1001      20   0 5076984 336620  46708 S 186.0   2.1   1:01.54 application
  15042 1001      20   0 5076984 336620  46708 S 183.2   2.1   1:03.39 application
  15042 1001      20   0 5076984 336884  46708 S 187.0   2.1   1:05.26 application
  15042 1001      20   0 5076984 337144  46712 S 186.0   2.1   1:07.12 application
  15042 1001      20   0 5078008 337144  46712 S 184.0   2.1   1:08.96 application
  15042 1001      20   0 5078008 337144  46712 S 186.0   2.1   1:10.82 application
  15042 1001      20   0 5078008 337408  46712 S 185.0   2.1   1:12.67 application
  15042 1001      20   0 5078008 337672  46712 S 187.0   2.1   1:14.54 application
  15042 1001      20   0 5078008 337672  46712 S 185.0   2.1   1:16.39 application
  15042 1001      20   0 5078008 337672  46712 S 184.0   2.1   1:18.23 application
  15042 1001      20   0 5078008 337672  46712 S 185.0   2.1   1:20.08 application
  15042 1001      20   0 5078008 337672  46712 S 184.2   2.1   1:21.94 application
  15042 1001      20   0 5078008 337672  46712 S 186.0   2.1   1:23.80 application
  15042 1001      20   0 5078008 338220  46712 S 185.0   2.1   1:25.65 application
  15042 1001      20   0 5078008 338220  46712 S 186.0   2.1   1:27.51 application
  15042 1001      20   0 5078008 338220  46712 S 185.0   2.1   1:29.36 application
  15042 1001      20   0 5079
