  15042 1001      20   0 7305284 581332  48112 S   6.7   3.5  51:42.15 application
  15042 1001      20   0 7305284 581332  48112 S 407.0   3.5  51:46.22 application
  15042 1001      20   0 7329872 581332  48112 S 400.0   3.5  51:50.22 application
  15042 1001      20   0 7329872 581332  48112 S 408.0   3.5  51:54.30 application
  15042 1001      20   0 7329872 581332  48112 S 400.0   3.5  51:58.30 application
  15042 1001      20   0 7329872 581332  48112 S 399.0   3.5  52:02.29 application
  15042 1001      20   0 7329872 581332  48112 S 395.0   3.5  52:06.28 application
  15042 1001      20   0 7329872 581332  48112 S 404.0   3.5  52:10.32 application
  15042 1001      20   0 7329872 581332  48112 S 404.0   3.5  52:14.36 application
  15042 1001      20   0 7329872 581332  48112 S 396.0   3.5  52:18.32 application
  15042 1001      20   0 7329872 581332  48112 S 405.0   3.5  52:22.37 application
  15042 1001      20   0 7329872 581332  48112 S 403.0   3.5  52:26.40 application
  15042 1001      20   0 7329872 581332  48112 S 399.0   3.5  52:30.39 application
  15042 1001      20   0 7329872 581332  48112 S 402.0   3.5  52:34.41 application
  15042 1001      20   0 7329872 581332  48112 S 403.0   3.5  52:38.44 application
  15042 1001      20   0 7329872 581332  48112 S 404.0   3.5  52:42.48 application
  15042 1001      20   0 7329872 581332  48112 S 383.2   3.5  52:46.35 application
  15042 1001      20   0 7329872 581332  48112 S 413.0   3.5  52:50.48 application
  15042 1001      20   0 7329872 581332  48112 S 399.0   3.5  52:54.47 application
  15042 1001      20   0 7329872 581332  48112 S 393.0   3.5  52:58.40 application
  15042 1001      20   0 7329872 581332  48112 S 408.0   3.5  53:02.48 application
  15042 1001      20   0 7329872 581332  48112 S 401.0   3.5  53:06.49 application
  15042 1001      20   0 7329872 581332  48112 S 395.0   3.5  53:10.44 application
  15042 1001      20   0 7329872 581332  48112 S 405.0   3.5  53:14.49 application
  15042 1001      20   0 7329872 581332  48112 S 399.0   3.5  53:18.48 application
  15042 1001      20   0 7329872 581332  48112 S 396.0   3.5  53:22.44 application
  15042 1001      20   0 7329872 581332  48112 S 398.0   3.5  53:26.46 application
  15042 1001      20   0 7329872 581332  48112 S 403.0   3.5  53:30.49 application
  15042 1001      20   0 7329872 581332  48112 S 400.0   3.5  53:34.49 application
  15042 1001      20   0 7329872 581332  48112 S 400.0   3.5  53:38.49 application
  15042 1001      20   0 7329872 581332  48112 S 400.0   3.5  53:42.49 application
  15042 1001      20   0 7329872 581332  48112 S 399.0   3.5  53:46.48 application
  15042 1001      20   0 7329872 581428  48112 S 401.0   3.5  53:50.49 application
  15042 1001      20   0 7329872 581428  48112 S 400.0   3.5  53:54.49 application
  15042 1001      20   0 7329872 581428  48112 S 400.0   3.5  53:58.49 application
  15042 1001      20   0 7329872 581428  48112 S 400.0   3.5  54:02.49 application
  15042 1001      20   0 7329872 581428  48112 S 396.0   3.5  54:06.49 application
  15042 1001      20   0 7329872 581428  48112 S 400.0   3.5  54:10.49 application
  15042 1001      20   0 7329872 581428  48112 S 400.0   3.5  54:14.49 application
  15042 1001      20   0 7321676 581704  48112 S 400.0   3.6  54:18.49 application
  15042 1001      20   0 7321676 581704  48112 S 400.0   3.6  54:22.49 application
  15042 1001      20   0 7321676 581704  48112 S 401.0   3.6  54:26.50 application
  15042 1001      20   0 7321676 581704  48112 S 399.0   3.6  54:30.49 application
  15042 1001      20   0 7321676 581704  48112 S 400.0   3.6  54:34.49 application
  15042 1001      20   0 7321676 581704  48112 S 396.0   3.6  54:38.49 application
  15042 1001      20   0 7321676 581704  48112 S 401.0   3.6  54:42.50 application
  15042 1001      20   0 7321676 581704  48112 S 399.0   3.6  54:46.49 application
  15042 1001      20   0 7321676 581704  48112 S 400.0   3.6  54:50.49 application
  15042 1001      20   0 7321676 581704  48112 S 400.0   3.6  54:54.49 application
  15042 1001      20   0 7321
