  42846 root      20   0 9226748 461500  29068 S  73.3   2.8   3:44.83 java
  42846 root      20   0 9226748 461720  29068 S 152.0   2.8   3:46.35 java
  42846 root      20   0 9226748 461776  29068 S 181.0   2.8   3:48.16 java
  42846 root      20   0 9226748 461904  29068 S 182.0   2.8   3:49.98 java
  42846 root      20   0 9226748 461904  29068 S 180.0   2.8   3:51.78 java
  42846 root      20   0 9226748 461904  29068 S 181.0   2.8   3:53.59 java
  42846 root      20   0 9226748 461904  29068 S 178.2   2.8   3:55.39 java
  42846 root      20   0 9226748 461976  29068 S 182.0   2.8   3:57.21 java
  42846 root      20   0 9226748 461976  29068 S 182.0   2.8   3:59.03 java
  42846 root      20   0 9226748 461976  29068 S 181.0   2.8   4:00.84 java
  42846 root      20   0 9226748 462156  29068 S 179.0   2.8   4:02.63 java
  42846 root      20   0 9226748 462332  29068 S 181.0   2.8   4:04.44 java
  42846 root      20   0 9226748 462348  29068 S 181.0   2.8   4:06.25 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:08.05 java
  42846 root      20   0 9226748 462348  29068 S 181.0   2.8   4:09.86 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:11.66 java
  42846 root      20   0 9226748 462348  29068 S 179.2   2.8   4:13.47 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:15.27 java
  42846 root      20   0 9226748 462348  29068 S 185.0   2.8   4:17.12 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:18.92 java
  42846 root      20   0 9226748 462348  29068 S 181.0   2.8   4:20.73 java
  42846 root      20   0 9226748 462348  29068 S 182.0   2.8   4:22.55 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:24.35 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:26.15 java
  42846 root      20   0 9226748 462348  29068 S 182.0   2.8   4:27.97 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:29.77 java
  42846 root      20   0 9226748 462348  29068 S 178.2   2.8   4:31.57 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:33.37 java
  42846 root      20   0 9226748 462348  29068 S 183.0   2.8   4:35.20 java
  42846 root      20   0 9226748 462348  29068 S 179.0   2.8   4:36.99 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:38.79 java
  42846 root      20   0 9226748 462348  29068 S 181.0   2.8   4:40.60 java
  42846 root      20   0 9226748 462348  29068 S 179.0   2.8   4:42.39 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:44.19 java
  42846 root      20   0 9226748 462348  29068 S 182.0   2.8   4:46.01 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   4:47.81 java
  42846 root      20   0 9226748 462348  29068 S 177.2   2.8   4:49.60 java
  42846 root      20   0 9226748 462348  29068 S 181.0   2.8   4:51.41 java
  42846 root      20   0 9226748 462348  29068 S 182.0   2.8   4:53.23 java
  42846 root      20   0 9226748 462348  29068 S 178.0   2.8   4:55.01 java
  42846 root      20   0 9226748 462348  29068 S 179.0   2.8   4:56.80 java
  42846 root      20   0 9226748 462348  29068 S 181.0   2.8   4:58.61 java
  42846 root      20   0 9226748 462348  29068 S 181.0   2.8   5:00.42 java
  42846 root      20   0 9226748 462348  29068 S 179.0   2.8   5:02.21 java
  42846 root      20   0 9226748 462348  29068 S 178.0   2.8   5:03.99 java
  42846 root      20   0 9226748 462348  29068 S 182.0   2.8   5:05.81 java
  42846 root      20   0 9226748 462348  29068 S 177.2   2.8   5:07.60 java
  42846 root      20   0 9226748 462348  29068 S 179.0   2.8   5:09.39 java
  42846 root      20   0 9226748 462348  29068 S 180.0   2.8   5:11.19 java
  42846 root      20   0 9226748 462348  29068 S 179.0   2.8   5:12.98 java
  42846 root      20   0 9226748 462348  29068 S 182.0   2.8   5:14.80 java
  42846 root      20   0 9226748 462348  29068 S 179.0   2.8   5:16.59 java
  42846 root      20   0 9226748 462348  29068 S 182.0   2.8   5:18.41 java
  42846 root      20   0 9226748 462556  29068 S 179.0   2.8   5:20.
