  42465 root      20   0   13.6g 671056  29044 S 106.7   4.1   9:31.07 java
  42465 root      20   0   13.6g 671288  29044 S 218.0   4.1   9:33.25 java
  42465 root      20   0   13.6g 671288  29044 S 282.0   4.1   9:36.07 java
  42465 root      20   0   13.6g 671392  29044 S 276.0   4.1   9:38.83 java
  42465 root      20   0   13.6g 671412  29044 S 282.0   4.1   9:41.65 java
  42465 root      20   0   13.6g 671412  29044 S 279.0   4.1   9:44.44 java
  42465 root      20   0   13.6g 671412  29044 S 275.2   4.1   9:47.22 java
  42465 root      20   0   13.6g 671620  29044 S 287.0   4.1   9:50.09 java
  42465 root      20   0   13.6g 671620  29044 S 283.0   4.1   9:52.92 java
  42465 root      20   0   13.6g 671620  29044 S 285.0   4.1   9:55.77 java
  42465 root      20   0   13.6g 671776  29044 S 279.0   4.1   9:58.56 java
  42465 root      20   0   13.6g 671776  29044 S 281.0   4.1  10:01.37 java
  42465 root      20   0   13.6g 671776  29044 S 280.0   4.1  10:04.17 java
  42465 root      20   0   13.6g 671776  29044 S 281.0   4.1  10:06.98 java
  42465 root      20   0   13.6g 671912  29044 S 277.0   4.1  10:09.75 java
  42465 root      20   0   13.6g 671912  29044 S 280.0   4.1  10:12.55 java
  42465 root      20   0   13.6g 672072  29044 S 279.2   4.1  10:15.37 java
  42465 root      20   0   13.6g 672072  29044 S 281.0   4.1  10:18.18 java
  42465 root      20   0   13.6g 672404  29044 S 281.0   4.1  10:20.99 java
  42465 root      20   0   13.6g 672404  29044 S 279.0   4.1  10:23.78 java
  42465 root      20   0   13.6g 672544  29044 S 278.0   4.1  10:26.56 java
  42465 root      20   0   13.6g 672544  29044 S 281.0   4.1  10:29.37 java
  42465 root      20   0   13.6g 672544  29044 S 280.0   4.1  10:32.17 java
  42465 root      20   0   13.6g 672544  29044 S 282.0   4.1  10:34.99 java
  42465 root      20   0   13.6g 672544  29044 S 285.0   4.1  10:37.84 java
  42465 root      20   0   13.6g 672544  29044 S 286.0   4.1  10:40.70 java
  42465 root      20   0   13.6g 672544  29044 S 281.2   4.1  10:43.54 java
  42465 root      20   0   13.6g 672716  29044 S 279.0   4.1  10:46.33 java
  42465 root      20   0   13.6g 672716  29044 S 274.0   4.1  10:49.07 java
  42465 root      20   0   13.6g 672716  29044 S 282.0   4.1  10:51.89 java
  42465 root      20   0   13.6g 672716  29044 S 283.0   4.1  10:54.72 java
  42465 root      20   0   13.6g 672716  29044 S 280.0   4.1  10:57.52 java
  42465 root      20   0   13.6g 672716  29044 S 282.0   4.1  11:00.34 java
  42465 root      20   0   13.6g 672716  29044 S 281.0   4.1  11:03.15 java
  42465 root      20   0   13.6g 672716  29044 S 284.0   4.1  11:05.99 java
  42465 root      20   0   13.6g 672716  29044 S 281.0   4.1  11:08.80 java
  42465 root      20   0   13.6g 672716  29044 S 278.2   4.1  11:11.61 java
  42465 root      20   0   13.6g 672716  29044 S 279.0   4.1  11:14.40 java
  42465 root      20   0   13.6g 672884  29044 S 281.0   4.1  11:17.21 java
  42465 root      20   0   13.6g 672884  29044 S 279.0   4.1  11:20.00 java
  42465 root      20   0   13.6g 672884  29044 S 279.0   4.1  11:22.79 java
  42465 root      20   0   13.6g 672884  29044 S 280.0   4.1  11:25.59 java
  42465 root      20   0   13.6g 672884  29044 S 283.0   4.1  11:28.42 java
  42465 root      20   0   13.6g 672884  29044 S 277.0   4.1  11:31.19 java
  42465 root      20   0   13.6g 672884  29044 S 283.0   4.1  11:34.02 java
  42465 root      20   0   13.6g 672884  29044 S 279.0   4.1  11:36.81 java
  42465 root      20   0   13.6g 672884  29044 S 279.2   4.1  11:39.63 java
  42465 root      20   0   13.6g 672884  29044 S 283.0   4.1  11:42.46 java
  42465 root      20   0   13.6g 673048  29044 S 283.0   4.1  11:45.29 java
  42465 root      20   0   13.6g 673048  29044 S 286.0   4.1  11:48.15 java
  42465 root      20   0   13.6g 673048  29044 S 278.0   4.1  11:50.93 java
  42465 root      20   0   13.6g 673048  29044 S 285.0   4.1  11:53.78 java
  42465 root      20   0   13.6g 673048  29044 S 277.0   4.1  11:56.55 java
  42465 root      20   0   13.6g 673208  29044 S 278.0   4.1  11:59.
