  47397 root      20   0 9218556 464996  29016 S   0.0   2.9  39:06.61 java
  47397 root      20   0 9218556 464996  29016 S 354.0   2.9  39:10.15 java
  47397 root      20   0 9218556 465148  29016 S 396.0   2.9  39:14.11 java
  47397 root      20   0 9218556 465148  29016 S 402.0   2.9  39:18.13 java
  47397 root      20   0 9218556 465148  29016 S 385.0   2.9  39:21.98 java
  47397 root      20   0 9218556 465148  29016 S 389.0   2.9  39:25.87 java
  47397 root      20   0 9218556 465148  29016 S 392.1   2.9  39:29.83 java
  47397 root      20   0 9218556 465148  29016 S 393.0   2.9  39:33.76 java
  47397 root      20   0 9218556 465148  29016 S 383.0   2.9  39:37.59 java
  47397 root      20   0 9218556 465148  29016 S 391.0   2.9  39:41.50 java
  47397 root      20   0 9218556 465148  29016 S 382.0   2.9  39:45.32 java
  47397 root      20   0 9218556 465148  29016 S 395.0   2.9  39:49.27 java
  47397 root      20   0 9218556 465148  29016 S 396.0   2.9  39:53.23 java
  47397 root      20   0 9218556 465148  29016 S 384.0   2.9  39:57.07 java
  47397 root      20   0 9218556 465148  29016 S 387.1   2.9  40:00.98 java
  47397 root      20   0 9218556 465148  29016 S 385.0   2.9  40:04.83 java
  47397 root      20   0 9218556 465148  29016 S 393.0   2.9  40:08.76 java
  47397 root      20   0 9218556 465148  29016 S 393.0   2.9  40:12.69 java
  47397 root      20   0 9218556 465148  29016 S 394.0   2.9  40:16.63 java
  47397 root      20   0 9218556 465148  29016 S 390.0   2.9  40:20.53 java
  47397 root      20   0 9218556 465148  29016 S 390.0   2.9  40:24.43 java
  47397 root      20   0 9218556 465148  29016 S 393.0   2.9  40:28.36 java
  47397 root      20   0 9218556 465148  29016 S 399.0   2.9  40:32.35 java
  47397 root      20   0 9218556 465148  29016 S 392.1   2.9  40:36.31 java
  47397 root      20   0 9218556 465148  29016 S 383.0   2.9  40:40.14 java
  47397 root      20   0 9218556 465148  29016 S 379.0   2.9  40:43.93 java
  47397 root      20   0 9218556 465148  29016 S 405.0   2.9  40:47.98 java
  47397 root      20   0 9218556 465148  29016 S 401.0   2.9  40:51.99 java
  47397 root      20   0 9218556 465148  29016 S 397.0   2.9  40:55.96 java
  47397 root      20   0 9218556 465148  29016 S 391.0   2.9  40:59.87 java
  47397 root      20   0 9218556 465148  29016 S 395.0   2.9  41:03.82 java
  47397 root      20   0 9218556 465148  29016 S 402.0   2.9  41:07.84 java
  47397 root      20   0 9218556 465148  29016 S 374.3   2.9  41:11.62 java
  47397 root      20   0 9218556 465148  29016 S 392.0   2.9  41:15.54 java
  47397 root      20   0 9218556 465148  29016 S 390.0   2.9  41:19.44 java
  47397 root      20   0 9218556 465148  29016 S 394.0   2.9  41:23.38 java
  47397 root      20   0 9218556 465148  29016 S 397.0   2.9  41:27.35 java
  47397 root      20   0 9218556 465148  29016 S 385.0   2.9  41:31.20 java
  47397 root      20   0 9218556 465148  29016 S 400.0   2.9  41:35.20 java
  47397 root      20   0 9218556 465148  29016 S 390.0   2.9  41:39.10 java
  47397 root      20   0 9218556 465148  29016 S 378.0   2.9  41:42.88 java
  47397 root      20   0 9218556 465148  29016 S 385.1   2.9  41:46.77 java
  47397 root      20   0 9218556 465148  29016 S 399.0   2.9  41:50.76 java
  47397 root      20   0 9218556 465148  29016 S 401.0   2.9  41:54.77 java
  47397 root      20   0 9218556 465148  29016 S 395.0   2.9  41:58.72 java
  47397 root      20   0 9218556 465148  29016 S 394.0   2.9  42:02.66 java
  47397 root      20   0 9218556 465148  29016 S 394.0   2.9  42:06.60 java
  47397 root      20   0 9218556 465148  29016 S 398.0   2.9  42:10.58 java
  47397 root      20   0 9218556 465148  29016 S 392.0   2.9  42:14.50 java
  47397 root      20   0 9218556 465148  29016 S 397.0   2.9  42:18.47 java
  47397 root      20   0 9218556 465148  29016 S 398.0   2.9  42:22.49 java
  47397 root      20   0 9218556 465148  29016 S 390.0   2.9  42:26.39 java
  47397 root      20   0 9218556 465148  29016 S 398.0   2.9  42:30.37 java
  47397 root      20   0 9218556 465148  29016 S 395.0   2.9  42:34.
