  47397 root      20   0 9218556 466036  29016 S  66.7   2.9  47:00.91 java
  47397 root      20   0 9218556 466036  29016 S 347.0   2.9  47:04.38 java
  47397 root      20   0 9218556 466200  29016 S 405.0   2.9  47:08.43 java
  47397 root      20   0 9218556 466200  29016 S 398.0   2.9  47:12.41 java
  47397 root      20   0 9218556 466352  29016 S 397.0   2.9  47:16.38 java
  47397 root      20   0 9218556 466352  29016 S 400.0   2.9  47:20.38 java
  47397 root      20   0 9218556 466352  29016 S 396.0   2.9  47:24.38 java
  47397 root      20   0 9218556 466352  29016 S 400.0   2.9  47:28.38 java
  47397 root      20   0 9218556 466352  29016 S 400.0   2.9  47:32.38 java
  47397 root      20   0 9218556 466352  29016 S 400.0   2.9  47:36.38 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  47:40.38 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  47:44.39 java
  47397 root      20   0 9218556 466548  29016 S 399.0   2.9  47:48.38 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  47:52.39 java
  47397 root      20   0 9218556 466548  29016 S 396.0   2.9  47:56.39 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  48:00.39 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  48:04.39 java
  47397 root      20   0 9218556 466548  29016 S 402.0   2.9  48:08.41 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  48:12.42 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  48:16.43 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  48:20.44 java
  47397 root      20   0 9218556 466548  29016 S 396.0   2.9  48:24.44 java
  47397 root      20   0 9218556 466548  29016 S 402.0   2.9  48:28.46 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  48:32.46 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  48:36.47 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  48:40.48 java
  47397 root      20   0 9218556 466548  29016 S 402.0   2.9  48:44.50 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  48:48.50 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  48:52.51 java
  47397 root      20   0 9218556 466548  29016 S 397.0   2.9  48:56.52 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  49:00.52 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  49:04.53 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  49:08.54 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  49:12.54 java
  47397 root      20   0 9218556 466548  29016 S 402.0   2.9  49:16.56 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  49:20.56 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  49:24.56 java
  47397 root      20   0 9218556 466548  29016 S 397.0   2.9  49:28.57 java
  47397 root      20   0 9218556 466548  29016 S 402.0   2.9  49:32.59 java
  47397 root      20   0 9218556 466548  29016 S 403.0   2.9  49:36.62 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  49:40.62 java
  47397 root      20   0 9218556 466548  29016 S 395.0   2.9  49:44.57 java
  47397 root      20   0 9218556 466548  29016 S 407.0   2.9  49:48.64 java
  47397 root      20   0 9218556 466548  29016 S 399.0   2.9  49:52.63 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  49:56.63 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  50:00.64 java
  47397 root      20   0 9218556 466548  29016 S 397.0   2.9  50:04.65 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  50:08.66 java
  47397 root      20   0 9218556 466548  29016 S 400.0   2.9  50:12.66 java
  47397 root      20   0 9218556 466548  29016 S 399.0   2.9  50:16.65 java
  47397 root      20   0 9218556 466548  29016 S 402.0   2.9  50:20.67 java
  47397 root      20   0 9218556 466548  29016 S 399.0   2.9  50:24.66 java
  47397 root      20   0 9218556 466548  29016 S 401.0   2.9  50:28.67 java
  47397 root      20   0 9218556 466548  29016 S 403.0   2.9  50:32.
