Running 1m test @ http://erik-pc.local:8080/greeting/Bob
  4 threads and 100 connections
  Thread calibration: mean lat.: 27.578ms, rate sampling interval: 109ms
  Thread calibration: mean lat.: 29.635ms, rate sampling interval: 110ms
  Thread calibration: mean lat.: 27.648ms, rate sampling interval: 109ms
  Thread calibration: mean lat.: 28.698ms, rate sampling interval: 111ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    28.90ms   19.44ms 138.62ms   59.21%
    Req/Sec     8.04k     1.08k   12.47k    69.71%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   28.99ms
 75.000%   44.77ms
 90.000%   53.89ms
 99.000%   72.00ms
 99.900%   98.62ms
 99.990%  119.68ms
 99.999%  130.94ms
100.000%  138.75ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.218     0.000000            1         1.00
       1.585     0.100000       159682         1.11
       8.011     0.200000       319309         1.25
      15.407     0.300000       478949         1.43
      22.319     0.400000       638852         1.67
      28.991     0.500000       798382         2.00
      32.255     0.550000       878078         2.22
      35.487     0.600000       958678         2.50
      38.623     0.650000      1038137         2.86
      41.727     0.700000      1117955         3.33
      44.767     0.750000      1197670         4.00
      46.271     0.775000      1237890         4.44
      47.743     0.800000      1278001         5.00
      49.183     0.825000      1317344         5.71
      50.687     0.850000      1357708         6.67
      52.223     0.875000      1397652         8.00
      53.023     0.887500      1417030         8.89
      53.887     0.900000      1437468        10.00
      54.783     0.912500      1457424        11.43
      55.775     0.925000      1476991        13.33
      56.895     0.937500      1497196        16.00
      57.503     0.943750      1506993        17.78
      58.175     0.950000      1516729        20.00
      59.007     0.956250      1526652        22.86
      59.935     0.962500      1536703        26.67
      61.087     0.968750      1546767        32.00
      61.823     0.971875      1551754        35.56
      62.687     0.975000      1556583        40.00
      63.743     0.978125      1561614        45.71
      65.183     0.981250      1566613        53.33
      67.007     0.984375      1571564        64.00
      68.159     0.985938      1574106        71.11
      69.439     0.987500      1576539        80.00
      70.975     0.989062      1579103        91.43
      72.703     0.990625      1581518       106.67
      74.815     0.992188      1584046       128.00
      75.967     0.992969      1585263       142.22
      77.311     0.993750      1586527       160.00
      78.847     0.994531      1587782       182.86
      80.575     0.995313      1589017       213.33
      82.559     0.996094      1590252       256.00
      83.775     0.996484      1590884       284.44
      85.247     0.996875      1591510       320.00
      86.975     0.997266      1592125       365.71
      88.895     0.997656      1592747       426.67
      91.199     0.998047      1593387       512.00
      92.415     0.998242      1593684       568.89
      93.631     0.998437      1593990       640.00
      95.103     0.998633      1594308       731.43
      96.895     0.998828      1594614       853.33
      98.879     0.999023      1594931      1024.00
     100.095     0.999121      1595080      1137.78
     101.311     0.999219      1595238      1280.00
     102.847     0.999316      1595393      1462.86
     104.447     0.999414      1595551      1706.67
     106.303     0.999512      1595708      2048.00
     107.455     0.999561      1595783      2275.56
     108.671     0.999609      1595862      2560.00
     109.951     0.999658      1595940      2925.71
     111.231     0.999707      1596018      3413.33
     112.831     0.999756      1596096      4096.00
     113.727     0.999780      1596134      4551.11
     114.623     0.999805      1596172      5120.00
     115.839     0.999829      1596212      5851.43
     116.927     0.999854      1596251      6826.67
     118.335     0.999878      1596289      8192.00
     119.295     0.999890      1596310      9102.22
     119.871     0.999902      1596328     10240.00
     120.895     0.999915      1596348     11702.86
     121.471     0.999927      1596367     13653.33
     122.751     0.999939      1596389     16384.00
     123.007     0.999945      1596396     18204.44
     123.839     0.999951      1596406     20480.00
     124.479     0.999957      1596416     23405.71
     125.119     0.999963      1596425     27306.67
     126.079     0.999969      1596436     32768.00
     126.527     0.999973      1596440     36408.89
     126.975     0.999976      1596445     40960.00
     127.615     0.999979      1596449     46811.43
     128.191     0.999982      1596455     54613.33
     129.023     0.999985      1596459     65536.00
     129.855     0.999986      1596462     72817.78
     130.687     0.999988      1596464     81920.00
     130.879     0.999989      1596466     93622.86
     131.711     0.999991      1596469    109226.67
     132.479     0.999992      1596471    131072.00
     133.631     0.999993      1596474    145635.56
     133.631     0.999994      1596474    163840.00
     133.887     0.999995      1596475    187245.71
     134.527     0.999995      1596476    218453.33
     135.039     0.999996      1596477    262144.00
     135.167     0.999997      1596478    291271.11
     135.679     0.999997      1596479    327680.00
     135.679     0.999997      1596479    374491.43
     136.831     0.999998      1596480    436906.67
     136.831     0.999998      1596480    524288.00
     137.343     0.999998      1596481    582542.22
     137.343     0.999998      1596481    655360.00
     137.343     0.999999      1596481    748982.86
     137.727     0.999999      1596482    873813.33
     137.727     0.999999      1596482   1048576.00
     137.727     0.999999      1596482   1165084.44
     137.727     0.999999      1596482   1310720.00
     137.727     0.999999      1596482   1497965.71
     138.751     0.999999      1596483   1747626.67
     138.751     1.000000      1596483          inf
#[Mean    =       28.900, StdDeviation   =       19.441]
#[Max     =      138.624, Total count    =      1596483]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1909560 requests in 1.00m, 158.44MB read
Requests/sec:  31814.46
Transfer/sec:      2.64MB
