  47950 1001      20   0 2033244  66680  46240 S  66.7   0.4   0:00.16 application
  47950 1001      20   0 2508396 245652  46240 S 153.0   1.5   0:01.69 application
  47950 1001      20   0 2563692 315012  46728 S 180.0   1.9   0:03.49 application
  47950 1001      20   0 2563692 320268  46984 S 173.0   2.0   0:05.22 application
  47950 1001      20   0 2702960 320268  46984 S 173.0   2.0   0:06.95 application
  47950 1001      20   0 2703984 320796  46984 S 175.0   2.0   0:08.70 application
  47950 1001      20   0 2703984 320796  46984 S 173.3   2.0   0:10.45 application
  47950 1001      20   0 2703984 320796  46984 S 173.0   2.0   0:12.18 application
  47950 1001      20   0 2703984 320796  46984 S 173.0   2.0   0:13.91 application
  47950 1001      20   0 2703984 320796  46984 S 172.0   2.0   0:15.63 application
  47950 1001      20   0 2703984 320796  46984 S 173.0   2.0   0:17.36 application
  47950 1001      20   0 2703984 320796  46984 S 175.0   2.0   0:19.11 application
  47950 1001      20   0 2703984 320796  46984 S 173.0   2.0   0:20.84 application
  47950 1001      20   0 2703984 320796  46984 S 173.0   2.0   0:22.57 application
  47950 1001      20   0 2777716 320796  46984 S 176.0   2.0   0:24.33 application
  47950 1001      20   0 2852472 321324  46984 S 171.0   2.0   0:26.04 application
  47950 1001      20   0 2852472 321852  46984 S 174.3   2.0   0:27.80 application
  47950 1001      20   0 2852472 321852  46984 S 172.0   2.0   0:29.52 application
  47950 1001      20   0 2852472 321852  46984 S 173.0   2.0   0:31.25 application
  47950 1001      20   0 2852472 321852  46984 S 173.0   2.0   0:32.98 application
  47950 1001      20   0 2852472 321852  46984 S 174.0   2.0   0:34.72 application
  47950 1001      20   0 2852472 321852  46984 S 172.0   2.0   0:36.44 application
  47950 1001      20   0 2852472 321852  46984 S 174.0   2.0   0:38.18 application
  47950 1001      20   0 2852472 321852  46984 S 172.0   2.0   0:39.90 application
  47950 1001      20   0 2852472 322116  46984 S 175.0   2.0   0:41.65 application
  47950 1001      20   0 2853496 322380  46984 S 172.3   2.0   0:43.39 application
  47950 1001      20   0 2853496 322644  46984 S 174.0   2.0   0:45.13 application
  47950 1001      20   0 2853496 322908  46984 S 173.0   2.0   0:46.86 application
  47950 1001      20   0 2853496 322908  46984 S 172.0   2.0   0:48.58 application
  47950 1001      20   0 2853496 322908  46984 S 172.0   2.0   0:50.30 application
  47950 1001      20   0 2853496 322908  46984 S 173.0   2.0   0:52.03 application
  47950 1001      20   0 2853496 322908  46984 S 176.0   2.0   0:53.79 application
  47950 1001      20   0 2853496 322908  46984 S 173.0   2.0   0:55.52 application
  47950 1001      20   0 2853496 322908  46984 S 176.0   2.0   0:57.28 application
  47950 1001      20   0 2853496 323172  46984 S 173.0   2.0   0:59.01 application
  47950 1001      20   0 2853496 323172  46984 S 171.3   2.0   1:00.74 application
  47950 1001      20   0 2853496 323172  46984 S 167.0   2.0   1:02.41 application
  47950 1001      20   0 2853496 323436  46984 S 174.0   2.0   1:04.15 application
  47950 1001      20   0 2853496 323436  46984 S 172.0   2.0   1:05.87 application
  47950 1001      20   0 2854520 323436  46984 S 171.0   2.0   1:07.58 application
  47950 1001      20   0 2854520 323436  46984 S 174.0   2.0   1:09.32 application
  47950 1001      20   0 2854520 323436  46984 S 173.0   2.0   1:11.05 application
  47950 1001      20   0 2854520 323700  46984 S 176.0   2.0   1:12.81 application
  47950 1001      20   0 2854520 323964  46984 S 176.0   2.0   1:14.57 application
  47950 1001      20   0 2854520 323964  46984 S 170.0   2.0   1:16.27 application
  47950 1001      20   0 2854520 323964  46984 S 172.3   2.0   1:18.01 application
  47950 1001      20   0 2854520 324228  46984 S 174.0   2.0   1:19.75 application
  47950 1001      20   0 2854520 324228  46984 S 176.0   2.0   1:21.51 application
  47950 1001      20   0 2854520 324492  46984 S 172.0   2.0   1:23.23 application
  47950 1001      20   0 2854
