Running 1m test @ http://erik-pc.local:8080/fruits
  4 threads and 100 connections
  Thread calibration: mean lat.: 25.491ms, rate sampling interval: 96ms
  Thread calibration: mean lat.: 24.757ms, rate sampling interval: 95ms
  Thread calibration: mean lat.: 23.669ms, rate sampling interval: 91ms
  Thread calibration: mean lat.: 23.522ms, rate sampling interval: 91ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    25.90ms   17.78ms 128.70ms   60.29%
    Req/Sec     6.04k   798.76     9.27k    71.36%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   26.09ms
 75.000%   39.71ms
 90.000%   48.32ms
 99.000%   68.74ms
 99.900%   94.08ms
 99.990%  115.07ms
 99.999%  123.97ms
100.000%  128.77ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.248     0.000000            1         1.00
       1.647     0.100000       119821         1.11
       6.355     0.200000       239576         1.25
      13.567     0.300000       359411         1.43
      20.079     0.400000       479367         1.67
      26.095     0.500000       598965         2.00
      28.975     0.550000       658812         2.22
      31.759     0.600000       718688         2.50
      34.495     0.650000       779171         2.86
      37.119     0.700000       838546         3.33
      39.711     0.750000       898300         4.00
      41.023     0.775000       928684         4.44
      42.335     0.800000       958884         5.00
      43.647     0.825000       988093         5.71
      45.087     0.850000      1018647         6.67
      46.623     0.875000      1048560         8.00
      47.423     0.887500      1063021         8.89
      48.319     0.900000      1078032        10.00
      49.311     0.912500      1093176        11.43
      50.399     0.925000      1108146        13.33
      51.615     0.937500      1122827        16.00
      52.319     0.943750      1130458        17.78
      53.119     0.950000      1138055        20.00
      53.983     0.956250      1145271        22.86
      55.071     0.962500      1152920        26.67
      56.383     0.968750      1160284        32.00
      57.215     0.971875      1164006        35.56
      58.239     0.975000      1167806        40.00
      59.519     0.978125      1171519        45.71
      61.151     0.981250      1175259        53.33
      63.263     0.984375      1178962        64.00
      64.511     0.985938      1180826        71.11
      66.047     0.987500      1182742        80.00
      67.647     0.989062      1184595        91.43
      69.567     0.990625      1186466       106.67
      71.743     0.992188      1188310       128.00
      73.087     0.992969      1189281       142.22
      74.495     0.993750      1190212       160.00
      76.095     0.994531      1191147       182.86
      77.823     0.995313      1192069       213.33
      79.935     0.996094      1192997       256.00
      81.151     0.996484      1193472       284.44
      82.495     0.996875      1193933       320.00
      83.903     0.997266      1194396       365.71
      85.567     0.997656      1194866       426.67
      87.551     0.998047      1195342       512.00
      88.575     0.998242      1195566       568.89
      89.727     0.998437      1195799       640.00
      91.007     0.998633      1196037       731.43
      92.543     0.998828      1196268       853.33
      94.335     0.999023      1196497      1024.00
      95.423     0.999121      1196614      1137.78
      96.703     0.999219      1196733      1280.00
      98.175     0.999316      1196851      1462.86
      99.647     0.999414      1196968      1706.67
     101.567     0.999512      1197085      2048.00
     102.591     0.999561      1197140      2275.56
     103.935     0.999609      1197200      2560.00
     105.023     0.999658      1197261      2925.71
     106.687     0.999707      1197316      3413.33
     108.607     0.999756      1197376      4096.00
     109.439     0.999780      1197403      4551.11
     110.399     0.999805      1197434      5120.00
     111.359     0.999829      1197464      5851.43
     112.639     0.999854      1197492      6826.67
     114.047     0.999878      1197521      8192.00
     114.623     0.999890      1197537      9102.22
     115.199     0.999902      1197550     10240.00
     115.839     0.999915      1197566     11702.86
     116.735     0.999927      1197579     13653.33
     117.631     0.999939      1197593     16384.00
     118.143     0.999945      1197601     18204.44
     118.655     0.999951      1197608     20480.00
     119.359     0.999957      1197615     23405.71
     120.319     0.999963      1197623     27306.67
     120.831     0.999969      1197630     32768.00
     121.343     0.999973      1197634     36408.89
     121.599     0.999976      1197637     40960.00
     121.983     0.999979      1197641     46811.43
     122.303     0.999982      1197645     54613.33
     123.007     0.999985      1197649     65536.00
     123.327     0.999986      1197651     72817.78
     123.711     0.999988      1197652     81920.00
     123.967     0.999989      1197654     93622.86
     124.351     0.999991      1197656    109226.67
     124.479     0.999992      1197657    131072.00
     124.671     0.999993      1197658    145635.56
     124.799     0.999994      1197659    163840.00
     125.375     0.999995      1197660    187245.71
     126.015     0.999995      1197661    218453.33
     126.335     0.999996      1197662    262144.00
     126.335     0.999997      1197662    291271.11
     126.975     0.999997      1197663    327680.00
     126.975     0.999997      1197663    374491.43
     127.359     0.999998      1197664    436906.67
     127.359     0.999998      1197664    524288.00
     127.359     0.999998      1197664    582542.22
     127.679     0.999998      1197665    655360.00
     127.679     0.999999      1197665    748982.86
     127.679     0.999999      1197665    873813.33
     127.679     0.999999      1197665   1048576.00
     127.679     0.999999      1197665   1165084.44
     128.767     0.999999      1197666   1310720.00
     128.767     1.000000      1197666          inf
#[Mean    =       25.897, StdDeviation   =       17.782]
#[Max     =      128.704, Total count    =      1197666]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1438163 requests in 1.00m, 233.16MB read
Requests/sec:  23959.10
Transfer/sec:      3.88MB
