   5631 root      20   0 9218556 393380  29068 S 113.3   2.4   1:08.48 java
   5631 root      20   0 9218556 393380  29068 S  96.0   2.4   1:09.44 java
   5631 root      20   0 9218556 393380  29068 S  88.0   2.4   1:10.32 java
   5631 root      20   0 9218556 393380  29068 S  87.0   2.4   1:11.19 java
   5631 root      20   0 9218556 393380  29068 S  85.0   2.4   1:12.04 java
   5631 root      20   0 9218556 393380  29068 S  84.0   2.4   1:12.88 java
   5631 root      20   0 9218556 393448  29068 S  83.2   2.4   1:13.72 java
   5631 root      20   0 9218556 393508  29068 S  85.0   2.4   1:14.57 java
   5631 root      20   0 9218556 393508  29068 S  83.0   2.4   1:15.40 java
   5631 root      20   0 9218556 393508  29068 S  82.0   2.4   1:16.22 java
   5631 root      20   0 9218556 393508  29068 S  84.0   2.4   1:17.06 java
   5631 root      20   0 9218556 393508  29068 S  85.0   2.4   1:17.91 java
   5631 root      20   0 9218556 393556  29068 S  84.0   2.4   1:18.75 java
   5631 root      20   0 9218556 393556  29068 S  87.0   2.4   1:19.62 java
   5631 root      20   0 9218556 393556  29068 S  85.1   2.4   1:20.48 java
   5631 root      20   0 9218556 393556  29068 S  85.0   2.4   1:21.33 java
   5631 root      20   0 9218556 393556  29068 S  84.0   2.4   1:22.17 java
   5631 root      20   0 9218556 393676  29068 S  85.0   2.4   1:23.02 java
   5631 root      20   0 9218556 393676  29068 S  87.0   2.4   1:23.89 java
   5631 root      20   0 9218556 393676  29068 S  86.0   2.4   1:24.75 java
   5631 root      20   0 9218556 393676  29068 S  88.0   2.4   1:25.63 java
   5631 root      20   0 9218556 393884  29068 S  86.0   2.4   1:26.49 java
   5631 root      20   0 9218556 393884  29068 S  86.0   2.4   1:27.35 java
   5631 root      20   0 9218556 393884  29068 S  83.2   2.4   1:28.19 java
   5631 root      20   0 9218556 393884  29068 S  88.0   2.4   1:29.07 java
   5631 root      20   0 9218556 393884  29068 S  88.0   2.4   1:29.95 java
   5631 root      20   0 9218556 393884  29068 S  88.0   2.4   1:30.83 java
   5631 root      20   0 9218556 393884  29068 S  82.0   2.4   1:31.65 java
   5631 root      20   0 9218556 393884  29068 S  80.0   2.4   1:32.45 java
   5631 root      20   0 9218556 393884  29068 S  83.0   2.4   1:33.28 java
   5631 root      20   0 9218556 393884  29068 S  81.0   2.4   1:34.09 java
   5631 root      20   0 9218556 393884  29068 S  84.0   2.4   1:34.93 java
   5631 root      20   0 9218556 393884  29068 S  84.2   2.4   1:35.78 java
   5631 root      20   0 9218556 393884  29068 S  86.0   2.4   1:36.64 java
   5631 root      20   0 9218556 393884  29068 S  83.0   2.4   1:37.47 java
   5631 root      20   0 9218556 393884  29068 S  86.0   2.4   1:38.33 java
   5631 root      20   0 9218556 393884  29068 S  80.0   2.4   1:39.13 java
   5631 root      20   0 9218556 393884  29068 S  86.0   2.4   1:39.99 java
   5631 root      20   0 9218556 393884  29068 S  88.0   2.4   1:40.87 java
   5631 root      20   0 9218556 393884  29068 S  84.0   2.4   1:41.71 java
   5631 root      20   0 9218556 393884  29068 S  79.0   2.4   1:42.50 java
   5631 root      20   0 9218556 393884  29068 S  84.0   2.4   1:43.34 java
   5631 root      20   0 9218556 393884  29068 S  83.2   2.4   1:44.18 java
   5631 root      20   0 9218556 393884  29068 S  84.0   2.4   1:45.02 java
   5631 root      20   0 9218556 393884  29068 S  85.0   2.4   1:45.87 java
   5631 root      20   0 9218556 393884  29068 S  86.0   2.4   1:46.73 java
   5631 root      20   0 9218556 393884  29068 S  86.0   2.4   1:47.59 java
   5631 root      20   0 9218556 393884  29068 S  89.0   2.4   1:48.48 java
   5631 root      20   0 9218556 393884  29068 S  88.0   2.4   1:49.36 java
   5631 root      20   0 9218556 393884  29068 S  85.0   2.4   1:50.21 java
   5631 root      20   0 9218556 393884  29068 S  86.0   2.4   1:51.07 java
   5631 root      20   0 9218556 393884  29068 S  84.2   2.4   1:51.92 java
   5631 root      20   0 9218556 393884  29068 S  83.0   2.4   1:52.75 java
   5631 root      20   0 9218556 393884  29068 S  82.0   2.4   1:53.
