  12146 1001      20   0 8923064 572688  52816 S 140.0   3.5  30:24.97 application
  12146 1001      20   0 8924088 574268  52816 S 404.0   3.5  30:29.01 application
  12146 1001      20   0 8925112 574796  52816 S 399.0   3.5  30:33.00 application
  12146 1001      20   0 8926136 576380  52816 S 400.0   3.5  30:37.00 application
  12146 1001      20   0 8927160 576644  52816 S 401.0   3.5  30:41.01 application
  12146 1001      20   0 8927160 577172  52816 S 396.0   3.5  30:45.01 application
  12146 1001      20   0 8928184 577964  52816 S 402.0   3.5  30:49.03 application
  12146 1001      20   0 8928184 577748  52816 S 401.0   3.5  30:53.04 application
  12146 1001      20   0 8928184 578340  52816 S 400.0   3.5  30:57.04 application
  12146 1001      20   0 8928184 577872  52816 S 402.0   3.5  31:01.06 application
  12146 1001      20   0 8927160 577992  53840 S 395.0   3.5  31:05.01 application
  12146 1001      20   0 8927160 578520  53840 S 407.0   3.5  31:09.08 application
  12146 1001      20   0 8927160 578520  53840 S 400.0   3.5  31:13.08 application
  12146 1001      20   0 8927160 578520  53840 S 400.0   3.5  31:17.08 application
  12146 1001      20   0 8927160 578784  53840 S 403.0   3.5  31:21.11 application
  12146 1001      20   0 8927160 578784  53840 S 397.0   3.5  31:25.12 application
  12146 1001      20   0 8927160 578784  53840 S 400.0   3.5  31:29.12 application
  12146 1001      20   0 8927160 578784  53840 S 401.0   3.5  31:33.13 application
  12146 1001      20   0 8927160 578784  53840 S 400.0   3.5  31:37.13 application
  12146 1001      20   0 8927160 578784  53840 S 403.0   3.5  31:41.16 application
  12146 1001      20   0 8927160 578784  53840 S 398.0   3.5  31:45.14 application
  12146 1001      20   0 8927160 578784  53840 S 401.0   3.5  31:49.15 application
  12146 1001      20   0 8927160 578784  53840 S 402.0   3.5  31:53.17 application
  12146 1001      20   0 8927160 578784  53840 S 404.0   3.5  31:57.21 application
  12146 1001      20   0 8927160 578784  53840 S 390.1   3.5  32:01.15 application
  12146 1001      20   0 8927160 578784  53840 S 404.0   3.5  32:05.19 application
  12146 1001      20   0 8927160 578784  53840 S 400.0   3.5  32:09.19 application
  12146 1001      20   0 8927160 578784  53840 S 402.0   3.5  32:13.21 application
  12146 1001      20   0 8927160 578784  53840 S 403.0   3.5  32:17.24 application
  12146 1001      20   0 8927160 578784  53840 S 400.0   3.5  32:21.24 application
  12146 1001      20   0 8927160 578784  53840 S 403.0   3.5  32:25.27 application
  12146 1001      20   0 8927160 578784  53840 S 397.0   3.5  32:29.24 application
  12146 1001      20   0 8927160 578784  53840 S 401.0   3.5  32:33.25 application
  12146 1001      20   0 8927160 578784  53840 S 406.0   3.5  32:37.31 application
  12146 1001      20   0 8927160 578784  53840 S 399.0   3.5  32:41.30 application
  12146 1001      20   0 8927160 578784  53840 S 397.0   3.5  32:45.31 application
  12146 1001      20   0 8927160 578784  53840 S 400.0   3.5  32:49.31 application
  12146 1001      20   0 8927160 578784  53840 S 397.0   3.5  32:53.28 application
  12146 1001      20   0 8927160 578784  53840 S 404.0   3.5  32:57.32 application
  12146 1001      20   0 8927160 578784  53840 S 402.0   3.5  33:01.34 application
  12146 1001      20   0 8927160 578784  53840 S 400.0   3.5  33:05.34 application
  12146 1001      20   0 8927160 578784  53840 S 400.0   3.5  33:09.34 application
  12146 1001      20   0 8927160 578784  53840 S 401.0   3.5  33:13.35 application
  12146 1001      20   0 8927160 578784  53840 S 400.0   3.5  33:17.35 application
  12146 1001      20   0 8927160 578784  53840 S 397.0   3.5  33:21.32 application
  12146 1001      20   0 8927160 578784  53840 S 398.0   3.5  33:25.34 application
  12146 1001      20   0 8927160 578784  53840 S 401.0   3.5  33:29.35 application
  12146 1001      20   0 8927160 578884  53840 S 400.0   3.5  33:33.35 application
  12146 1001      20   0 8927160 578884  53840 S 399.0   3.5  33:37.34 application
  12146 1001      20   0 8927
