   6322 1001      20   0 1288620 313144  42572 S   0.0   1.9   1:57.13 application
   6322 1001      20   0 1288620 313144  42572 S 142.0   1.9   1:58.55 application
   6322 1001      20   0 1289644 313996  42636 S 208.0   1.9   2:00.63 application
   6322 1001      20   0 1289644 313996  42636 S 211.0   1.9   2:02.74 application
   6322 1001      20   0 1289644 313996  42636 S 198.0   1.9   2:04.72 application
   6322 1001      20   0 1289644 313996  42636 S 196.0   1.9   2:06.70 application
   6322 1001      20   0 1289644 313996  42636 S 201.0   1.9   2:08.71 application
   6322 1001      20   0 1289644 313996  42636 S 204.0   1.9   2:10.75 application
   6322 1001      20   0 1289644 313996  42636 S 204.0   1.9   2:12.79 application
   6322 1001      20   0 1289644 313996  42636 S 204.0   1.9   2:14.83 application
   6322 1001      20   0 1289644 313996  42636 S 204.0   1.9   2:16.87 application
   6322 1001      20   0 1289644 313996  42636 S 205.0   1.9   2:18.92 application
   6322 1001      20   0 1289644 313996  42636 S 201.0   1.9   2:20.95 application
   6322 1001      20   0 1289644 313996  42636 S 203.0   1.9   2:22.98 application
   6322 1001      20   0 1289644 313996  42636 S 201.0   1.9   2:24.99 application
   6322 1001      20   0 1289644 313996  42636 S 207.0   1.9   2:27.06 application
   6322 1001      20   0 1289644 313996  42636 S 203.0   1.9   2:29.09 application
   6322 1001      20   0 1289644 313996  42636 S 203.0   1.9   2:31.12 application
   6322 1001      20   0 1289644 313996  42636 S 202.0   1.9   2:33.14 application
   6322 1001      20   0 1289644 313996  42636 S 202.0   1.9   2:35.16 application
   6322 1001      20   0 1289644 313996  42636 S 199.0   1.9   2:37.17 application
   6322 1001      20   0 1289644 313996  42636 S 202.0   1.9   2:39.19 application
   6322 1001      20   0 1289644 313996  42636 S 202.0   1.9   2:41.21 application
   6322 1001      20   0 1289644 313996  42636 S 205.0   1.9   2:43.26 application
   6322 1001      20   0 1289644 313996  42636 S 202.0   1.9   2:45.28 application
   6322 1001      20   0 1289644 313996  42636 S 203.0   1.9   2:47.31 application
   6322 1001      20   0 1289644 313996  42636 S 203.0   1.9   2:49.34 application
   6322 1001      20   0 1289644 313996  42636 S 211.0   1.9   2:51.45 application
   6322 1001      20   0 1289644 313996  42636 S 205.0   1.9   2:53.52 application
   6322 1001      20   0 1289644 313996  42636 S 208.0   1.9   2:55.60 application
   6322 1001      20   0 1289644 313996  42636 S 207.0   1.9   2:57.67 application
   6322 1001      20   0 1289644 313996  42636 S 210.0   1.9   2:59.77 application
   6322 1001      20   0 1289644 313996  42636 S 206.0   1.9   3:01.83 application
   6322 1001      20   0 1289644 313996  42636 S 205.0   1.9   3:03.88 application
   6322 1001      20   0 1289644 313996  42636 S 207.0   1.9   3:05.95 application
   6322 1001      20   0 1289644 313996  42636 S 207.0   1.9   3:08.02 application
   6322 1001      20   0 1289644 313996  42636 S 204.0   1.9   3:10.08 application
   6322 1001      20   0 1289644 313996  42636 S 202.0   1.9   3:12.10 application
   6322 1001      20   0 1289644 313996  42636 S 203.0   1.9   3:14.13 application
   6322 1001      20   0 1289644 313996  42636 S 202.0   1.9   3:16.15 application
   6322 1001      20   0 1289644 313996  42636 S 206.0   1.9   3:18.21 application
   6322 1001      20   0 1289644 313996  42636 S 198.0   1.9   3:20.19 application
   6322 1001      20   0 1289644 313996  42636 S 200.0   1.9   3:22.19 application
   6322 1001      20   0 1289644 313996  42636 S 203.0   1.9   3:24.24 application
   6322 1001      20   0 1289644 313996  42636 S 202.0   1.9   3:26.26 application
   6322 1001      20   0 1289644 313996  42636 S 202.0   1.9   3:28.28 application
   6322 1001      20   0 1289644 313996  42636 S 203.0   1.9   3:30.31 application
   6322 1001      20   0 1289644 313996  42636 S 206.0   1.9   3:32.37 application
   6322 1001      20   0 1289644 313996  42636 S 205.0   1.9   3:34.42 application
   6322 1001      20   0 1289
