  16979 1001      20   0 1303976 328864  43036 S 140.0   2.0  22:55.98 application
  16979 1001      20   0 1305000 329128  43036 S 380.0   2.0  22:59.78 application
  16979 1001      20   0 1305000 329128  43036 S 407.0   2.0  23:03.85 application
  16979 1001      20   0 1305000 329392  43036 S 396.0   2.0  23:07.81 application
  16979 1001      20   0 1305000 329392  43036 S 403.0   2.0  23:11.84 application
  16979 1001      20   0 1305000 329392  43036 S 401.0   2.0  23:15.85 application
  16979 1001      20   0 1305000 329392  43036 S 392.1   2.0  23:19.81 application
  16979 1001      20   0 1305000 329392  43036 S 405.0   2.0  23:23.86 application
  16979 1001      20   0 1305000 329656  43036 S 399.0   2.0  23:27.85 application
  16979 1001      20   0 1305000 329656  43036 S 400.0   2.0  23:31.85 application
  16979 1001      20   0 1305000 329656  43036 S 396.0   2.0  23:35.81 application
  16979 1001      20   0 1305000 329656  43036 S 402.0   2.0  23:39.83 application
  16979 1001      20   0 1306024 329656  43036 S 403.0   2.0  23:43.86 application
  16979 1001      20   0 1306024 329656  43036 S 403.0   2.0  23:47.89 application
  16979 1001      20   0 1306024 329656  43036 S 394.1   2.0  23:51.87 application
  16979 1001      20   0 1306024 329920  43036 S 402.0   2.0  23:55.89 application
  16979 1001      20   0 1306024 330184  43036 S 400.0   2.0  23:59.89 application
  16979 1001      20   0 1306024 330448  43036 S 400.0   2.0  24:03.89 application
  16979 1001      20   0 1307048 330448  43036 S 400.0   2.0  24:07.89 application
  16979 1001      20   0 1307048 331240  43036 S 401.0   2.0  24:11.90 application
  16979 1001      20   0 1307048 331240  43036 S 399.0   2.0  24:15.89 application
  16979 1001      20   0 1307048 331240  43036 S 400.0   2.0  24:19.89 application
  16979 1001      20   0 1307048 331240  43036 S 400.0   2.0  24:23.89 application
  16979 1001      20   0 1307048 331504  43036 S 396.0   2.0  24:27.89 application
  16979 1001      20   0 1307048 331504  43036 S 400.0   2.0  24:31.89 application
  16979 1001      20   0 1307048 331504  43036 S 399.0   2.0  24:35.88 application
  16979 1001      20   0 1307048 331768  43036 S 402.0   2.0  24:39.90 application
  16979 1001      20   0 1307048 331768  43036 S 400.0   2.0  24:43.90 application
  16979 1001      20   0 1307048 332032  43036 S 399.0   2.0  24:47.89 application
  16979 1001      20   0 1307048 332296  43036 S 400.0   2.0  24:51.89 application
  16979 1001      20   0 1307048 332560  43036 S 396.0   2.0  24:55.89 application
  16979 1001      20   0 1307048 332560  43036 S 401.0   2.0  24:59.90 application
  16979 1001      20   0 1307048 332560  43036 S 399.0   2.0  25:03.89 application
  16979 1001      20   0 1307048 332560  43036 S 400.0   2.0  25:07.89 application
  16979 1001      20   0 1307048 332560  43036 S 400.0   2.0  25:11.89 application
  16979 1001      20   0 1307048 332560  43036 S 400.0   2.0  25:15.89 application
  16979 1001      20   0 1307048 332560  43036 S 400.0   2.0  25:19.89 application
  16979 1001      20   0 1307048 332560  43036 S 400.0   2.0  25:23.89 application
  16979 1001      20   0 1307048 332560  43036 S 396.0   2.0  25:27.89 application
  16979 1001      20   0 1307048 332560  43036 S 402.0   2.0  25:31.91 application
  16979 1001      20   0 1307048 332560  43036 S 400.0   2.0  25:35.91 application
  16979 1001      20   0 1307048 332560  43036 S 402.0   2.0  25:39.93 application
  16979 1001      20   0 1307048 332560  43036 S 401.0   2.0  25:43.94 application
  16979 1001      20   0 1307048 332560  43036 S 401.0   2.0  25:47.95 application
  16979 1001      20   0 1307048 332560  43036 S 401.0   2.0  25:51.96 application
  16979 1001      20   0 1307048 332560  43036 S 397.0   2.0  25:55.97 application
  16979 1001      20   0 1307048 332560  43036 S 402.0   2.0  25:59.99 application
  16979 1001      20   0 1308072 332560  43036 S 401.0   2.0  26:04.00 application
  16979 1001      20   0 1308072 332560  43036 S 401.0   2.0  26:08.01 application
  16979 1001      20   0 1308
