   6322 1001      20   0 1314220 337932  42824 S  62.5   2.1  31:19.01 application
   6322 1001      20   0 1314220 338196  42824 S 414.0   2.1  31:23.15 application
   6322 1001      20   0 1314220 338460  42824 S 404.0   2.1  31:27.19 application
   6322 1001      20   0 1314220 338460  42824 S 399.0   2.1  31:31.18 application
   6322 1001      20   0 1314220 338724  42824 S 397.0   2.1  31:35.15 application
   6322 1001      20   0 1314220 338724  42824 S 402.0   2.1  31:39.17 application
   6322 1001      20   0 1314220 338724  42824 S 405.0   2.1  31:43.22 application
   6322 1001      20   0 1314220 338724  42824 S 402.0   2.1  31:47.24 application
   6322 1001      20   0 1314220 338724  42824 S 398.0   2.1  31:51.22 application
   6322 1001      20   0 1315244 338988  42824 S 392.1   2.1  31:55.18 application
   6322 1001      20   0 1315244 338988  42824 S 404.0   2.1  31:59.22 application
   6322 1001      20   0 1315244 338988  42824 S 405.0   2.1  32:03.27 application
   6322 1001      20   0 1315244 338988  42824 S 397.0   2.1  32:07.24 application
   6322 1001      20   0 1315244 339252  42824 S 398.0   2.1  32:11.22 application
   6322 1001      20   0 1315244 339252  42824 S 402.0   2.1  32:15.24 application
   6322 1001      20   0 1315244 339252  42824 S 400.0   2.1  32:19.24 application
   6322 1001      20   0 1315244 339252  42824 S 396.0   2.1  32:23.20 application
   6322 1001      20   0 1315244 339252  42824 S 401.0   2.1  32:27.25 application
   6322 1001      20   0 1315244 339252  42824 S 400.0   2.1  32:31.25 application
   6322 1001      20   0 1315244 339516  42824 S 402.0   2.1  32:35.27 application
   6322 1001      20   0 1315244 339780  42824 S 399.0   2.1  32:39.26 application
   6322 1001      20   0 1315244 339780  42824 S 402.0   2.1  32:43.28 application
   6322 1001      20   0 1315244 339780  42824 S 399.0   2.1  32:47.27 application
   6322 1001      20   0 1315244 340044  42824 S 400.0   2.1  32:51.27 application
   6322 1001      20   0 1316268 340308  42824 S 400.0   2.1  32:55.27 application
   6322 1001      20   0 1316268 340308  42824 S 400.0   2.1  32:59.27 application
   6322 1001      20   0 1316268 340308  42824 S 396.0   2.1  33:03.27 application
   6322 1001      20   0 1316268 340308  42824 S 401.0   2.1  33:07.28 application
   6322 1001      20   0 1316268 340308  42824 S 399.0   2.1  33:11.27 application
   6322 1001      20   0 1316268 340308  42824 S 400.0   2.1  33:15.27 application
   6322 1001      20   0 1316268 340308  42824 S 400.0   2.1  33:19.27 application
   6322 1001      20   0 1316268 340308  42824 S 400.0   2.1  33:23.27 application
   6322 1001      20   0 1316268 340308  42824 S 401.0   2.1  33:27.28 application
   6322 1001      20   0 1316268 340572  42824 S 399.0   2.1  33:31.27 application
   6322 1001      20   0 1316268 340836  42824 S 397.0   2.1  33:35.28 application
   6322 1001      20   0 1316268 340836  42824 S 400.0   2.1  33:39.28 application
   6322 1001      20   0 1316268 341100  42824 S 399.0   2.1  33:43.27 application
   6322 1001      20   0 1316268 341100  42824 S 400.0   2.1  33:47.27 application
   6322 1001      20   0 1316268 341100  42824 S 400.0   2.1  33:51.27 application
   6322 1001      20   0 1317292 341100  42824 S 400.0   2.1  33:55.27 application
   6322 1001      20   0 1317292 341364  42824 S 400.0   2.1  33:59.27 application
   6322 1001      20   0 1317292 341364  42824 S 400.0   2.1  34:03.27 application
   6322 1001      20   0 1317292 341364  42824 S 397.0   2.1  34:07.28 application
   6322 1001      20   0 1317292 341364  42824 S 400.0   2.1  34:11.28 application
   6322 1001      20   0 1317292 341628  42824 S 400.0   2.1  34:15.28 application
   6322 1001      20   0 1317292 341628  42824 S 399.0   2.1  34:19.27 application
   6322 1001      20   0 1317292 341892  42824 S 400.0   2.1  34:23.27 application
   6322 1001      20   0 1317292 341892  42824 S 401.0   2.1  34:27.28 application
   6322 1001      20   0 1317292 341892  42824 S 399.0   2.1  34:31.27 application
   6322 1001      20   0 1317
