   6322 1001      20   0 1323436 348228  42824 S 162.5   2.1  39:19.05 application
   6322 1001      20   0 1324460 348492  42824 S 402.0   2.1  39:23.07 application
   6322 1001      20   0 1324460 348756  42824 S 401.0   2.1  39:27.08 application
   6322 1001      20   0 1324460 348756  42824 S 400.0   2.1  39:31.08 application
   6322 1001      20   0 1324460 348756  42824 S 401.0   2.1  39:35.09 application
   6322 1001      20   0 1324460 348756  42824 S 401.0   2.1  39:39.10 application
   6322 1001      20   0 1324460 349020  42824 S 401.0   2.1  39:43.11 application
   6322 1001      20   0 1324460 349020  42824 S 401.0   2.1  39:47.12 application
   6322 1001      20   0 1324460 349020  42824 S 397.0   2.1  39:51.13 application
   6322 1001      20   0 1324460 349020  42824 S 402.0   2.1  39:55.15 application
   6322 1001      20   0 1324460 349020  42824 S 400.0   2.1  39:59.15 application
   6322 1001      20   0 1324460 349284  42824 S 401.0   2.1  40:03.16 application
   6322 1001      20   0 1325484 349284  42824 S 400.0   2.1  40:07.16 application
   6322 1001      20   0 1325484 349284  42824 S 402.0   2.1  40:11.18 application
   6322 1001      20   0 1325484 349284  42824 S 401.0   2.1  40:15.19 application
   6322 1001      20   0 1325484 349284  42824 S 397.0   2.1  40:19.20 application
   6322 1001      20   0 1325484 349548  42824 S 401.0   2.1  40:23.21 application
   6322 1001      20   0 1325484 349548  42824 S 401.0   2.1  40:27.22 application
   6322 1001      20   0 1325484 349812  42824 S 401.0   2.1  40:31.23 application
   6322 1001      20   0 1325484 350076  42824 S 400.0   2.1  40:35.23 application
   6322 1001      20   0 1325484 350076  42824 S 402.0   2.1  40:39.25 application
   6322 1001      20   0 1325484 350340  42824 S 399.0   2.1  40:43.24 application
   6322 1001      20   0 1325484 350340  42824 S 401.0   2.1  40:47.25 application
   6322 1001      20   0 1325484 350340  42824 S 403.0   2.1  40:51.28 application
   6322 1001      20   0 1326508 350604  42824 S 395.0   2.1  40:55.27 application
   6322 1001      20   0 1326508 350604  42824 S 401.0   2.1  40:59.28 application
   6322 1001      20   0 1326508 350868  42824 S 401.0   2.2  41:03.29 application
   6322 1001      20   0 1326508 350868  42824 S 399.0   2.2  41:07.28 application
   6322 1001      20   0 1326508 350868  42824 S 403.0   2.2  41:11.31 application
   6322 1001      20   0 1326508 350868  42824 S 401.0   2.2  41:15.32 application
   6322 1001      20   0 1326508 350868  42824 S 402.0   2.2  41:19.34 application
   6322 1001      20   0 1326508 350868  42824 S 400.0   2.2  41:23.34 application
   6322 1001      20   0 1326508 351132  42824 S 395.0   2.2  41:27.33 application
   6322 1001      20   0 1326508 351132  42824 S 402.0   2.2  41:31.35 application
   6322 1001      20   0 1326508 351396  42824 S 401.0   2.2  41:35.36 application
   6322 1001      20   0 1327532 351396  42824 S 399.0   2.2  41:39.35 application
   6322 1001      20   0 1327532 351660  42824 S 404.0   2.2  41:43.39 application
   6322 1001      20   0 1327532 351660  42824 S 400.0   2.2  41:47.39 application
   6322 1001      20   0 1327532 351660  42824 S 399.0   2.2  41:51.38 application
   6322 1001      20   0 1327532 351660  42824 S 401.0   2.2  41:55.39 application
   6322 1001      20   0 1327532 351660  42824 S 401.0   2.2  41:59.40 application
   6322 1001      20   0 1327532 351660  42824 S 396.0   2.2  42:03.40 application
   6322 1001      20   0 1327532 351660  42824 S 404.0   2.2  42:07.44 application
   6322 1001      20   0 1327532 351660  42824 S 400.0   2.2  42:11.44 application
   6322 1001      20   0 1327532 351660  42824 S 400.0   2.2  42:15.44 application
   6322 1001      20   0 1327532 351924  42824 S 398.0   2.2  42:19.42 application
   6322 1001      20   0 1327532 351924  42824 S 404.0   2.2  42:23.46 application
   6322 1001      20   0 1328556 352452  42824 S 399.0   2.2  42:27.45 application
   6322 1001      20   0 1328556 352452  42824 S 397.0   2.2  42:31.46 application
   6322 1001      20   0 1328
