  13047 root      20   0 9226748 564256  29100 S 113.3   3.5   3:43.90 java
  13047 root      20   0 9226748 564636  29100 S 150.0   3.5   3:45.40 java
  13047 root      20   0 9226748 564636  29100 S 143.0   3.5   3:46.83 java
  13047 root      20   0 9226748 564636  29100 S 146.0   3.5   3:48.29 java
  13047 root      20   0 9226748 564636  29100 S 145.0   3.5   3:49.74 java
  13047 root      20   0 9226748 564636  29100 S 145.0   3.5   3:51.19 java
  13047 root      20   0 9226748 564760  29100 S 144.0   3.5   3:52.63 java
  13047 root      20   0 9226748 564760  29100 S 146.0   3.5   3:54.09 java
  13047 root      20   0 9226748 564760  29100 S 141.6   3.5   3:55.52 java
  13047 root      20   0 9226748 564760  29100 S 145.0   3.5   3:56.97 java
  13047 root      20   0 9226748 564760  29100 S 146.0   3.5   3:58.43 java
  13047 root      20   0 9226748 564856  29100 S 144.0   3.5   3:59.87 java
  13047 root      20   0 9226748 565032  29100 S 145.0   3.5   4:01.32 java
  13047 root      20   0 9226748 565632  29100 S 142.0   3.5   4:02.74 java
  13047 root      20   0 9226748 565632  29100 S 147.0   3.5   4:04.21 java
  13047 root      20   0 9226748 565632  29100 S 146.0   3.5   4:05.67 java
  13047 root      20   0 9226748 565632  29100 S 143.0   3.5   4:07.10 java
  13047 root      20   0 9226748 565632  29100 S 143.0   3.5   4:08.53 java
  13047 root      20   0 9226748 565632  29100 S 143.6   3.5   4:09.98 java
  13047 root      20   0 9226748 565632  29100 S 143.0   3.5   4:11.41 java
  13047 root      20   0 9226748 565632  29100 S 144.0   3.5   4:12.85 java
  13047 root      20   0 9226748 565632  29100 S 144.0   3.5   4:14.29 java
  13047 root      20   0 9226748 565632  29100 S 145.0   3.5   4:15.74 java
  13047 root      20   0 9226748 565632  29100 S 143.0   3.5   4:17.17 java
  13047 root      20   0 9226748 565632  29100 S 145.0   3.5   4:18.62 java
  13047 root      20   0 9226748 565632  29100 S 146.0   3.5   4:20.08 java
  13047 root      20   0 9226748 565632  29100 S 145.0   3.5   4:21.53 java
  13047 root      20   0 9226748 565632  29100 S 142.0   3.5   4:22.95 java
  13047 root      20   0 9226748 565632  29100 S 141.6   3.5   4:24.38 java
  13047 root      20   0 9226748 565632  29100 S 145.0   3.5   4:25.83 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   4:27.28 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   4:28.73 java
  13047 root      20   0 9226748 565788  29100 S 144.0   3.5   4:30.17 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   4:31.62 java
  13047 root      20   0 9226748 565788  29100 S 146.0   3.5   4:33.08 java
  13047 root      20   0 9226748 565788  29100 S 146.0   3.5   4:34.54 java
  13047 root      20   0 9226748 565788  29100 S 144.0   3.5   4:35.98 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   4:37.43 java
  13047 root      20   0 9226748 565788  29100 S 142.6   3.5   4:38.87 java
  13047 root      20   0 9226748 565788  29100 S 144.0   3.5   4:40.31 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   4:41.76 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   4:43.21 java
  13047 root      20   0 9226748 565788  29100 S 146.0   3.5   4:44.67 java
  13047 root      20   0 9226748 565788  29100 S 146.0   3.5   4:46.13 java
  13047 root      20   0 9226748 565788  29100 S 147.0   3.5   4:47.60 java
  13047 root      20   0 9226748 565788  29100 S 144.0   3.5   4:49.04 java
  13047 root      20   0 9226748 565788  29100 S 146.0   3.5   4:50.50 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   4:51.95 java
  13047 root      20   0 9226748 565788  29100 S 144.6   3.5   4:53.41 java
  13047 root      20   0 9226748 565788  29100 S 146.0   3.5   4:54.87 java
  13047 root      20   0 9226748 565788  29100 S 146.0   3.5   4:56.33 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   4:57.78 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   4:59.23 java
  13047 root      20   0 9226748 565788  29100 S 145.0   3.5   5:00.
