  13047 root      20   0 9226748 565892  29100 S   0.0   3.5   5:10.63 java
  13047 root      20   0 9226748 565920  29100 S 182.0   3.5   5:12.45 java
  13047 root      20   0 9226748 565944  29100 S 251.0   3.5   5:14.96 java
  13047 root      20   0 9226748 565944  29100 S 249.0   3.5   5:17.45 java
  13047 root      20   0 9226748 565944  29100 S 250.0   3.5   5:19.95 java
  13047 root      20   0 9226748 565944  29100 S 247.0   3.5   5:22.42 java
  13047 root      20   0 9226748 565944  29100 S 248.0   3.5   5:24.90 java
  13047 root      20   0 9226748 565980  29100 S 253.0   3.5   5:27.43 java
  13047 root      20   0 9226748 565980  29100 S 249.0   3.5   5:29.92 java
  13047 root      20   0 9226748 566460  29100 S 248.0   3.5   5:32.40 java
  13047 root      20   0 9226748 566584  29100 S 250.5   3.5   5:34.93 java
  13047 root      20   0 9226748 566584  29100 S 247.0   3.5   5:37.40 java
  13047 root      20   0 9226748 566584  29100 S 249.0   3.5   5:39.89 java
  13047 root      20   0 9226748 566584  29100 S 250.0   3.5   5:42.39 java
  13047 root      20   0 9226748 566584  29100 S 252.0   3.5   5:44.91 java
  13047 root      20   0 9226748 566584  29100 S 252.0   3.5   5:47.43 java
  13047 root      20   0 9226748 566584  29100 S 251.0   3.5   5:49.94 java
  13047 root      20   0 9226748 566584  29100 S 252.0   3.5   5:52.46 java
  13047 root      20   0 9226748 566584  29100 S 249.0   3.5   5:54.95 java
  13047 root      20   0 9226748 566584  29100 S 248.0   3.5   5:57.43 java
  13047 root      20   0 9226748 566584  29100 S 245.5   3.5   5:59.91 java
  13047 root      20   0 9226748 566584  29100 S 251.0   3.5   6:02.42 java
  13047 root      20   0 9226748 566584  29100 S 250.0   3.5   6:04.92 java
  13047 root      20   0 9226748 566584  29100 S 251.0   3.5   6:07.43 java
  13047 root      20   0 9226748 566584  29100 S 248.0   3.5   6:09.91 java
  13047 root      20   0 9226748 566584  29100 S 247.0   3.5   6:12.38 java
  13047 root      20   0 9226748 566584  29100 S 245.0   3.5   6:14.83 java
  13047 root      20   0 9226748 566584  29100 S 248.0   3.5   6:17.31 java
  13047 root      20   0 9226748 566584  29100 S 248.0   3.5   6:19.79 java
  13047 root      20   0 9226748 566584  29100 S 251.0   3.5   6:22.30 java
  13047 root      20   0 9226748 566584  29100 S 245.5   3.5   6:24.78 java
  13047 root      20   0 9226748 566584  29100 S 249.0   3.5   6:27.27 java
  13047 root      20   0 9226748 566584  29100 S 251.0   3.5   6:29.78 java
  13047 root      20   0 9226748 566584  29100 S 252.0   3.5   6:32.30 java
  13047 root      20   0 9226748 566584  29100 S 252.0   3.5   6:34.82 java
  13047 root      20   0 9226748 566584  29100 S 250.0   3.5   6:37.32 java
  13047 root      20   0 9226748 566584  29100 S 243.0   3.5   6:39.75 java
  13047 root      20   0 9226748 566584  29100 S 249.0   3.5   6:42.24 java
  13047 root      20   0 9226748 566584  29100 S 247.0   3.5   6:44.71 java
  13047 root      20   0 9226748 566584  29100 S 251.0   3.5   6:47.22 java
  13047 root      20   0 9226748 566584  29100 S 245.5   3.5   6:49.70 java
  13047 root      20   0 9226748 566584  29100 S 250.0   3.5   6:52.20 java
  13047 root      20   0 9226748 566584  29100 S 251.0   3.5   6:54.71 java
  13047 root      20   0 9226748 566584  29100 S 252.0   3.5   6:57.23 java
  13047 root      20   0 9226748 566584  29100 S 254.0   3.5   6:59.77 java
  13047 root      20   0 9226748 566584  29100 S 246.0   3.5   7:02.23 java
  13047 root      20   0 9226748 566584  29100 S 249.0   3.5   7:04.72 java
  13047 root      20   0 9226748 566584  29100 S 249.0   3.5   7:07.21 java
  13047 root      20   0 9226748 566584  29100 S 246.0   3.5   7:09.67 java
  13047 root      20   0 9226748 566584  29100 S 251.0   3.5   7:12.18 java
  13047 root      20   0 9226748 566584  29100 S 243.6   3.5   7:14.64 java
  13047 root      20   0 9226748 566584  29100 S 245.0   3.5   7:17.09 java
  13047 root      20   0 9226748 566584  29100 S 247.0   3.5   7:19.56 java
  13047 root      20   0 9226748 566584  29100 S 243.0   3.5   7:21.
