  12546 root      20   0 9226748 555940  29180 S  86.7   3.4  12:53.12 java
  12546 root      20   0 9226748 555940  29180 S 274.0   3.4  12:55.86 java
  12546 root      20   0 9226748 556048  29180 S 326.0   3.4  12:59.12 java
  12546 root      20   0 9226748 556048  29180 S 322.0   3.4  13:02.34 java
  12546 root      20   0 9226748 556048  29180 S 321.0   3.4  13:05.55 java
  12546 root      20   0 9226748 556048  29180 S 315.0   3.4  13:08.70 java
  12546 root      20   0 9226748 556048  29180 S 321.0   3.4  13:11.91 java
  12546 root      20   0 9226748 556232  29180 S 324.0   3.4  13:15.15 java
  12546 root      20   0 9226748 556600  29180 S 319.0   3.4  13:18.34 java
  12546 root      20   0 9226748 556600  29180 S 295.0   3.4  13:21.32 java
  12546 root      20   0 9226748 556600  29180 S 323.0   3.4  13:24.55 java
  12546 root      20   0 9226748 556600  29180 S 323.0   3.4  13:27.78 java
  12546 root      20   0 9226748 556600  29180 S 324.0   3.4  13:31.02 java
  12546 root      20   0 9226748 556600  29180 S 318.0   3.4  13:34.20 java
  12546 root      20   0 9226748 556600  29180 S 316.0   3.4  13:37.36 java
  12546 root      20   0 9226748 556600  29180 S 317.0   3.4  13:40.53 java
  12546 root      20   0 9226748 556600  29180 S 323.0   3.4  13:43.76 java
  12546 root      20   0 9226748 556600  29180 S 318.0   3.4  13:46.94 java
  12546 root      20   0 9226748 556600  29180 S 320.8   3.4  13:50.18 java
  12546 root      20   0 9226748 556600  29180 S 322.0   3.4  13:53.40 java
  12546 root      20   0 9226748 556600  29180 S 321.0   3.4  13:56.61 java
  12546 root      20   0 9226748 556600  29180 S 319.0   3.4  13:59.80 java
  12546 root      20   0 9226748 556600  29180 S 312.0   3.4  14:02.92 java
  12546 root      20   0 9226748 556600  29180 S 323.0   3.4  14:06.15 java
  12546 root      20   0 9226748 556600  29180 S 321.0   3.4  14:09.36 java
  12546 root      20   0 9226748 556800  29180 S 321.0   3.4  14:12.57 java
  12546 root      20   0 9226748 556800  29180 S 318.0   3.4  14:15.75 java
  12546 root      20   0 9226748 556800  29180 S 322.0   3.4  14:18.97 java
  12546 root      20   0 9226748 556800  29180 S 320.0   3.4  14:22.17 java
  12546 root      20   0 9226748 556800  29180 S 312.9   3.4  14:25.33 java
  12546 root      20   0 9226748 556800  29180 S 318.0   3.4  14:28.51 java
  12546 root      20   0 9226748 556800  29180 S 323.0   3.4  14:31.74 java
  12546 root      20   0 9226748 556800  29180 S 318.0   3.4  14:34.92 java
  12546 root      20   0 9226748 556800  29180 S 319.0   3.4  14:38.11 java
  12546 root      20   0 9226748 556800  29180 S 319.0   3.4  14:41.30 java
  12546 root      20   0 9226748 556800  29180 S 324.0   3.4  14:44.54 java
  12546 root      20   0 9226748 556800  29180 S 320.0   3.4  14:47.74 java
  12546 root      20   0 9226748 556800  29180 S 319.0   3.4  14:50.93 java
  12546 root      20   0 9226748 556800  29180 S 318.0   3.4  14:54.11 java
  12546 root      20   0 9226748 556800  29180 S 318.8   3.4  14:57.33 java
  12546 root      20   0 9226748 556800  29180 S 321.0   3.4  15:00.54 java
  12546 root      20   0 9226748 556800  29180 S 313.0   3.4  15:03.67 java
  12546 root      20   0 9226748 556800  29180 S 320.0   3.4  15:06.87 java
  12546 root      20   0 9226748 556800  29180 S 320.0   3.4  15:10.07 java
  12546 root      20   0 9226748 556800  29180 S 321.0   3.4  15:13.28 java
  12546 root      20   0 9226748 556800  29180 S 315.0   3.4  15:16.43 java
  12546 root      20   0 9226748 556800  29180 S 319.0   3.4  15:19.62 java
  12546 root      20   0 9226748 556800  29180 S 322.0   3.4  15:22.84 java
  12546 root      20   0 9226748 556800  29180 S 314.9   3.4  15:26.02 java
  12546 root      20   0 9226748 556800  29180 S 315.0   3.4  15:29.17 java
  12546 root      20   0 9226748 556800  29180 S 317.0   3.4  15:32.34 java
  12546 root      20   0 9226748 556800  29180 S 326.0   3.4  15:35.60 java
  12546 root      20   0 9226748 556800  29180 S 311.0   3.4  15:38.71 java
  12546 root      20   0 9226748 556800  29180 S 326.0   3.4  15:41.
