  13420 root      20   0   13.6g 701228  29040 S  81.2   4.3   4:43.70 java
  13420 root      20   0   13.6g 701808  29040 S 185.0   4.3   4:45.55 java
  13420 root      20   0   13.6g 702020  29040 S 178.0   4.3   4:47.33 java
  13420 root      20   0   13.6g 702192  29040 S 178.0   4.3   4:49.11 java
  13420 root      20   0   13.6g 702192  29040 S 177.0   4.3   4:50.88 java
  13420 root      20   0   13.6g 702192  29040 S 178.0   4.3   4:52.66 java
  13420 root      20   0   13.6g 702192  29040 S 177.0   4.3   4:54.43 java
  13420 root      20   0   13.6g 702224  29040 S 178.0   4.3   4:56.21 java
  13420 root      20   0   13.6g 702224  29040 S 176.0   4.3   4:57.97 java
  13420 root      20   0   13.6g 702224  29040 S 174.3   4.3   4:59.73 java
  13420 root      20   0   13.6g 702380  29040 S 178.0   4.3   5:01.51 java
  13420 root      20   0   13.6g 702380  29040 S 177.0   4.3   5:03.28 java
  13420 root      20   0   13.6g 702380  29040 S 176.0   4.3   5:05.04 java
  13420 root      20   0   13.6g 702596  29040 S 178.0   4.3   5:06.82 java
  13420 root      20   0   13.6g 702596  29040 S 177.0   4.3   5:08.59 java
  13420 root      20   0   13.6g 702596  29040 S 175.0   4.3   5:10.34 java
  13420 root      20   0   13.6g 702596  29040 S 177.0   4.3   5:12.11 java
  13420 root      20   0   13.6g 702596  29040 S 178.0   4.3   5:13.89 java
  13420 root      20   0   13.6g 702596  29040 S 177.0   4.3   5:15.66 java
  13420 root      20   0   13.6g 702732  29040 S 176.0   4.3   5:17.42 java
  13420 root      20   0   13.6g 702732  29040 S 176.2   4.3   5:19.20 java
  13420 root      20   0   13.6g 702732  29040 S 175.0   4.3   5:20.95 java
  13420 root      20   0   13.6g 702732  29040 S 175.0   4.3   5:22.70 java
  13420 root      20   0   13.6g 702732  29040 S 177.0   4.3   5:24.47 java
  13420 root      20   0   13.6g 702732  29040 S 178.0   4.3   5:26.25 java
  13420 root      20   0   13.6g 702732  29040 S 177.0   4.3   5:28.02 java
  13420 root      20   0   13.6g 702732  29040 S 176.0   4.3   5:29.78 java
  13420 root      20   0   13.6g 702732  29040 S 177.0   4.3   5:31.55 java
  13420 root      20   0   13.6g 702732  29040 S 177.0   4.3   5:33.32 java
  13420 root      20   0   13.6g 702732  29040 S 178.0   4.3   5:35.10 java
  13420 root      20   0   13.6g 702732  29040 S 176.2   4.3   5:36.88 java
  13420 root      20   0   13.6g 702732  29040 S 176.0   4.3   5:38.64 java
  13420 root      20   0   13.6g 702732  29040 S 177.0   4.3   5:40.41 java
  13420 root      20   0   13.6g 702732  29040 S 178.0   4.3   5:42.19 java
  13420 root      20   0   13.6g 702732  29040 S 177.0   4.3   5:43.96 java
  13420 root      20   0   13.6g 702732  29040 S 178.0   4.3   5:45.74 java
  13420 root      20   0   13.6g 703048  29040 S 177.0   4.3   5:47.51 java
  13420 root      20   0   13.6g 703048  29040 S 177.0   4.3   5:49.28 java
  13420 root      20   0   13.6g 703048  29040 S 177.0   4.3   5:51.05 java
  13420 root      20   0   13.6g 703048  29040 S 175.2   4.3   5:52.82 java
  13420 root      20   0   13.6g 703048  29040 S 176.0   4.3   5:54.58 java
  13420 root      20   0   13.6g 703048  29040 S 178.0   4.3   5:56.36 java
  13420 root      20   0   13.6g 703048  29040 S 177.0   4.3   5:58.13 java
  13420 root      20   0   13.6g 703288  29040 S 177.0   4.3   5:59.90 java
  13420 root      20   0   13.6g 703288  29040 S 177.0   4.3   6:01.67 java
  13420 root      20   0   13.6g 703288  29040 S 178.0   4.3   6:03.45 java
  13420 root      20   0   13.6g 703464  29040 S 178.0   4.3   6:05.23 java
  13420 root      20   0   13.6g 703464  29040 S 175.0   4.3   6:06.98 java
  13420 root      20   0   13.6g 703464  29040 S 178.0   4.3   6:08.76 java
  13420 root      20   0   13.6g 703464  29040 S 177.0   4.3   6:10.53 java
  13420 root      20   0   13.6g 703464  29040 S 175.2   4.3   6:12.30 java
  13420 root      20   0   13.6g 703464  29040 S 174.0   4.3   6:14.04 java
  13420 root      20   0   13.6g 703464  29040 S 179.0   4.3   6:15.83 java
  13420 root      20   0   13.6g 703620  29040 S 177.0   4.3   6:17.
