   8154 root      20   0   13.6g 486820  29008 S 140.0   3.0   8:17.82 java
   8154 root      20   0   13.6g 487320  29008 S 249.0   3.0   8:20.31 java
   8154 root      20   0   13.6g 487320  29008 S 247.0   3.0   8:22.78 java
   8154 root      20   0   13.6g 487588  29008 S 248.0   3.0   8:25.26 java
   8154 root      20   0   13.6g 487588  29008 S 242.0   3.0   8:27.68 java
   8154 root      20   0   13.6g 487932  29008 S 249.0   3.0   8:30.17 java
   8154 root      20   0   13.6g 488072  29008 S 246.0   3.0   8:32.63 java
   8154 root      20   0   13.6g 488336  29008 S 248.0   3.0   8:35.11 java
   8154 root      20   0   13.6g 488468  29008 S 246.0   3.0   8:37.57 java
   8154 root      20   0   13.6g 488760  29008 S 242.6   3.0   8:40.02 java
   8154 root      20   0   13.6g 488904  29008 S 246.0   3.0   8:42.48 java
   8154 root      20   0   13.6g 489052  29008 S 252.0   3.0   8:45.00 java
   8154 root      20   0   13.6g 489052  29008 S 249.0   3.0   8:47.49 java
   8154 root      20   0   13.6g 489052  29008 S 248.0   3.0   8:49.97 java
   8154 root      20   0   13.6g 489052  29008 S 247.0   3.0   8:52.44 java
   8154 root      20   0   13.6g 489176  29008 S 251.0   3.0   8:54.95 java
   8154 root      20   0   13.6g 489176  29008 S 245.0   3.0   8:57.40 java
   8154 root      20   0   13.6g 489176  29008 S 241.0   3.0   8:59.81 java
   8154 root      20   0   13.6g 489320  29008 S 242.6   3.0   9:02.26 java
   8154 root      20   0   13.6g 489320  29008 S 242.0   3.0   9:04.68 java
   8154 root      20   0   13.6g 489320  29008 S 245.0   3.0   9:07.13 java
   8154 root      20   0   13.6g 489516  29008 S 241.0   3.0   9:09.54 java
   8154 root      20   0   13.6g 489516  29008 S 240.0   3.0   9:11.94 java
   8154 root      20   0   13.6g 489516  29008 S 243.0   3.0   9:14.37 java
   8154 root      20   0   13.6g 489516  29008 S 242.0   3.0   9:16.79 java
   8154 root      20   0   13.6g 489516  29008 S 247.0   3.0   9:19.26 java
   8154 root      20   0   13.6g 489648  29008 S 248.0   3.0   9:21.74 java
   8154 root      20   0   13.6g 489648  29008 S 250.0   3.0   9:24.24 java
   8154 root      20   0   13.6g 489772  29008 S 248.0   3.0   9:26.72 java
   8154 root      20   0   13.6g 489920  29008 S 242.6   3.0   9:29.17 java
   8154 root      20   0   13.6g 489920  29008 S 247.0   3.0   9:31.64 java
   8154 root      20   0   13.6g 489920  29008 S 242.0   3.0   9:34.06 java
   8154 root      20   0   13.6g 489920  29008 S 246.0   3.0   9:36.52 java
   8154 root      20   0   13.6g 489920  29008 S 248.0   3.0   9:39.00 java
   8154 root      20   0   13.6g 490216  29008 S 248.0   3.0   9:41.48 java
   8154 root      20   0   13.6g 490216  29008 S 244.0   3.0   9:43.92 java
   8154 root      20   0   13.6g 490548  29008 S 245.0   3.0   9:46.37 java
   8154 root      20   0   13.6g 490548  29008 S 246.0   3.0   9:48.83 java
   8154 root      20   0   13.6g 490744  29008 S 246.0   3.0   9:51.29 java
   8154 root      20   0   13.6g 490744  29008 S 244.6   3.0   9:53.76 java
   8154 root      20   0   13.6g 490916  29008 S 249.0   3.0   9:56.25 java
   8154 root      20   0   13.6g 491088  29008 S 247.0   3.0   9:58.72 java
   8154 root      20   0   13.6g 491244  29008 S 247.0   3.0  10:01.19 java
   8154 root      20   0   13.6g 491244  29008 S 247.0   3.0  10:03.66 java
   8154 root      20   0   13.6g 491244  29008 S 250.0   3.0  10:06.16 java
   8154 root      20   0   13.6g 491244  29008 S 249.0   3.0  10:08.65 java
   8154 root      20   0   13.6g 491244  29008 S 246.0   3.0  10:11.11 java
   8154 root      20   0   13.6g 491420  29008 S 242.0   3.0  10:13.53 java
   8154 root      20   0   13.6g 491592  29008 S 243.6   3.0  10:15.99 java
   8154 root      20   0   13.6g 491592  29008 S 245.0   3.0  10:18.44 java
   8154 root      20   0   13.6g 491832  29008 S 246.0   3.0  10:20.90 java
   8154 root      20   0   13.6g 491832  29008 S 248.0   3.0  10:23.38 java
   8154 root      20   0   13.6g 491832  29008 S 244.0   3.0  10:25.82 java
   8154 root      20   0   13.6g 491832  29008 S 244.0   3.0  10:28.
