  24974 1001      20   0 1510824 538400  46568 S   0.0   3.3  24:03.75 application
  24974 1001      20   0 1510824 539192  46568 S 369.0   3.3  24:07.44 application
  24974 1001      20   0 1512872 540776  46568 S 406.0   3.3  24:11.50 application
  24974 1001      20   0 1514920 542624  46568 S 403.0   3.3  24:15.53 application
  24974 1001      20   0 1516968 544736  46568 S 396.0   3.3  24:19.53 application
  24974 1001      20   0 1520040 547904  46568 S 399.0   3.4  24:23.52 application
  24974 1001      20   0 1523112 551072  46568 S 402.0   3.4  24:27.54 application
  24974 1001      20   0 1526184 553448  46568 S 402.0   3.4  24:31.56 application
  24974 1001      20   0 1529256 557144  46568 S 398.0   3.4  24:35.54 application
  24974 1001      20   0 1530280 558464  46568 S 402.0   3.4  24:39.56 application
  24974 1001      20   0 1531304 558992  46568 S 401.0   3.4  24:43.57 application
  24974 1001      20   0 1532328 560576  46568 S 400.0   3.4  24:47.57 application
  24974 1001      20   0 1532328 560576  46568 S 402.0   3.4  24:51.59 application
  24974 1001      20   0 1532328 560576  46568 S 399.0   3.4  24:55.58 application
  24974 1001      20   0 1533352 561896  46568 S 398.0   3.4  24:59.60 application
  24974 1001      20   0 1534376 562688  46568 S 399.0   3.5  25:03.59 application
  24974 1001      20   0 1535400 564008  46568 S 400.0   3.5  25:07.59 application
  24974 1001      20   0 1536424 564800  46568 S 401.0   3.5  25:11.60 application
  24974 1001      20   0 1538472 566120  46568 S 399.0   3.5  25:15.59 application
  24974 1001      20   0 1540520 568496  46568 S 400.0   3.5  25:19.59 application
  24974 1001      20   0 1542568 569816  46568 S 403.0   3.5  25:23.62 application
  24974 1001      20   0 1544616 571928  46568 S 398.0   3.5  25:27.60 application
  24974 1001      20   0 1545640 572884  46568 S 402.0   3.5  25:31.62 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  25:35.62 application
  24974 1001      20   0 1544616 573908  47656 S 398.0   3.5  25:39.64 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  25:43.64 application
  24974 1001      20   0 1544616 573908  47656 S 399.0   3.5  25:47.63 application
  24974 1001      20   0 1544616 573908  47656 S 401.0   3.5  25:51.64 application
  24974 1001      20   0 1544616 573908  47656 S 401.0   3.5  25:55.65 application
  24974 1001      20   0 1544616 573908  47656 S 401.0   3.5  25:59.66 application
  24974 1001      20   0 1544616 573908  47656 S 399.0   3.5  26:03.65 application
  24974 1001      20   0 1544616 573908  47656 S 403.0   3.5  26:07.68 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  26:11.68 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  26:15.68 application
  24974 1001      20   0 1544616 573908  47656 S 395.0   3.5  26:19.67 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  26:23.67 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  26:27.67 application
  24974 1001      20   0 1544616 573908  47656 S 402.0   3.5  26:31.69 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  26:35.69 application
  24974 1001      20   0 1544616 573908  47656 S 399.0   3.5  26:39.68 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  26:43.68 application
  24974 1001      20   0 1544616 573908  47656 S 403.0   3.5  26:47.71 application
  24974 1001      20   0 1544616 573908  47656 S 401.0   3.5  26:51.72 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  26:55.72 application
  24974 1001      20   0 1544616 573908  47656 S 394.1   3.5  26:59.70 application
  24974 1001      20   0 1544616 573908  47656 S 402.0   3.5  27:03.72 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  27:07.72 application
  24974 1001      20   0 1544616 573908  47656 S 400.0   3.5  27:11.72 application
  24974 1001      20   0 1544616 573908  47656 S 401.0   3.5  27:15.73 application
  24974 1001      20   0 1544
