   7572 1001      20   0 1293740 318148  42900 S  60.0   2.0   8:47.21 application
   7572 1001      20   0 1293740 318676  42900 S 235.0   2.0   8:49.56 application
   7572 1001      20   0 1294764 319204  42900 S 302.0   2.0   8:52.58 application
   7572 1001      20   0 1294764 319204  42900 S 302.0   2.0   8:55.60 application
   7572 1001      20   0 1294764 319204  42900 S 297.0   2.0   8:58.57 application
   7572 1001      20   0 1294764 319204  42900 S 300.0   2.0   9:01.57 application
   7572 1001      20   0 1294764 319204  42900 S 286.1   2.0   9:04.46 application
   7572 1001      20   0 1294764 319204  42900 S 293.0   2.0   9:07.39 application
   7572 1001      20   0 1294764 319204  42900 S 298.0   2.0   9:10.37 application
   7572 1001      20   0 1294764 319204  42900 S 298.0   2.0   9:13.35 application
   7572 1001      20   0 1294764 319204  42900 S 299.0   2.0   9:16.34 application
   7572 1001      20   0 1294764 319204  42900 S 304.0   2.0   9:19.38 application
   7572 1001      20   0 1294764 319204  42900 S 305.0   2.0   9:22.43 application
   7572 1001      20   0 1294764 319204  42900 S 295.0   2.0   9:25.41 application
   7572 1001      20   0 1294764 319204  42900 S 299.0   2.0   9:28.40 application
   7572 1001      20   0 1294764 319204  42900 S 293.0   2.0   9:31.33 application
   7572 1001      20   0 1294764 319204  42900 S 297.0   2.0   9:34.30 application
   7572 1001      20   0 1294764 319204  42900 S 305.0   2.0   9:37.35 application
   7572 1001      20   0 1294764 319204  42900 S 303.0   2.0   9:40.38 application
   7572 1001      20   0 1294764 319204  42900 S 301.0   2.0   9:43.39 application
   7572 1001      20   0 1294764 319204  42900 S 300.0   2.0   9:46.39 application
   7572 1001      20   0 1294764 319204  42900 S 300.0   2.0   9:49.42 application
   7572 1001      20   0 1294764 319204  42900 S 301.0   2.0   9:52.43 application
   7572 1001      20   0 1294764 319204  42900 S 292.0   2.0   9:55.35 application
   7572 1001      20   0 1294764 319204  42900 S 296.0   2.0   9:58.31 application
   7572 1001      20   0 1294764 319204  42900 S 298.0   2.0  10:01.29 application
   7572 1001      20   0 1294764 319204  42900 S 299.0   2.0  10:04.28 application
   7572 1001      20   0 1294764 319204  42900 S 300.0   2.0  10:07.28 application
   7572 1001      20   0 1294764 319468  42900 S 300.0   2.0  10:10.28 application
   7572 1001      20   0 1294764 319468  42900 S 300.0   2.0  10:13.31 application
   7572 1001      20   0 1294764 319468  42900 S 309.0   2.0  10:16.40 application
   7572 1001      20   0 1294764 319468  42900 S 298.0   2.0  10:19.38 application
   7572 1001      20   0 1294764 319468  42900 S 299.0   2.0  10:22.37 application
   7572 1001      20   0 1294764 319468  42900 S 303.0   2.0  10:25.40 application
   7572 1001      20   0 1294764 319468  42900 S 306.0   2.0  10:28.46 application
   7572 1001      20   0 1294764 319468  42900 S 308.0   2.0  10:31.54 application
   7572 1001      20   0 1294764 319468  42900 S 300.0   2.0  10:34.54 application
   7572 1001      20   0 1295788 319468  42900 S 303.0   2.0  10:37.60 application
   7572 1001      20   0 1295788 319468  42900 S 297.0   2.0  10:40.57 application
   7572 1001      20   0 1295788 319732  42900 S 301.0   2.0  10:43.58 application
   7572 1001      20   0 1295788 319732  42900 S 301.0   2.0  10:46.59 application
   7572 1001      20   0 1295788 319732  42900 S 302.0   2.0  10:49.61 application
   7572 1001      20   0 1295788 319732  42900 S 301.0   2.0  10:52.62 application
   7572 1001      20   0 1295788 319996  42900 S 303.0   2.0  10:55.65 application
   7572 1001      20   0 1295788 319996  42900 S 299.0   2.0  10:58.64 application
   7572 1001      20   0 1295788 319996  42900 S 295.0   2.0  11:01.62 application
   7572 1001      20   0 1295788 319996  42900 S 305.0   2.0  11:04.67 application
   7572 1001      20   0 1295788 319996  42900 S 304.0   2.0  11:07.71 application
   7572 1001      20   0 1295788 319996  42900 S 305.0   2.0  11:10.76 application
   7572 1001      20   0 1295
