  18273 1001      20   0 1298860 322896  42904 S  93.8   2.0  15:30.15 application
  18273 1001      20   0 1298860 323424  42904 S 312.0   2.0  15:33.27 application
  18273 1001      20   0 1298860 323688  42904 S 399.0   2.0  15:37.26 application
  18273 1001      20   0 1298860 323688  42904 S 399.0   2.0  15:41.25 application
  18273 1001      20   0 1298860 323688  42904 S 398.0   2.0  15:45.23 application
  18273 1001      20   0 1298860 323688  42904 S 398.0   2.0  15:49.21 application
  18273 1001      20   0 1298860 323688  42904 S 392.0   2.0  15:53.13 application
  18273 1001      20   0 1298860 323688  42904 S 393.0   2.0  15:57.06 application
  18273 1001      20   0 1298860 323688  42904 S 388.1   2.0  16:00.98 application
  18273 1001      20   0 1298860 323688  42904 S 395.0   2.0  16:04.93 application
  18273 1001      20   0 1298860 323688  42904 S 391.0   2.0  16:08.84 application
  18273 1001      20   0 1299884 323688  42904 S 390.0   2.0  16:12.74 application
  18273 1001      20   0 1299884 323688  42904 S 388.0   2.0  16:16.62 application
  18273 1001      20   0 1299884 323688  42904 S 390.0   2.0  16:20.52 application
  18273 1001      20   0 1299884 323688  42904 S 386.0   2.0  16:24.38 application
  18273 1001      20   0 1299884 323688  42904 S 387.1   2.0  16:28.29 application
  18273 1001      20   0 1299884 323688  42904 S 403.0   2.0  16:32.32 application
  18273 1001      20   0 1299884 323688  42904 S 396.0   2.0  16:36.28 application
  18273 1001      20   0 1299884 323952  42904 S 393.0   2.0  16:40.21 application
  18273 1001      20   0 1299884 324216  42904 S 393.0   2.0  16:44.14 application
  18273 1001      20   0 1299884 324216  42904 S 400.0   2.0  16:48.14 application
  18273 1001      20   0 1299884 324216  42904 S 403.0   2.0  16:52.17 application
  18273 1001      20   0 1299884 324216  42904 S 390.0   2.0  16:56.07 application
  18273 1001      20   0 1299884 324216  42904 S 385.1   2.0  16:59.96 application
  18273 1001      20   0 1299884 324480  42904 S 391.0   2.0  17:03.87 application
  18273 1001      20   0 1299884 324480  42904 S 395.0   2.0  17:07.82 application
  18273 1001      20   0 1299884 324480  42904 S 396.0   2.0  17:11.78 application
  18273 1001      20   0 1299884 324480  42904 S 393.0   2.0  17:15.71 application
  18273 1001      20   0 1299884 324480  42904 S 394.0   2.0  17:19.65 application
  18273 1001      20   0 1299884 324480  42904 S 388.0   2.0  17:23.53 application
  18273 1001      20   0 1299884 324480  42904 S 392.0   2.0  17:27.45 application
  18273 1001      20   0 1299884 324480  42904 S 394.0   2.0  17:31.39 application
  18273 1001      20   0 1299884 324480  42904 S 396.0   2.0  17:35.39 application
  18273 1001      20   0 1299884 324480  42904 S 396.0   2.0  17:39.35 application
  18273 1001      20   0 1299884 324480  42904 S 392.0   2.0  17:43.27 application
  18273 1001      20   0 1299884 324480  42904 S 396.0   2.0  17:47.23 application
  18273 1001      20   0 1300908 324480  42904 S 398.0   2.0  17:51.21 application
  18273 1001      20   0 1300908 324480  42904 S 397.0   2.0  17:55.18 application
  18273 1001      20   0 1300908 324480  42904 S 401.0   2.0  17:59.19 application
  18273 1001      20   0 1300908 324480  42904 S 395.0   2.0  18:03.14 application
  18273 1001      20   0 1300908 324480  42904 S 393.0   2.0  18:07.07 application
  18273 1001      20   0 1300908 324480  42904 S 389.1   2.0  18:11.00 application
  18273 1001      20   0 1300908 324480  42904 S 393.0   2.0  18:14.93 application
  18273 1001      20   0 1300908 324480  42904 S 391.0   2.0  18:18.84 application
  18273 1001      20   0 1300908 324744  42904 S 396.0   2.0  18:22.80 application
  18273 1001      20   0 1300908 325008  42904 S 399.0   2.0  18:26.79 application
  18273 1001      20   0 1300908 325008  42904 S 394.0   2.0  18:30.73 application
  18273 1001      20   0 1300908 325008  42904 S 389.0   2.0  18:34.62 application
  18273 1001      20   0 1300908 325008  42904 S 393.0   2.0  18:38.55 application
  18273 1001      20   0 1300
