   8350 1001      20   0 7526252 581884  49004 S   0.0   3.6  58:00.16 application
   8350 1001      20   0 7526252 581884  49004 S 383.0   3.6  58:03.99 application
   8350 1001      20   0 7493468 582620  49004 S 400.0   3.6  58:07.99 application
   8350 1001      20   0 7493468 582620  49004 S 400.0   3.6  58:11.99 application
   8350 1001      20   0 7493468 582620  49004 S 400.0   3.6  58:15.99 application
   8350 1001      20   0 7493468 582620  49004 S 400.0   3.6  58:19.99 application
   8350 1001      20   0 7493468 582620  49004 S 400.0   3.6  58:23.99 application
   8350 1001      20   0 7493468 582620  49004 S 400.0   3.6  58:27.99 application
   8350 1001      20   0 7493468 582620  49004 S 397.0   3.6  58:32.00 application
   8350 1001      20   0 7493468 582620  49004 S 400.0   3.6  58:36.00 application
   8350 1001      20   0 7493468 582620  49004 S 401.0   3.6  58:40.01 application
   8350 1001      20   0 7493468 582620  49004 S 401.0   3.6  58:44.02 application
   8350 1001      20   0 7493468 582620  49004 S 400.0   3.6  58:48.02 application
   8350 1001      20   0 7485272 582920  49004 S 402.0   3.6  58:52.04 application
   8350 1001      20   0 7468880 582980  49004 S 399.0   3.6  58:56.03 application
   8350 1001      20   0 7468880 582980  49004 S 404.0   3.6  59:00.07 application
   8350 1001      20   0 7468880 582980  49004 S 397.0   3.6  59:04.04 application
   8350 1001      20   0 7468880 582980  49004 S 406.0   3.6  59:08.10 application
   8350 1001      20   0 7468880 582980  49004 S 396.0   3.6  59:12.10 application
   8350 1001      20   0 7468880 582980  49004 S 399.0   3.6  59:16.09 application
   8350 1001      20   0 7468880 582980  49004 S 401.0   3.6  59:20.10 application
   8350 1001      20   0 7468880 582980  49004 S 403.0   3.6  59:24.13 application
   8350 1001      20   0 7468880 582980  49004 S 395.0   3.6  59:28.08 application
   8350 1001      20   0 7468880 582980  49004 S 408.0   3.6  59:32.16 application
   8350 1001      20   0 7468880 582980  49004 S 400.0   3.6  59:36.16 application
   8350 1001      20   0 7468880 582980  49004 S 400.0   3.6  59:40.16 application
   8350 1001      20   0 7468880 582980  49004 S 398.0   3.6  59:44.14 application
   8350 1001      20   0 7468880 582980  49004 S 407.0   3.6  59:48.21 application
   8350 1001      20   0 7468880 582980  49004 S 398.0   3.6  59:52.23 application
   8350 1001      20   0 7468880 582980  49004 S 395.0   3.6  59:56.18 application
   8350 1001      20   0 7468880 582980  49004 S 407.0   3.6  60:00.25 application
   8350 1001      20   0 7468880 582980  49004 S 401.0   3.6  60:04.26 application
   8350 1001      20   0 7468880 582980  49004 S 388.0   3.6  60:08.14 application
   8350 1001      20   0 7468880 582980  49004 S 415.0   3.6  60:12.29 application
   8350 1001      20   0 7468880 582980  49004 S 399.0   3.6  60:16.28 application
   8350 1001      20   0 7468880 582980  49004 S 403.0   3.6  60:20.31 application
   8350 1001      20   0 7468880 582980  49004 S 398.0   3.6  60:24.29 application
   8350 1001      20   0 7468880 582980  49004 S 405.0   3.6  60:28.34 application
   8350 1001      20   0 7468880 582980  49004 S 395.0   3.6  60:32.33 application
   8350 1001      20   0 7468880 582980  49004 S 395.0   3.6  60:36.28 application
   8350 1001      20   0 7468880 582980  49004 S 405.0   3.6  60:40.33 application
   8350 1001      20   0 7468880 582980  49004 S 401.0   3.6  60:44.34 application
   8350 1001      20   0 7468880 582980  49004 S 404.0   3.6  60:48.38 application
   8350 1001      20   0 7468880 582980  49004 S 400.0   3.6  60:52.38 application
   8350 1001      20   0 7468880 582980  49004 S 387.0   3.6  60:56.25 application
   8350 1001      20   0 7468880 582980  49004 S 412.0   3.6  61:00.37 application
   8350 1001      20   0 7468880 582980  49004 S 398.0   3.6  61:04.35 application
   8350 1001      20   0 7468880 582980  49004 S 403.0   3.6  61:08.38 application
   8350 1001      20   0 7468880 582980  49004 S 396.0   3.6  61:12.38 application
   8350 1001      20   0 7468
