   5370 root      20   0 9218556 402368  29076 S 186.7   2.5   0:42.03 java
   5370 root      20   0 9218556 402720  29076 S 130.0   2.5   0:43.33 java
   5370 root      20   0 9218556 402804  29076 S  44.0   2.5   0:43.77 java
   5370 root      20   0 9218556 402804  29076 S  40.0   2.5   0:44.17 java
   5370 root      20   0 9218556 402804  29076 S  41.0   2.5   0:44.58 java
   5370 root      20   0 9218556 402804  29076 S  39.0   2.5   0:44.97 java
   5370 root      20   0 9218556 402804  29076 S  40.6   2.5   0:45.38 java
   5370 root      20   0 9218556 402816  29076 S  41.0   2.5   0:45.79 java
   5370 root      20   0 9218556 402816  29076 S  40.0   2.5   0:46.19 java
   5370 root      20   0 9218556 402816  29076 S  41.0   2.5   0:46.60 java
   5370 root      20   0 9218556 402816  29076 S  40.0   2.5   0:47.00 java
   5370 root      20   0 9218556 402816  29076 S  40.0   2.5   0:47.40 java
   5370 root      20   0 9218556 402884  29076 S  40.0   2.5   0:47.80 java
   5370 root      20   0 9218556 402884  29076 S  41.0   2.5   0:48.21 java
   5370 root      20   0 9218556 402884  29076 S  39.0   2.5   0:48.60 java
   5370 root      20   0 9218556 402884  29076 S  40.6   2.5   0:49.01 java
   5370 root      20   0 9218556 402884  29076 S  40.0   2.5   0:49.41 java
   5370 root      20   0 9218556 402884  29076 S  41.0   2.5   0:49.82 java
   5370 root      20   0 9218556 402884  29076 S  41.0   2.5   0:50.23 java
   5370 root      20   0 9218556 402884  29076 S  41.0   2.5   0:50.64 java
   5370 root      20   0 9218556 402884  29076 S  39.0   2.5   0:51.03 java
   5370 root      20   0 9218556 402884  29076 S  39.0   2.5   0:51.42 java
   5370 root      20   0 9218556 402884  29076 S  41.0   2.5   0:51.83 java
   5370 root      20   0 9218556 402884  29076 S  40.0   2.5   0:52.23 java
   5370 root      20   0 9218556 402884  29076 S  42.0   2.5   0:52.65 java
   5370 root      20   0 9218556 402884  29076 S  39.6   2.5   0:53.05 java
   5370 root      20   0 9218556 402884  29076 S  41.0   2.5   0:53.46 java
   5370 root      20   0 9218556 402884  29076 S  41.0   2.5   0:53.87 java
   5370 root      20   0 9218556 402884  29076 S  40.0   2.5   0:54.27 java
   5370 root      20   0 9218556 402884  29076 S  41.0   2.5   0:54.68 java
   5370 root      20   0 9218556 402884  29076 S  39.0   2.5   0:55.07 java
   5370 root      20   0 9218556 402884  29076 S  39.0   2.5   0:55.46 java
   5370 root      20   0 9218556 402884  29076 S  41.0   2.5   0:55.87 java
   5370 root      20   0 9218556 402884  29076 S  38.6   2.5   0:56.26 java
   5370 root      20   0 9218556 402884  29076 S  38.0   2.5   0:56.64 java
   5370 root      20   0 9218556 403244  29076 S  40.0   2.5   0:57.04 java
   5370 root      20   0 9218556 403244  29076 S  38.0   2.5   0:57.42 java
   5370 root      20   0 9218556 403244  29076 S  40.0   2.5   0:57.82 java
   5370 root      20   0 9218556 403244  29076 S  38.0   2.5   0:58.20 java
   5370 root      20   0 9218556 403244  29076 S  40.0   2.5   0:58.60 java
   5370 root      20   0 9218556 403244  29076 S  39.0   2.5   0:58.99 java
   5370 root      20   0 9218556 403244  29076 S  39.6   2.5   0:59.39 java
   5370 root      20   0 9218556 403244  29076 S  40.0   2.5   0:59.79 java
   5370 root      20   0 9218556 403320  29076 S  43.0   2.5   1:00.22 java
   5370 root      20   0 9218556 403320  29076 S  40.0   2.5   1:00.62 java
   5370 root      20   0 9218556 403320  29076 S  38.0   2.5   1:01.00 java
   5370 root      20   0 9218556 403320  29076 S  41.0   2.5   1:01.41 java
   5370 root      20   0 9218556 403320  29076 S  41.0   2.5   1:01.82 java
   5370 root      20   0 9218556 403320  29076 S  42.0   2.5   1:02.24 java
   5370 root      20   0 9218556 403320  29076 S  41.0   2.5   1:02.65 java
   5370 root      20   0 9218556 403320  29076 S  38.6   2.5   1:03.04 java
   5370 root      20   0 9218556 403320  29076 S  39.0   2.5   1:03.43 java
   5370 root      20   0 9218556 403536  29076 S  41.0   2.5   1:03.84 java
   5370 root      20   0 9218556 403536  29076 S  38.0   2.5   1:04.
