   5823 root      20   0   13.6g 476880  29092 S  33.3   2.9   3:48.95 java
   5823 root      20   0   13.6g 477012  29092 S 146.0   2.9   3:50.41 java
   5823 root      20   0   13.6g 477132  29092 S 188.0   2.9   3:52.29 java
   5823 root      20   0   13.6g 477132  29092 S 187.0   2.9   3:54.16 java
   5823 root      20   0   13.6g 477132  29092 S 187.1   2.9   3:56.05 java
   5823 root      20   0   13.6g 477132  29092 S 187.0   2.9   3:57.92 java
   5823 root      20   0   13.6g 477472  29092 S 188.0   2.9   3:59.80 java
   5823 root      20   0   13.6g 477472  29092 S 183.0   2.9   4:01.63 java
   5823 root      20   0   13.6g 477472  29092 S 190.0   2.9   4:03.53 java
   5823 root      20   0   13.6g 477472  29092 S 182.0   2.9   4:05.35 java
   5823 root      20   0   13.6g 477924  29092 S 186.0   2.9   4:07.21 java
   5823 root      20   0   13.6g 478124  29092 S 188.0   2.9   4:09.09 java
   5823 root      20   0   13.6g 478124  29092 S 185.0   2.9   4:10.94 java
   5823 root      20   0   13.6g 478124  29092 S 187.0   2.9   4:12.81 java
   5823 root      20   0   13.6g 478284  29092 S 186.1   2.9   4:14.69 java
   5823 root      20   0   13.6g 478296  29092 S 186.0   2.9   4:16.55 java
   5823 root      20   0   13.6g 478296  29092 S 189.0   2.9   4:18.44 java
   5823 root      20   0   13.6g 478296  29092 S 188.0   2.9   4:20.32 java
   5823 root      20   0   13.6g 478296  29092 S 186.0   2.9   4:22.18 java
   5823 root      20   0   13.6g 479048  29092 S 188.0   2.9   4:24.06 java
   5823 root      20   0   13.6g 479308  29092 S 186.0   2.9   4:25.92 java
   5823 root      20   0   13.6g 479308  29092 S 186.0   2.9   4:27.78 java
   5823 root      20   0   13.6g 479460  29092 S 188.0   2.9   4:29.66 java
   5823 root      20   0   13.6g 479460  29092 S 184.0   2.9   4:31.50 java
   5823 root      20   0   13.6g 479544  29092 S 183.2   2.9   4:33.35 java
   5823 root      20   0   13.6g 479544  29092 S 186.0   2.9   4:35.21 java
   5823 root      20   0   13.6g 479544  29092 S 186.0   2.9   4:37.07 java
   5823 root      20   0   13.6g 479688  29092 S 188.0   2.9   4:38.95 java
   5823 root      20   0   13.6g 479688  29092 S 186.0   2.9   4:40.81 java
   5823 root      20   0   13.6g 479688  29092 S 183.0   2.9   4:42.64 java
   5823 root      20   0   13.6g 479688  29092 S 186.0   2.9   4:44.50 java
   5823 root      20   0   13.6g 479688  29092 S 189.0   2.9   4:46.39 java
   5823 root      20   0   13.6g 479828  29092 S 185.0   2.9   4:48.24 java
   5823 root      20   0   13.6g 479828  29092 S 187.0   2.9   4:50.11 java
   5823 root      20   0   13.6g 479828  29092 S 185.1   2.9   4:51.98 java
   5823 root      20   0   13.6g 479828  29092 S 187.0   2.9   4:53.85 java
   5823 root      20   0   13.6g 479952  29092 S 184.0   2.9   4:55.69 java
   5823 root      20   0   13.6g 479952  29092 S 187.0   2.9   4:57.56 java
   5823 root      20   0   13.6g 480096  29092 S 189.0   2.9   4:59.45 java
   5823 root      20   0   13.6g 480096  29092 S 186.0   2.9   5:01.31 java
   5823 root      20   0   13.6g 480168  29092 S 189.0   2.9   5:03.20 java
   5823 root      20   0   13.6g 480168  29092 S 188.0   2.9   5:05.08 java
   5823 root      20   0   13.6g 480300  29092 S 188.0   2.9   5:06.96 java
   5823 root      20   0   13.6g 480300  29092 S 187.0   2.9   5:08.83 java
   5823 root      20   0   13.6g 480300  29092 S 184.2   2.9   5:10.69 java
   5823 root      20   0   13.6g 480404  29092 S 187.0   2.9   5:12.56 java
   5823 root      20   0   13.6g 480404  29092 S 187.0   2.9   5:14.43 java
   5823 root      20   0   13.6g 480404  29092 S 188.0   2.9   5:16.31 java
   5823 root      20   0   13.6g 480404  29092 S 191.0   2.9   5:18.22 java
   5823 root      20   0   13.6g 480404  29092 S 184.0   2.9   5:20.06 java
   5823 root      20   0   13.6g 480404  29092 S 188.0   2.9   5:21.94 java
   5823 root      20   0   13.6g 480404  29092 S 187.0   2.9   5:23.81 java
   5823 root      20   0   13.6g 480404  29092 S 186.0   2.9   5:25.67 java
   5823 root      20   0   13.6g 480404  29092 S 188.0   2.9   5:27.
