   5823 root      20   0   13.6g 776680  29092 S 337.5   4.8  65:31.72 java
   5823 root      20   0   13.6g 871748  29092 S 401.0   5.3  65:35.73 java
   5823 root      20   0   13.6g 872276  29092 S 399.0   5.3  65:39.72 java
   5823 root      20   0   13.6g 872276  29092 S 401.0   5.3  65:43.73 java
   5823 root      20   0   13.6g 872464  29092 S 399.0   5.3  65:47.72 java
   5823 root      20   0   13.6g 872652  29092 S 400.0   5.4  65:51.72 java
   5823 root      20   0   13.6g 872652  29092 S 400.0   5.4  65:55.72 java
   5823 root      20   0   13.6g 872652  29092 S 401.0   5.4  65:59.73 java
   5823 root      20   0   13.6g 872652  29092 S 396.0   5.4  66:03.73 java
   5823 root      20   0   13.6g 872652  29092 S 401.0   5.4  66:07.74 java
   5823 root      20   0   13.6g 872652  29092 S 400.0   5.4  66:11.74 java
   5823 root      20   0   13.6g 872652  29092 S 401.0   5.4  66:15.75 java
   5823 root      20   0   13.6g 872652  29092 S 401.0   5.4  66:19.76 java
   5823 root      20   0   13.6g 872652  29092 S 400.0   5.4  66:23.76 java
   5823 root      20   0   13.6g 872652  29092 S 402.0   5.4  66:27.78 java
   5823 root      20   0   13.6g 872652  29092 S 400.0   5.4  66:31.78 java
   5823 root      20   0   13.6g 872652  29092 S 402.0   5.4  66:35.80 java
   5823 root      20   0   13.6g 872652  29092 S 401.0   5.4  66:39.81 java
   5823 root      20   0   13.6g 872652  29092 S 397.0   5.4  66:43.78 java
   5823 root      20   0   13.6g 872652  29092 S 399.0   5.4  66:47.81 java
   5823 root      20   0   13.6g 872652  29092 S 401.0   5.4  66:51.82 java
   5823 root      20   0   13.6g 873060  29092 S 399.0   5.4  66:55.81 java
   5823 root      20   0   13.6g 873324  29092 S 405.0   5.4  66:59.86 java
   5823 root      20   0   13.6g 873324  29092 S 398.0   5.4  67:03.84 java
   5823 root      20   0   13.6g 873324  29092 S 401.0   5.4  67:07.85 java
   5823 root      20   0   13.6g 873324  29092 S 401.0   5.4  67:11.86 java
   5823 root      20   0   13.6g 873324  29092 S 400.0   5.4  67:15.86 java
   5823 root      20   0   13.6g 873324  29092 S 406.0   5.4  67:19.92 java
   5823 root      20   0   13.6g 873324  29092 S 390.0   5.4  67:23.82 java
   5823 root      20   0   13.6g 873324  29092 S 403.0   5.4  67:27.89 java
   5823 root      20   0   13.6g 873324  29092 S 401.0   5.4  67:31.90 java
   5823 root      20   0   13.6g 873324  29092 S 400.0   5.4  67:35.90 java
   5823 root      20   0   13.6g 873324  29092 S 401.0   5.4  67:39.91 java
   5823 root      20   0   13.6g 873588  29092 S 403.0   5.4  67:43.94 java
   5823 root      20   0   13.6g 873588  29092 S 403.0   5.4  67:47.97 java
   5823 root      20   0   13.6g 873588  29092 S 395.0   5.4  67:51.92 java
   5823 root      20   0   13.6g 873588  29092 S 405.0   5.4  67:55.97 java
   5823 root      20   0   13.6g 873588  29092 S 398.0   5.4  67:59.95 java
   5823 root      20   0   13.6g 873588  29092 S 408.0   5.4  68:04.03 java
   5823 root      20   0   13.6g 873588  29092 S 383.2   5.4  68:07.90 java
   5823 root      20   0   13.6g 873588  29092 S 415.0   5.4  68:12.05 java
   5823 root      20   0   13.6g 873588  29092 S 401.0   5.4  68:16.06 java
   5823 root      20   0   13.6g 873588  29092 S 398.0   5.4  68:20.04 java
   5823 root      20   0   13.6g 873588  29092 S 392.0   5.4  68:23.96 java
   5823 root      20   0   13.6g 873588  29092 S 408.0   5.4  68:28.04 java
   5823 root      20   0   13.6g 873588  29092 S 400.0   5.4  68:32.04 java
   5823 root      20   0   13.6g 873588  29092 S 398.0   5.4  68:36.02 java
   5823 root      20   0   13.6g 873588  29092 S 398.0   5.4  68:40.00 java
   5823 root      20   0   13.6g 873588  29092 S 412.0   5.4  68:44.12 java
   5823 root      20   0   13.6g 873588  29092 S 392.1   5.4  68:48.08 java
   5823 root      20   0   13.6g 873588  29092 S 404.0   5.4  68:52.12 java
   5823 root      20   0   13.6g 873588  29092 S 397.0   5.4  68:56.09 java
   5823 root      20   0   13.6g 873588  29092 S 396.0   5.4  69:00.05 java
   5823 root      20   0   13.6g 873588  29092 S 407.0   5.4  69:04.
