  19706 1001      20   0 8922040 572016  52948 S  73.3   3.5  30:16.13 application
  19706 1001      20   0 8923064 573068  52948 S 414.9   3.5  30:20.32 application
  19706 1001      20   0 8924088 573592  52948 S 398.0   3.5  30:24.30 application
  19706 1001      20   0 8924088 574384  52948 S 402.0   3.5  30:28.32 application
  19706 1001      20   0 8925112 574908  52948 S 404.0   3.5  30:32.36 application
  19706 1001      20   0 8925112 575168  52948 S 399.0   3.5  30:36.35 application
  19706 1001      20   0 8926136 575692  52948 S 399.0   3.5  30:40.34 application
  19706 1001      20   0 8926136 576216  52948 S 401.0   3.5  30:44.35 application
  19706 1001      20   0 8927160 577004  52948 S 404.0   3.5  30:48.39 application
  19706 1001      20   0 8928184 577532  52948 S 398.0   3.5  30:52.37 application
  19706 1001      20   0 8928184 577404  52948 S 401.0   3.5  30:56.38 application
  19706 1001      20   0 8927160 578988  54032 S 397.0   3.6  31:00.39 application
  19706 1001      20   0 8927160 579296  54032 S 404.0   3.6  31:04.43 application
  19706 1001      20   0 8927160 579296  54032 S 399.0   3.6  31:08.42 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  31:12.42 application
  19706 1001      20   0 8927160 579296  54032 S 403.0   3.6  31:16.45 application
  19706 1001      20   0 8927160 579296  54032 S 396.0   3.6  31:20.41 application
  19706 1001      20   0 8927160 579296  54032 S 406.0   3.6  31:24.47 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  31:28.47 application
  19706 1001      20   0 8927160 579296  54032 S 402.0   3.6  31:32.49 application
  19706 1001      20   0 8927160 579296  54032 S 399.0   3.6  31:36.48 application
  19706 1001      20   0 8927160 579296  54032 S 397.0   3.6  31:40.49 application
  19706 1001      20   0 8927160 579296  54032 S 399.0   3.6  31:44.48 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  31:48.48 application
  19706 1001      20   0 8927160 579296  54032 S 401.0   3.6  31:52.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  31:56.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:00.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:04.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:08.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:12.49 application
  19706 1001      20   0 8927160 579296  54032 S 396.0   3.6  32:16.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:20.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:24.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:28.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:32.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:36.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:40.49 application
  19706 1001      20   0 8927160 579296  54032 S 399.0   3.6  32:44.48 application
  19706 1001      20   0 8927160 579296  54032 S 397.0   3.6  32:48.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:52.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  32:56.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  33:00.49 application
  19706 1001      20   0 8927160 579296  54032 S 400.0   3.6  33:04.49 application
  19706 1001      20   0 8853396 580748  54032 S 399.0   3.6  33:08.48 application
  19706 1001      20   0 8853396 580748  54032 S 400.0   3.6  33:12.48 application
  19706 1001      20   0 8853396 580748  54032 S 395.0   3.6  33:16.47 application
  19706 1001      20   0 8853396 580748  54032 S 401.0   3.6  33:20.48 application
  19706 1001      20   0 8853396 580748  54032 S 400.0   3.6  33:24.48 application
  19706 1001      20   0 8853396 580748  54032 S 400.0   3.6  33:28.48 application
  19706 1001      20   0 8853
