  19706 1001      20   0 4241052 340636  52624 S   0.0   2.1   1:44.26 application
  19706 1001      20   0 4241052 340636  52624 S 118.0   2.1   1:45.44 application
  19706 1001      20   0 4242076 341604  52688 S 182.0   2.1   1:47.26 application
  19706 1001      20   0 4243100 342660  52688 S 184.0   2.1   1:49.10 application
  19706 1001      20   0 4251296 342660  52688 S 183.0   2.1   1:50.93 application
  19706 1001      20   0 4252320 343324  52688 S 184.0   2.1   1:52.77 application
  19706 1001      20   0 4252320 343324  52688 S 182.2   2.1   1:54.61 application
  19706 1001      20   0 4252320 343584  52688 S 183.0   2.1   1:56.44 application
  19706 1001      20   0 4252320 343584  52688 S 185.0   2.1   1:58.29 application
  19706 1001      20   0 4252320 343584  52688 S 184.0   2.1   2:00.13 application
  19706 1001      20   0 4252320 343844  52692 S 184.0   2.1   2:01.97 application
  19706 1001      20   0 4253344 344108  52692 S 184.0   2.1   2:03.81 application
  19706 1001      20   0 4261540 344108  52692 S 184.0   2.1   2:05.65 application
  19706 1001      20   0 4261540 344636  52692 S 184.0   2.1   2:07.49 application
  19706 1001      20   0 4261540 344636  52692 S 184.0   2.1   2:09.33 application
  19706 1001      20   0 4261540 344900  52692 S 184.0   2.1   2:11.17 application
  19706 1001      20   0 4261540 345164  52692 S 181.2   2.1   2:13.00 application
  19706 1001      20   0 4261540 345164  52692 S 183.0   2.1   2:14.83 application
  19706 1001      20   0 4262564 345424  52692 S 185.0   2.1   2:16.68 application
  19706 1001      20   0 4262564 345688  52692 S 184.0   2.1   2:18.52 application
  19706 1001      20   0 4262564 345688  52692 S 183.0   2.1   2:20.35 application
  19706 1001      20   0 4262564 345688  52692 S 183.0   2.1   2:22.18 application
  19706 1001      20   0 4262564 345688  52692 S 185.0   2.1   2:24.03 application
  19706 1001      20   0 4262564 345688  52692 S 184.0   2.1   2:25.87 application
  19706 1001      20   0 4262564 345688  52692 S 184.0   2.1   2:27.71 application
  19706 1001      20   0 4262564 345688  52692 S 184.0   2.1   2:29.55 application
  19706 1001      20   0 4262564 345952  52692 S 181.2   2.1   2:31.38 application
  19706 1001      20   0 4263588 346216  52692 S 183.0   2.1   2:33.21 application
  19706 1001      20   0 4263588 346216  52692 S 185.0   2.1   2:35.06 application
  19706 1001      20   0 4263588 346480  52692 S 184.0   2.1   2:36.90 application
  19706 1001      20   0 4263588 346480  52692 S 182.0   2.1   2:38.72 application
  19706 1001      20   0 4263588 346744  52692 S 183.0   2.1   2:40.55 application
  19706 1001      20   0 4263588 346744  52692 S 184.0   2.1   2:42.39 application
  19706 1001      20   0 4271784 346744  52692 S 184.0   2.1   2:44.23 application
  19706 1001      20   0 4272808 347200  52692 S 183.0   2.1   2:46.06 application
  19706 1001      20   0 4272808 347464  52692 S 184.0   2.1   2:47.90 application
  19706 1001      20   0 4272808 347464  52692 S 181.2   2.1   2:49.73 application
  19706 1001      20   0 4272808 347464  52692 S 185.0   2.1   2:51.58 application
  19706 1001      20   0 4272808 347464  52692 S 184.0   2.1   2:53.42 application
  19706 1001      20   0 4272808 347464  52692 S 184.0   2.1   2:55.26 application
  19706 1001      20   0 4272808 347728  52692 S 183.0   2.1   2:57.09 application
  19706 1001      20   0 4272808 347728  52692 S 182.0   2.1   2:58.91 application
  19706 1001      20   0 4272808 347728  52692 S 184.0   2.1   3:00.75 application
  19706 1001      20   0 4272808 347728  52692 S 183.0   2.1   3:02.58 application
  19706 1001      20   0 4272808 347728  52692 S 184.0   2.1   3:04.42 application
  19706 1001      20   0 4273832 347992  52692 S 184.0   2.1   3:06.26 application
  19706 1001      20   0 4273832 348256  52692 S 182.2   2.1   3:08.10 application
  19706 1001      20   0 4273832 348256  52692 S 183.0   2.1   3:09.93 application
  19706 1001      20   0 4273832 348256  52692 S 185.0   2.1   3:11.78 application
  19706 1001      20   0 4273
