Running 1m test @ http://erik-pc.local:8080/greeting/Bob
  4 threads and 100 connections
  Thread calibration: mean lat.: 24.820ms, rate sampling interval: 102ms
  Thread calibration: mean lat.: 27.527ms, rate sampling interval: 104ms
  Thread calibration: mean lat.: 24.530ms, rate sampling interval: 101ms
  Thread calibration: mean lat.: 24.691ms, rate sampling interval: 102ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    28.55ms   19.55ms 162.43ms   59.25%
    Req/Sec     8.03k   808.03    11.38k    73.82%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   28.54ms
 75.000%   44.42ms
 90.000%   53.50ms
 99.000%   72.57ms
 99.900%  103.42ms
 99.990%  129.79ms
 99.999%  156.29ms
100.000%  162.56ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.198     0.000000            1         1.00
       1.492     0.100000       159515         1.11
       7.375     0.200000       319055         1.25
      14.879     0.300000       478548         1.43
      21.855     0.400000       638437         1.67
      28.543     0.500000       797677         2.00
      31.823     0.550000       877458         2.22
      35.071     0.600000       957763         2.50
      38.239     0.650000      1037353         2.86
      41.375     0.700000      1117380         3.33
      44.415     0.750000      1196755         4.00
      45.919     0.775000      1237085         4.44
      47.391     0.800000      1276943         5.00
      48.831     0.825000      1316551         5.71
      50.303     0.850000      1356580         6.67
      51.839     0.875000      1396525         8.00
      52.639     0.887500      1416108         8.89
      53.503     0.900000      1436196        10.00
      54.431     0.912500      1455917        11.43
      55.455     0.925000      1475745        13.33
      56.607     0.937500      1495531        16.00
      57.279     0.943750      1505838        17.78
      58.015     0.950000      1515590        20.00
      58.847     0.956250      1525401        22.86
      59.839     0.962500      1535412        26.67
      61.087     0.968750      1545439        32.00
      61.855     0.971875      1550329        35.56
      62.751     0.975000      1555354        40.00
      63.871     0.978125      1560294        45.71
      65.343     0.981250      1565283        53.33
      67.263     0.984375      1570255        64.00
      68.479     0.985938      1572763        71.11
      69.823     0.987500      1575225        80.00
      71.487     0.989062      1577750        91.43
      73.407     0.990625      1580232       106.67
      75.647     0.992188      1582734       128.00
      76.991     0.992969      1583982       142.22
      78.463     0.993750      1585222       160.00
      80.127     0.994531      1586437       182.86
      82.111     0.995313      1587707       213.33
      84.607     0.996094      1588938       256.00
      86.015     0.996484      1589559       284.44
      87.551     0.996875      1590161       320.00
      89.407     0.997266      1590797       365.71
      91.519     0.997656      1591422       426.67
      94.079     0.998047      1592039       512.00
      95.423     0.998242      1592342       568.89
      97.151     0.998437      1592663       640.00
      99.007     0.998633      1592966       731.43
     101.119     0.998828      1593277       853.33
     103.679     0.999023      1593590      1024.00
     105.087     0.999121      1593747      1137.78
     106.495     0.999219      1593900      1280.00
     108.223     0.999316      1594055      1462.86
     110.207     0.999414      1594214      1706.67
     112.575     0.999512      1594368      2048.00
     113.727     0.999561      1594447      2275.56
     115.199     0.999609      1594522      2560.00
     116.671     0.999658      1594603      2925.71
     118.655     0.999707      1594680      3413.33
     120.703     0.999756      1594756      4096.00
     121.791     0.999780      1594795      4551.11
     123.135     0.999805      1594835      5120.00
     124.735     0.999829      1594875      5851.43
     126.335     0.999854      1594912      6826.67
     128.063     0.999878      1594952      8192.00
     128.831     0.999890      1594971      9102.22
     130.111     0.999902      1594991     10240.00
     131.583     0.999915      1595011     11702.86
     133.375     0.999927      1595029     13653.33
     135.679     0.999939      1595049     16384.00
     136.703     0.999945      1595058     18204.44
     138.879     0.999951      1595068     20480.00
     140.671     0.999957      1595077     23405.71
     142.975     0.999963      1595087     27306.67
     146.175     0.999969      1595097     32768.00
     147.583     0.999973      1595102     36408.89
     149.119     0.999976      1595107     40960.00
     150.655     0.999979      1595111     46811.43
     152.191     0.999982      1595116     54613.33
     153.727     0.999985      1595121     65536.00
     154.751     0.999986      1595124     72817.78
     155.135     0.999988      1595126     81920.00
     155.775     0.999989      1595128     93622.86
     156.799     0.999991      1595131    109226.67
     157.183     0.999992      1595133    131072.00
     157.695     0.999993      1595135    145635.56
     158.207     0.999994      1595136    163840.00
     158.463     0.999995      1595137    187245.71
     158.591     0.999995      1595138    218453.33
     158.975     0.999996      1595139    262144.00
     159.103     0.999997      1595140    291271.11
     159.231     0.999997      1595141    327680.00
     159.231     0.999997      1595141    374491.43
     159.871     0.999998      1595142    436906.67
     159.871     0.999998      1595142    524288.00
     161.023     0.999998      1595143    582542.22
     161.023     0.999998      1595143    655360.00
     161.023     0.999999      1595143    748982.86
     161.151     0.999999      1595144    873813.33
     161.151     0.999999      1595144   1048576.00
     161.151     0.999999      1595144   1165084.44
     161.151     0.999999      1595144   1310720.00
     161.151     0.999999      1595144   1497965.71
     162.559     0.999999      1595145   1747626.67
     162.559     1.000000      1595145          inf
#[Mean    =       28.550, StdDeviation   =       19.551]
#[Max     =      162.432, Total count    =      1595145]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1909720 requests in 1.00m, 158.45MB read
Requests/sec:  31829.01
Transfer/sec:      2.64MB
