  14760 1001      20   0 1287592 311876  42668 S  25.0   1.9   0:56.78 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   0:57.70 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   0:58.61 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   0:59.52 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   1:00.43 application
  14760 1001      20   0 1288616 312464  42732 S  90.0   1.9   1:01.33 application
  14760 1001      20   0 1288616 312464  42732 S  90.0   1.9   1:02.23 application
  14760 1001      20   0 1288616 312464  42732 S  91.1   1.9   1:03.15 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:04.07 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:04.99 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:05.91 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:06.83 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   1:07.74 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   1:08.65 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:09.57 application
  14760 1001      20   0 1288616 312464  42732 S  91.1   1.9   1:10.49 application
  14760 1001      20   0 1288616 312464  42732 S  90.0   1.9   1:11.39 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:12.31 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:13.23 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:14.15 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:15.07 application
  14760 1001      20   0 1288616 312464  42732 S  90.0   1.9   1:15.97 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:16.89 application
  14760 1001      20   0 1288616 312464  42732 S  93.1   1.9   1:17.83 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:18.75 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   1:19.66 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:20.58 application
  14760 1001      20   0 1288616 312464  42732 S  90.0   1.9   1:21.48 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   1:22.39 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:23.31 application
  14760 1001      20   0 1288616 312464  42732 S  91.1   1.9   1:24.23 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   1:25.14 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:26.06 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   1:26.97 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:27.89 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:28.81 application
  14760 1001      20   0 1288616 312464  42732 S  91.0   1.9   1:29.72 application
  14760 1001      20   0 1288616 312464  42732 S  92.0   1.9   1:30.64 application
  14760 1001      20   0 1288616 312728  42732 S  91.1   1.9   1:31.56 application
  14760 1001      20   0 1288616 312728  42732 S  91.0   1.9   1:32.47 application
  14760 1001      20   0 1288616 312728  42732 S  93.0   1.9   1:33.40 application
  14760 1001      20   0 1288616 312728  42732 S  92.0   1.9   1:34.32 application
  14760 1001      20   0 1288616 312728  42732 S  93.0   1.9   1:35.25 application
  14760 1001      20   0 1288616 312728  42732 S  92.0   1.9   1:36.17 application
  14760 1001      20   0 1288616 312728  42732 S  93.0   1.9   1:37.10 application
  14760 1001      20   0 1288616 312728  42732 S  91.1   1.9   1:38.02 application
  14760 1001      20   0 1288616 312728  42732 S  91.0   1.9   1:38.93 application
  14760 1001      20   0 1288616 312728  42732 S  92.0   1.9   1:39.85 application
  14760 1001      20   0 1288616 312728  42732 S  91.0   1.9   1:40.76 application
  14760 1001      20   0 1288
