  15068 1001      20   0 2690664 324720  47492 S  26.7   2.0   1:22.50 application
  15068 1001      20   0 2690664 324720  47492 S 134.0   2.0   1:23.84 application
  15068 1001      20   0 2708080 325472  47492 S 176.0   2.0   1:25.60 application
  15068 1001      20   0 3152520 327200  47492 S 175.2   2.0   1:27.37 application
  15068 1001      20   0 3153544 329048  47492 S 177.0   2.0   1:29.14 application
  15068 1001      20   0 3154568 329048  47492 S 178.0   2.0   1:30.92 application
  15068 1001      20   0 3154568 329048  47492 S 175.0   2.0   1:32.67 application
  15068 1001      20   0 3154568 329048  47492 S 177.0   2.0   1:34.44 application
  15068 1001      20   0 3154568 329048  47492 S 177.0   2.0   1:36.21 application
  15068 1001      20   0 3154568 329048  47492 S 176.0   2.0   1:37.97 application
  15068 1001      20   0 3154568 329048  47492 S 177.0   2.0   1:39.74 application
  15068 1001      20   0 3154568 329048  47492 S 176.0   2.0   1:41.50 application
  15068 1001      20   0 3154568 329048  47492 S 178.0   2.0   1:43.28 application
  15068 1001      20   0 3154568 329048  47492 S 173.3   2.0   1:45.03 application
  15068 1001      20   0 3154568 329048  47492 S 176.0   2.0   1:46.79 application
  15068 1001      20   0 3154568 329048  47492 S 178.0   2.0   1:48.57 application
  15068 1001      20   0 3154568 329048  47492 S 177.0   2.0   1:50.34 application
  15068 1001      20   0 3155592 329048  47492 S 176.0   2.0   1:52.10 application
  15068 1001      20   0 3155592 329048  47492 S 180.0   2.0   1:53.90 application
  15068 1001      20   0 3155592 329048  47492 S 175.0   2.0   1:55.65 application
  15068 1001      20   0 3155592 329308  47492 S 178.0   2.0   1:57.43 application
  15068 1001      20   0 3155592 329568  47492 S 176.0   2.0   1:59.19 application
  15068 1001      20   0 3155592 329568  47492 S 178.0   2.0   2:00.97 application
  15068 1001      20   0 3155592 329948  47616 S 175.2   2.0   2:02.74 application
  15068 1001      20   0 3155592 329948  47616 S 175.0   2.0   2:04.49 application
  15068 1001      20   0 3155592 330208  47616 S 180.0   2.0   2:06.29 application
  15068 1001      20   0 3155592 330208  47616 S 175.0   2.0   2:08.04 application
  15068 1001      20   0 3155592 330208  47616 S 178.0   2.0   2:09.82 application
  15068 1001      20   0 3155592 330208  47616 S 177.0   2.0   2:11.59 application
  15068 1001      20   0 3155592 330208  47616 S 178.0   2.0   2:13.37 application
  15068 1001      20   0 3156616 330208  47616 S 175.0   2.0   2:15.12 application
  15068 1001      20   0 3156616 330208  47616 S 179.0   2.0   2:16.91 application
  15068 1001      20   0 3156616 330592  47744 S 177.0   2.0   2:18.68 application
  15068 1001      20   0 3156616 330912  47744 S 176.2   2.0   2:20.46 application
  15068 1001      20   0 3156616 331176  47744 S 180.0   2.0   2:22.26 application
  15068 1001      20   0 3156616 331176  47744 S 175.0   2.0   2:24.01 application
  15068 1001      20   0 3156616 331440  47744 S 180.0   2.0   2:25.81 application
  15068 1001      20   0 3156616 331440  47744 S 177.0   2.0   2:27.58 application
  15068 1001      20   0 3156616 331440  47744 S 177.0   2.0   2:29.35 application
  15068 1001      20   0 3156616 331700  47744 S 178.0   2.0   2:31.13 application
  15068 1001      20   0 3156616 331700  47744 S 174.0   2.0   2:32.87 application
  15068 1001      20   0 3156616 331700  47744 S 176.0   2.0   2:34.63 application
  15068 1001      20   0 3156616 331700  47744 S 179.0   2.0   2:36.42 application
  15068 1001      20   0 3156616 331700  47744 S 176.2   2.0   2:38.20 application
  15068 1001      20   0 3156616 331964  47744 S 173.0   2.0   2:39.93 application
  15068 1001      20   0 3157640 331964  47744 S 175.0   2.0   2:41.68 application
  15068 1001      20   0 3157640 331964  47744 S 176.0   2.0   2:43.44 application
  15068 1001      20   0 3157640 331964  47744 S 178.0   2.0   2:45.22 application
  15068 1001      20   0 3157640 332228  47744 S 175.0   2.0   2:46.97 application
  15068 1001      20   0 3157
