  57402 root      20   0 9226748 547224  29024 S 226.7   3.4   1:30.96 java
  57402 root      20   0 9226748 560496  29024 S 217.0   3.4   1:33.13 java
  57402 root      20   0 9226748 560496  29024 S 105.0   3.4   1:34.18 java
  57402 root      20   0 9226748 560496  29024 S  87.0   3.4   1:35.05 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   1:35.91 java
  57402 root      20   0 9226748 554516  29024 S  88.0   3.4   1:36.79 java
  57402 root      20   0 9226748 554516  29024 S  88.0   3.4   1:37.67 java
  57402 root      20   0 9226748 554516  29024 S  87.0   3.4   1:38.54 java
  57402 root      20   0 9226748 554516  29024 S  85.1   3.4   1:39.40 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   1:40.25 java
  57402 root      20   0 9226748 554516  29024 S  87.0   3.4   1:41.12 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   1:41.98 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   1:42.84 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   1:43.69 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   1:44.55 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   1:45.41 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   1:46.25 java
  57402 root      20   0 9226748 554516  29024 S  85.1   3.4   1:47.11 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   1:47.95 java
  57402 root      20   0 9226748 554516  29024 S  87.0   3.4   1:48.82 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   1:49.67 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   1:50.51 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   1:51.37 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   1:52.23 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   1:53.07 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   1:53.91 java
  57402 root      20   0 9226748 554516  29024 S  85.1   3.4   1:54.77 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   1:55.61 java
  57402 root      20   0 9226748 554516  29024 S  87.0   3.4   1:56.48 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   1:57.32 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   1:58.17 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   1:59.01 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   1:59.87 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   2:00.72 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   2:01.58 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   2:02.42 java
  57402 root      20   0 9226748 554516  29024 S  85.1   3.4   2:03.28 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   2:04.12 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   2:04.98 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   2:05.83 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   2:06.67 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   2:07.53 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   2:08.37 java
  57402 root      20   0 9226748 554516  29024 S  87.0   3.4   2:09.24 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   2:10.09 java
  57402 root      20   0 9226748 554516  29024 S  85.1   3.4   2:10.95 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   2:11.80 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   2:12.65 java
  57402 root      20   0 9226748 554516  29024 S  85.0   3.4   2:13.50 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   2:14.36 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   2:15.20 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   2:16.06 java
  57402 root      20   0 9226748 554516  29024 S  84.0   3.4   2:16.90 java
  57402 root      20   0 9226748 554516  29024 S  86.0   3.4   2:17.
