   5648 root      20   0 9218556 394656  29160 S 106.7   2.4   2:43.77 java
   5648 root      20   0 9218556 394700  29160 S 105.0   2.4   2:44.82 java
   5648 root      20   0 9218556 394700  29160 S 126.0   2.4   2:46.08 java
   5648 root      20   0 9218556 394700  29160 S 125.0   2.4   2:47.33 java
   5648 root      20   0 9218556 394700  29160 S 128.0   2.4   2:48.61 java
   5648 root      20   0 9218556 394700  29160 S 121.8   2.4   2:49.84 java
   5648 root      20   0 9218556 394700  29160 S 120.0   2.4   2:51.04 java
   5648 root      20   0 9218556 394700  29160 S 123.0   2.4   2:52.27 java
   5648 root      20   0 9218556 394700  29160 S 132.0   2.4   2:53.59 java
   5648 root      20   0 9218556 394700  29160 S 129.0   2.4   2:54.88 java
   5648 root      20   0 9218556 394700  29160 S 129.0   2.4   2:56.17 java
   5648 root      20   0 9218556 394700  29160 S 128.0   2.4   2:57.45 java
   5648 root      20   0 9218556 395008  29160 S 124.8   2.4   2:58.71 java
   5648 root      20   0 9218556 395008  29160 S 126.0   2.4   2:59.97 java
   5648 root      20   0 9218556 395008  29160 S 123.0   2.4   3:01.20 java
   5648 root      20   0 9218556 395008  29160 S 127.0   2.4   3:02.47 java
   5648 root      20   0 9218556 395008  29160 S 123.0   2.4   3:03.70 java
   5648 root      20   0 9218556 395008  29160 S 125.0   2.4   3:04.95 java
   5648 root      20   0 9218556 395008  29160 S 127.0   2.4   3:06.22 java
   5648 root      20   0 9218556 395008  29160 S 124.0   2.4   3:07.46 java
   5648 root      20   0 9218556 395008  29160 S 128.0   2.4   3:08.74 java
   5648 root      20   0 9218556 395008  29160 S 126.7   2.4   3:10.02 java
   5648 root      20   0 9218556 395008  29160 S 120.0   2.4   3:11.22 java
   5648 root      20   0 9218556 395008  29160 S 128.0   2.4   3:12.50 java
   5648 root      20   0 9218556 395008  29160 S 129.0   2.4   3:13.79 java
   5648 root      20   0 9218556 395008  29160 S 130.0   2.4   3:15.09 java
   5648 root      20   0 9218556 395008  29160 S 124.0   2.4   3:16.33 java
   5648 root      20   0 9218556 395008  29160 S 123.0   2.4   3:17.56 java
   5648 root      20   0 9218556 395008  29160 S 124.0   2.4   3:18.80 java
   5648 root      20   0 9218556 395008  29160 S 129.7   2.4   3:20.11 java
   5648 root      20   0 9218556 395008  29160 S 129.0   2.4   3:21.40 java
   5648 root      20   0 9218556 395008  29160 S 131.0   2.4   3:22.71 java
   5648 root      20   0 9218556 395008  29160 S 128.0   2.4   3:23.99 java
   5648 root      20   0 9218556 395008  29160 S 129.0   2.4   3:25.28 java
   5648 root      20   0 9218556 395008  29160 S 129.0   2.4   3:26.57 java
   5648 root      20   0 9218556 395008  29160 S 127.0   2.4   3:27.84 java
   5648 root      20   0 9218556 395008  29160 S 128.0   2.4   3:29.12 java
   5648 root      20   0 9218556 395008  29160 S 122.8   2.4   3:30.36 java
   5648 root      20   0 9218556 395008  29160 S 127.0   2.4   3:31.63 java
   5648 root      20   0 9218556 395008  29160 S 132.0   2.4   3:32.95 java
   5648 root      20   0 9218556 395008  29160 S 127.0   2.4   3:34.22 java
   5648 root      20   0 9218556 395008  29160 S 126.0   2.4   3:35.48 java
   5648 root      20   0 9218556 395008  29160 S 125.0   2.4   3:36.73 java
   5648 root      20   0 9218556 395008  29160 S 124.0   2.4   3:37.97 java
   5648 root      20   0 9218556 395008  29160 S 124.8   2.4   3:39.23 java
   5648 root      20   0 9218556 395008  29160 S 127.0   2.4   3:40.50 java
   5648 root      20   0 9218556 395008  29160 S 127.0   2.4   3:41.77 java
   5648 root      20   0 9218556 395008  29160 S 131.0   2.4   3:43.08 java
   5648 root      20   0 9218556 395008  29160 S 132.0   2.4   3:44.40 java
   5648 root      20   0 9218556 395008  29160 S 128.0   2.4   3:45.68 java
   5648 root      20   0 9218556 395008  29160 S 129.0   2.4   3:46.97 java
   5648 root      20   0 9218556 395008  29160 S 127.0   2.4   3:48.24 java
   5648 root      20   0 9218556 395008  29160 S 124.8   2.4   3:49.50 java
   5648 root      20   0 9218556 395008  29160 S 132.0   2.4   3:50.
