   6003 root      20   0   13.3g 532364  28996 S 213.3   3.3   1:15.96 java
   6003 root      20   0   13.3g 557364  28996 S 180.0   3.4   1:17.76 java
   6003 root      20   0   13.3g 557500  28996 S  79.0   3.4   1:18.55 java
   6003 root      20   0   13.3g 549500  28996 S  74.0   3.4   1:19.29 java
   6003 root      20   0   13.3g 549500  28996 S  72.0   3.4   1:20.01 java
   6003 root      20   0   13.3g 549516  28996 S  76.0   3.4   1:20.77 java
   6003 root      20   0   13.3g 549516  28996 S  74.0   3.4   1:21.51 java
   6003 root      20   0   13.3g 549516  28996 S  76.0   3.4   1:22.27 java
   6003 root      20   0   13.3g 549516  28996 S  74.0   3.4   1:23.01 java
   6003 root      20   0   13.3g 549516  28996 S  76.0   3.4   1:23.77 java
   6003 root      20   0   13.3g 549744  28996 S  75.2   3.4   1:24.53 java
   6003 root      20   0   13.3g 549744  28996 S  76.0   3.4   1:25.29 java
   6003 root      20   0   13.3g 549756  28996 S  83.0   3.4   1:26.12 java
   6003 root      20   0   13.3g 549756  28996 S  74.0   3.4   1:26.86 java
   6003 root      20   0   13.3g 549964  28996 S  76.0   3.4   1:27.62 java
   6003 root      20   0   13.3g 549964  28996 S  72.0   3.4   1:28.34 java
   6003 root      20   0   13.3g 550112  28996 S  75.0   3.4   1:29.09 java
   6003 root      20   0   13.3g 550112  28996 S  79.0   3.4   1:29.88 java
   6003 root      20   0   13.3g 550112  28996 S  75.0   3.4   1:30.63 java
   6003 root      20   0   13.3g 550112  28996 S  76.2   3.4   1:31.40 java
   6003 root      20   0   13.3g 550112  28996 S  77.0   3.4   1:32.17 java
   6003 root      20   0   13.3g 550112  28996 S  71.0   3.4   1:32.88 java
   6003 root      20   0   13.3g 550112  28996 S  72.0   3.4   1:33.60 java
   6003 root      20   0   13.3g 550112  28996 S  75.0   3.4   1:34.35 java
   6003 root      20   0   13.3g 550112  28996 S  74.0   3.4   1:35.09 java
   6003 root      20   0   13.3g 550248  28996 S  72.0   3.4   1:35.81 java
   6003 root      20   0   13.3g 550248  28996 S  75.0   3.4   1:36.56 java
   6003 root      20   0   13.3g 550248  28996 S  76.0   3.4   1:37.32 java
   6003 root      20   0   13.3g 550248  28996 S  76.2   3.4   1:38.09 java
   6003 root      20   0   13.3g 550248  28996 S  72.0   3.4   1:38.81 java
   6003 root      20   0   13.3g 550248  28996 S  73.0   3.4   1:39.54 java
   6003 root      20   0   13.3g 550248  28996 S  74.0   3.4   1:40.28 java
   6003 root      20   0   13.3g 550248  28996 S  74.0   3.4   1:41.02 java
   6003 root      20   0   13.3g 550248  28996 S  74.0   3.4   1:41.76 java
   6003 root      20   0   13.3g 550248  28996 S  71.0   3.4   1:42.47 java
   6003 root      20   0   13.3g 550248  28996 S  74.0   3.4   1:43.21 java
   6003 root      20   0   13.3g 550248  28996 S  74.0   3.4   1:43.95 java
   6003 root      20   0   13.3g 551552  28996 S  68.3   3.4   1:44.64 java
   6003 root      20   0   13.3g 551552  28996 S  72.0   3.4   1:45.36 java
   6003 root      20   0   13.3g 551552  28996 S  76.0   3.4   1:46.12 java
   6003 root      20   0   13.3g 551552  28996 S  74.0   3.4   1:46.86 java
   6003 root      20   0   13.3g 551688  28996 S  72.0   3.4   1:47.58 java
   6003 root      20   0   13.3g 551688  28996 S  68.0   3.4   1:48.26 java
   6003 root      20   0   13.3g 551688  28996 S  71.0   3.4   1:48.97 java
   6003 root      20   0   13.3g 551688  28996 S  71.0   3.4   1:49.68 java
   6003 root      20   0   13.3g 551848  28996 S  74.0   3.4   1:50.42 java
   6003 root      20   0   13.3g 551848  28996 S  73.3   3.4   1:51.16 java
   6003 root      20   0   13.3g 551848  28996 S  76.0   3.4   1:51.92 java
   6003 root      20   0   13.3g 551848  28996 S  70.0   3.4   1:52.62 java
   6003 root      20   0   13.3g 551848  28996 S  69.0   3.4   1:53.31 java
   6003 root      20   0   13.3g 551848  28996 S  71.0   3.4   1:54.02 java
   6003 root      20   0   13.3g 551848  28996 S  77.0   3.4   1:54.79 java
   6003 root      20   0   13.3g 551848  28996 S  78.0   3.4   1:55.57 java
   6003 root      20   0   13.3g 551996  28996 S  71.0   3.4   1:56.
