  53030 root      20   0   12.9g 592116  29172 S 140.0   3.6   2:05.34 java
  53030 root      20   0   12.9g 592240  29172 S 156.0   3.6   2:06.90 java
  53030 root      20   0   12.9g 592268  29172 S 183.0   3.6   2:08.73 java
  53030 root      20   0   12.9g 592268  29172 S 181.0   3.6   2:10.54 java
  53030 root      20   0   12.9g 592484  29172 S 178.0   3.6   2:12.32 java
  53030 root      20   0   12.9g 592484  29172 S 179.0   3.6   2:14.11 java
  53030 root      20   0   12.9g 592484  29172 S 179.0   3.6   2:15.90 java
  53030 root      20   0   12.9g 592484  29172 S 175.0   3.6   2:17.65 java
  53030 root      20   0   12.9g 592484  29172 S 181.0   3.6   2:19.46 java
  53030 root      20   0   12.9g 592484  29172 S 176.2   3.6   2:21.24 java
  53030 root      20   0   12.9g 592484  29172 S 183.0   3.6   2:23.07 java
  53030 root      20   0   12.9g 592608  29172 S 178.0   3.6   2:24.85 java
  53030 root      20   0   12.9g 592608  29172 S 182.0   3.6   2:26.67 java
  53030 root      20   0   12.9g 592608  29172 S 179.0   3.6   2:28.46 java
  53030 root      20   0   12.9g 592608  29172 S 183.0   3.6   2:30.29 java
  53030 root      20   0   12.9g 593148  29172 S 181.0   3.6   2:32.10 java
  53030 root      20   0   12.9g 593948  29172 S 178.0   3.6   2:33.88 java
  53030 root      20   0   12.9g 594056  29172 S 180.0   3.6   2:35.68 java
  53030 root      20   0   12.9g 594056  29172 S 176.2   3.6   2:37.46 java
  53030 root      20   0   12.9g 594144  29172 S 183.0   3.6   2:39.29 java
  53030 root      20   0   12.9g 594144  29172 S 180.0   3.6   2:41.09 java
  53030 root      20   0   12.9g 594144  29172 S 183.0   3.6   2:42.92 java
  53030 root      20   0   12.9g 594260  29172 S 181.0   3.6   2:44.73 java
  53030 root      20   0   12.9g 594260  29172 S 181.0   3.6   2:46.54 java
  53030 root      20   0   12.9g 594260  29172 S 179.0   3.6   2:48.33 java
  53030 root      20   0   12.9g 594260  29172 S 181.0   3.6   2:50.14 java
  53030 root      20   0   12.9g 594260  29172 S 183.0   3.6   2:51.97 java
  53030 root      20   0   12.9g 594384  29172 S 182.0   3.6   2:53.79 java
  53030 root      20   0   12.9g 594384  29172 S 181.0   3.6   2:55.60 java
  53030 root      20   0   12.9g 594496  29172 S 181.2   3.6   2:57.43 java
  53030 root      20   0   12.9g 594496  29172 S 180.0   3.6   2:59.23 java
  53030 root      20   0   12.9g 594496  29172 S 181.0   3.6   3:01.04 java
  53030 root      20   0   12.9g 594496  29172 S 181.0   3.6   3:02.85 java
  53030 root      20   0   12.9g 594496  29172 S 181.0   3.6   3:04.66 java
  53030 root      20   0   12.9g 594604  29172 S 181.0   3.6   3:06.47 java
  53030 root      20   0   12.9g 594604  29172 S 184.0   3.6   3:08.31 java
  53030 root      20   0   12.9g 594700  29172 S 184.0   3.6   3:10.15 java
  53030 root      20   0   12.9g 594700  29172 S 180.0   3.6   3:11.95 java
  53030 root      20   0   12.9g 594700  29172 S 180.0   3.6   3:13.75 java
  53030 root      20   0   12.9g 594700  29172 S 180.2   3.6   3:15.57 java
  53030 root      20   0   12.9g 594700  29172 S 181.0   3.6   3:17.38 java
  53030 root      20   0   12.9g 594700  29172 S 181.0   3.6   3:19.19 java
  53030 root      20   0   12.9g 594700  29172 S 181.0   3.6   3:21.00 java
  53030 root      20   0   12.9g 594700  29172 S 181.0   3.6   3:22.81 java
  53030 root      20   0   12.9g 594700  29172 S 180.0   3.6   3:24.61 java
  53030 root      20   0   12.9g 594700  29172 S 179.0   3.6   3:26.40 java
  53030 root      20   0   12.9g 594700  29172 S 182.0   3.6   3:28.22 java
  53030 root      20   0   12.9g 594700  29172 S 181.0   3.6   3:30.03 java
  53030 root      20   0   12.9g 594956  29172 S 180.2   3.6   3:31.85 java
  53030 root      20   0   12.9g 595084  29172 S 184.0   3.6   3:33.69 java
  53030 root      20   0   12.9g 595084  29172 S 181.0   3.6   3:35.50 java
  53030 root      20   0   12.9g 595084  29172 S 180.0   3.6   3:37.30 java
  53030 root      20   0   12.9g 595084  29172 S 178.0   3.6   3:39.08 java
  53030 root      20   0   12.9g 595084  29172 S 180.0   3.6   3:40.
