   6769 root      20   0   13.2g 604212  29048 S   0.0   3.7  10:46.93 java
   6769 root      20   0   13.2g 604480  29048 S 273.0   3.7  10:49.66 java
   6769 root      20   0   13.2g 604684  29048 S 328.0   3.7  10:52.94 java
   6769 root      20   0   13.2g 604684  29048 S 322.0   3.7  10:56.16 java
   6769 root      20   0   13.2g 604684  29048 S 322.0   3.7  10:59.38 java
   6769 root      20   0   13.2g 604848  29048 S 328.0   3.7  11:02.66 java
   6769 root      20   0   13.2g 604888  29048 S 328.7   3.7  11:05.98 java
   6769 root      20   0   13.2g 604888  29048 S 322.0   3.7  11:09.20 java
   6769 root      20   0   13.2g 605592  29048 S 323.0   3.7  11:12.43 java
   6769 root      20   0   13.2g 605760  29048 S 328.0   3.7  11:15.71 java
   6769 root      20   0   13.2g 605936  29048 S 324.0   3.7  11:18.95 java
   6769 root      20   0   13.2g 605956  29048 S 326.0   3.7  11:22.21 java
   6769 root      20   0   13.2g 605956  29048 S 325.0   3.7  11:25.46 java
   6769 root      20   0   13.2g 606456  29048 S 328.0   3.7  11:28.74 java
   6769 root      20   0   13.2g 606456  29048 S 324.0   3.7  11:31.98 java
   6769 root      20   0   13.2g 606456  29048 S 327.0   3.7  11:35.25 java
   6769 root      20   0   13.2g 606596  29048 S 323.8   3.7  11:38.52 java
   6769 root      20   0   13.2g 606836  29048 S 327.0   3.7  11:41.79 java
   6769 root      20   0   13.2g 606836  29048 S 326.0   3.7  11:45.05 java
   6769 root      20   0   13.2g 607008  29048 S 328.0   3.7  11:48.33 java
   6769 root      20   0   13.2g 607280  29048 S 327.0   3.7  11:51.60 java
   6769 root      20   0   13.2g 607280  29048 S 324.0   3.7  11:54.84 java
   6769 root      20   0   13.2g 607280  29048 S 327.0   3.7  11:58.11 java
   6769 root      20   0   13.2g 607280  29048 S 327.0   3.7  12:01.38 java
   6769 root      20   0   13.2g 607416  29048 S 326.0   3.7  12:04.64 java
   6769 root      20   0   13.2g 607416  29048 S 324.0   3.7  12:07.88 java
   6769 root      20   0   13.2g 607560  29048 S 321.8   3.7  12:11.13 java
   6769 root      20   0   13.2g 607560  29048 S 319.0   3.7  12:14.32 java
   6769 root      20   0   13.2g 607560  29048 S 323.0   3.7  12:17.55 java
   6769 root      20   0   13.2g 608028  29048 S 321.0   3.7  12:20.76 java
   6769 root      20   0   13.2g 608028  29048 S 321.0   3.7  12:23.97 java
   6769 root      20   0   13.2g 608028  29048 S 321.0   3.7  12:27.18 java
   6769 root      20   0   13.2g 608028  29048 S 325.0   3.7  12:30.43 java
   6769 root      20   0   13.2g 608180  29048 S 324.0   3.7  12:33.67 java
   6769 root      20   0   13.2g 608180  29048 S 329.0   3.7  12:36.96 java
   6769 root      20   0   13.2g 608180  29048 S 322.0   3.7  12:40.18 java
   6769 root      20   0   13.2g 608260  29048 S 313.9   3.7  12:43.35 java
   6769 root      20   0   13.2g 608388  29048 S 324.0   3.7  12:46.59 java
   6769 root      20   0   13.2g 608388  29048 S 326.0   3.7  12:49.85 java
   6769 root      20   0   13.2g 608388  29048 S 331.0   3.7  12:53.16 java
   6769 root      20   0   13.2g 608388  29048 S 322.0   3.7  12:56.38 java
   6769 root      20   0   13.2g 608388  29048 S 324.0   3.7  12:59.62 java
   6769 root      20   0   13.2g 608388  29048 S 326.0   3.7  13:02.88 java
   6769 root      20   0   13.2g 608572  29048 S 324.0   3.7  13:06.12 java
   6769 root      20   0   13.2g 608572  29048 S 323.0   3.7  13:09.35 java
   6769 root      20   0   13.2g 610412  29048 S 323.0   3.7  13:12.58 java
   6769 root      20   0   13.2g 610412  29048 S 317.8   3.7  13:15.79 java
   6769 root      20   0   13.2g 610412  29048 S 326.0   3.7  13:19.05 java
   6769 root      20   0   13.2g 610496  29048 S 326.0   3.7  13:22.31 java
   6769 root      20   0   13.2g 610496  29048 S 330.0   3.7  13:25.61 java
   6769 root      20   0   13.2g 610496  29048 S 328.0   3.7  13:28.89 java
   6769 root      20   0   13.2g 610496  29048 S 326.0   3.7  13:32.15 java
   6769 root      20   0   13.2g 610496  29048 S 323.0   3.7  13:35.38 java
   6769 root      20   0   13.2g 610496  29048 S 327.0   3.7  13:38.
