   6769 root      20   0   13.2g 626188  29048 S   0.0   3.8  21:47.01 java
   6769 root      20   0   13.2g 626188  29048 S 352.0   3.8  21:50.53 java
   6769 root      20   0   13.2g 626352  29048 S 399.0   3.8  21:54.52 java
   6769 root      20   0   13.2g 626352  29048 S 404.0   3.8  21:58.56 java
   6769 root      20   0   13.2g 626352  29048 S 400.0   3.8  22:02.56 java
   6769 root      20   0   13.2g 626476  29048 S 401.0   3.8  22:06.57 java
   6769 root      20   0   13.2g 627080  29048 S 399.0   3.8  22:10.56 java
   6769 root      20   0   13.2g 627080  29048 S 404.0   3.8  22:14.60 java
   6769 root      20   0   13.2g 627080  29048 S 401.0   3.8  22:18.61 java
   6769 root      20   0   13.2g 627080  29048 S 397.0   3.8  22:22.62 java
   6769 root      20   0   13.2g 627872  29048 S 395.0   3.8  22:26.57 java
   6769 root      20   0   13.2g 628120  29048 S 403.0   3.9  22:30.60 java
   6769 root      20   0   13.2g 629128  29048 S 406.0   3.9  22:34.66 java
   6769 root      20   0   13.2g 629128  29048 S 399.0   3.9  22:38.65 java
   6769 root      20   0   13.2g 629256  29048 S 401.0   3.9  22:42.66 java
   6769 root      20   0   13.2g 629256  29048 S 394.0   3.9  22:46.60 java
   6769 root      20   0   13.2g 629256  29048 S 406.0   3.9  22:50.66 java
   6769 root      20   0   13.2g 629340  29048 S 395.0   3.9  22:54.61 java
   6769 root      20   0   13.2g 629468  29048 S 406.0   3.9  22:58.67 java
   6769 root      20   0   13.2g 704628  29048 S 393.1   4.3  23:02.64 java
   6769 root      20   0   13.2g 704628  29048 S 404.0   4.3  23:06.68 java
   6769 root      20   0   13.2g 704628  29048 S 399.0   4.3  23:10.67 java
   6769 root      20   0   13.2g 704932  29048 S 401.0   4.3  23:14.68 java
   6769 root      20   0   13.2g 704932  29048 S 400.0   4.3  23:18.68 java
   6769 root      20   0   13.2g 705068  29048 S 403.0   4.3  23:22.71 java
   6769 root      20   0   13.2g 705188  29048 S 400.0   4.3  23:26.71 java
   6769 root      20   0   13.2g 705188  29048 S 399.0   4.3  23:30.70 java
   6769 root      20   0   13.2g 705188  29048 S 399.0   4.3  23:34.69 java
   6769 root      20   0   13.2g 705188  29048 S 402.0   4.3  23:38.71 java
   6769 root      20   0   13.2g 705188  29048 S 398.0   4.3  23:42.73 java
   6769 root      20   0   13.2g 705340  29048 S 398.0   4.3  23:46.71 java
   6769 root      20   0   13.2g 705340  29048 S 401.0   4.3  23:50.72 java
   6769 root      20   0   13.2g 705340  29048 S 400.0   4.3  23:54.72 java
   6769 root      20   0   13.2g 705340  29048 S 401.0   4.3  23:58.73 java
   6769 root      20   0   13.2g 705340  29048 S 401.0   4.3  24:02.74 java
   6769 root      20   0   13.2g 705340  29048 S 399.0   4.3  24:06.73 java
   6769 root      20   0   13.2g 705340  29048 S 403.0   4.3  24:10.76 java
   6769 root      20   0   13.2g 705488  29048 S 399.0   4.3  24:14.75 java
   6769 root      20   0   13.2g 705636  29048 S 400.0   4.3  24:18.75 java
   6769 root      20   0   13.2g 705796  29048 S 397.0   4.3  24:22.76 java
   6769 root      20   0   13.2g 705796  29048 S 402.0   4.3  24:26.78 java
   6769 root      20   0   13.2g 705944  29048 S 397.0   4.3  24:30.75 java
   6769 root      20   0   13.2g 706144  29048 S 398.0   4.3  24:34.73 java
   6769 root      20   0   13.2g 706344  29048 S 405.0   4.3  24:38.78 java
   6769 root      20   0   13.2g 706344  29048 S 398.0   4.3  24:42.76 java
   6769 root      20   0   13.2g 706344  29048 S 405.0   4.3  24:46.81 java
   6769 root      20   0   13.2g 706344  29048 S 397.0   4.3  24:50.78 java
   6769 root      20   0   13.2g 706500  29048 S 400.0   4.3  24:54.78 java
   6769 root      20   0   13.2g 706900  29048 S 401.0   4.3  24:58.79 java
   6769 root      20   0   13.2g 706900  29048 S 397.0   4.3  25:02.80 java
   6769 root      20   0   13.2g 706900  29048 S 400.0   4.3  25:06.80 java
   6769 root      20   0   13.2g 706900  29048 S 402.0   4.3  25:10.82 java
   6769 root      20   0   13.2g 706900  29048 S 398.0   4.3  25:14.80 java
   6769 root      20   0   13.2g 706900  29048 S 401.0   4.3  25:18.
