Running 1m test @ http://erik-pc.local:8080/fruits
  4 threads and 100 connections
  Thread calibration: mean lat.: 37.080ms, rate sampling interval: 134ms
  Thread calibration: mean lat.: 38.792ms, rate sampling interval: 143ms
  Thread calibration: mean lat.: 40.748ms, rate sampling interval: 157ms
  Thread calibration: mean lat.: 44.100ms, rate sampling interval: 159ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    80.56ms   91.45ms 717.82ms   87.09%
    Req/Sec     3.87k     0.97k    6.79k    60.04%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   50.49ms
 75.000%   86.97ms
 90.000%  210.94ms
 99.000%  425.47ms
 99.900%  556.54ms
 99.990%  681.47ms
 99.999%  705.53ms
100.000%  718.34ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.375     0.000000            1         1.00
      10.815     0.100000        76952         1.11
      22.639     0.200000       153966         1.25
      32.895     0.300000       230964         1.43
      42.143     0.400000       308053         1.67
      50.495     0.500000       384828         2.00
      54.431     0.550000       423209         2.22
      58.463     0.600000       461858         2.50
      63.167     0.650000       500240         2.86
      71.679     0.700000       538693         3.33
      86.975     0.750000       577184         4.00
      97.151     0.775000       596330         4.44
     109.887     0.800000       615590         5.00
     126.335     0.825000       634788         5.71
     148.479     0.850000       654002         6.67
     177.151     0.875000       673275         8.00
     193.407     0.887500       682877         8.89
     210.943     0.900000       692530        10.00
     229.759     0.912500       702144        11.43
     249.471     0.925000       711728        13.33
     271.103     0.937500       721366        16.00
     282.879     0.943750       726215        17.78
     295.167     0.950000       731022        20.00
     308.479     0.956250       735778        22.86
     323.327     0.962500       740609        26.67
     339.967     0.968750       745384        32.00
     349.695     0.971875       747800        35.56
     360.447     0.975000       750226        40.00
     371.455     0.978125       752597        45.71
     383.743     0.981250       754998        53.33
     397.055     0.984375       757400        64.00
     404.223     0.985938       758617        71.11
     411.903     0.987500       759820        80.00
     420.095     0.989062       761010        91.43
     429.311     0.990625       762212       106.67
     439.807     0.992188       763423       128.00
     445.695     0.992969       764032       142.22
     452.607     0.993750       764613       160.00
     460.543     0.994531       765219       182.86
     470.015     0.995313       765811       213.33
     481.535     0.996094       766412       256.00
     488.447     0.996484       766715       284.44
     496.127     0.996875       767015       320.00
     504.831     0.997266       767312       365.71
     514.047     0.997656       767617       426.67
     524.799     0.998047       767916       512.00
     529.919     0.998242       768063       568.89
     536.063     0.998437       768224       640.00
     542.207     0.998633       768370       731.43
     549.375     0.998828       768521       853.33
     557.055     0.999023       768664      1024.00
     563.199     0.999121       768739      1137.78
     570.367     0.999219       768816      1280.00
     580.607     0.999316       768896      1462.86
     591.359     0.999414       768967      1706.67
     609.791     0.999512       769039      2048.00
     624.639     0.999561       769077      2275.56
     634.367     0.999609       769114      2560.00
     642.047     0.999658       769152      2925.71
     649.215     0.999707       769191      3413.33
     657.919     0.999756       769228      4096.00
     662.015     0.999780       769246      4551.11
     665.599     0.999805       769264      5120.00
     669.183     0.999829       769283      5851.43
     673.791     0.999854       769305      6826.67
     677.887     0.999878       769323      8192.00
     679.423     0.999890       769330      9102.22
     681.983     0.999902       769339     10240.00
     684.543     0.999915       769350     11702.86
     686.591     0.999927       769359     13653.33
     689.151     0.999939       769368     16384.00
     690.175     0.999945       769374     18204.44
     691.711     0.999951       769378     20480.00
     692.735     0.999957       769383     23405.71
     694.783     0.999963       769387     27306.67
     696.319     0.999969       769392     32768.00
     697.343     0.999973       769393     36408.89
     699.903     0.999976       769397     40960.00
     700.415     0.999979       769398     46811.43
     701.439     0.999982       769400     54613.33
     704.511     0.999985       769403     65536.00
     705.023     0.999986       769405     72817.78
     705.023     0.999988       769405     81920.00
     705.535     0.999989       769406     93622.86
     707.071     0.999991       769407    109226.67
     708.607     0.999992       769409    131072.00
     708.607     0.999993       769409    145635.56
     709.631     0.999994       769410    163840.00
     709.631     0.999995       769410    187245.71
     710.143     0.999995       769411    218453.33
     711.679     0.999996       769412    262144.00
     711.679     0.999997       769412    291271.11
     711.679     0.999997       769412    327680.00
     711.679     0.999997       769412    374491.43
     713.727     0.999998       769413    436906.67
     713.727     0.999998       769413    524288.00
     713.727     0.999998       769413    582542.22
     713.727     0.999998       769413    655360.00
     713.727     0.999999       769413    748982.86
     718.335     0.999999       769414    873813.33
     718.335     1.000000       769414          inf
#[Mean    =       80.557, StdDeviation   =       91.452]
#[Max     =      717.824, Total count    =       769414]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  921021 requests in 1.00m, 149.32MB read
Requests/sec:  15350.37
Transfer/sec:      2.49MB
