  69015 1001      20   0 2034272  72596  50696 S  66.7   0.4   0:00.17 application
  69015 1001      20   0 2634360 229240  50820 S 178.0   1.4   0:01.95 application
  69015 1001      20   0 3884724 312792  51252 S 171.0   1.9   0:03.66 application
  69015 1001      20   0 3889844 328120  51572 S 165.0   2.0   0:05.31 application
  69015 1001      20   0 3889844 330232  51572 S 163.0   2.0   0:06.94 application
  69015 1001      20   0 3889844 331288  51572 S 162.0   2.0   0:08.56 application
  69015 1001      20   0 3889844 331288  51572 S 163.4   2.0   0:10.21 application
  69015 1001      20   0 3890868 331288  51572 S 164.0   2.0   0:11.85 application
  69015 1001      20   0 3890868 331288  51572 S 165.0   2.0   0:13.50 application
  69015 1001      20   0 3890868 331288  51572 S 163.0   2.0   0:15.13 application
  69015 1001      20   0 3890868 331288  51572 S 163.0   2.0   0:16.76 application
  69015 1001      20   0 3890868 331288  51572 S 164.0   2.0   0:18.40 application
  69015 1001      20   0 3890868 331288  51572 S 163.0   2.0   0:20.03 application
  69015 1001      20   0 3890868 331288  51572 S 162.0   2.0   0:21.65 application
  69015 1001      20   0 3890868 331288  51572 S 164.0   2.0   0:23.29 application
  69015 1001      20   0 3890868 331612  51636 S 164.0   2.0   0:24.93 application
  69015 1001      20   0 3890868 331612  51636 S 164.0   2.0   0:26.57 application
  69015 1001      20   0 3890868 331612  51636 S 161.4   2.0   0:28.20 application
  69015 1001      20   0 3890868 331612  51636 S 163.0   2.0   0:29.83 application
  69015 1001      20   0 3890868 331612  51636 S 164.0   2.0   0:31.47 application
  69015 1001      20   0 3890868 331876  51636 S 164.0   2.0   0:33.11 application
  69015 1001      20   0 3890868 332376  51896 S 163.0   2.0   0:34.74 application
  69015 1001      20   0 3890868 332376  51896 S 164.0   2.0   0:36.38 application
  69015 1001      20   0 3890868 332376  51896 S 164.0   2.0   0:38.02 application
  69015 1001      20   0 3890868 332376  51896 S 164.0   2.0   0:39.66 application
  69015 1001      20   0 3890868 332376  51896 S 164.0   2.0   0:41.30 application
  69015 1001      20   0 3891892 332376  51896 S 164.0   2.0   0:42.94 application
  69015 1001      20   0 3891892 332376  51896 S 163.4   2.0   0:44.59 application
  69015 1001      20   0 3891892 332376  51896 S 164.0   2.0   0:46.23 application
  69015 1001      20   0 3891892 332640  51896 S 164.0   2.0   0:47.87 application
  69015 1001      20   0 3891892 332640  51896 S 163.0   2.0   0:49.50 application
  69015 1001      20   0 3891892 332640  51896 S 164.0   2.0   0:51.14 application
  69015 1001      20   0 3826324 334208  51896 S 165.0   2.0   0:52.79 application
  69015 1001      20   0 3826324 334208  51896 S 163.0   2.0   0:54.42 application
  69015 1001      20   0 3826324 334208  51896 S 164.0   2.0   0:56.06 application
  69015 1001      20   0 3826324 334208  51896 S 163.0   2.0   0:57.69 application
  69015 1001      20   0 3826324 334208  51896 S 162.4   2.0   0:59.33 application
  69015 1001      20   0 3826324 334208  51896 S 165.0   2.0   1:00.98 application
  69015 1001      20   0 3826324 334208  51896 S 163.0   2.0   1:02.61 application
  69015 1001      20   0 3826324 334472  51896 S 165.0   2.1   1:04.26 application
  69015 1001      20   0 3826324 334472  51896 S 162.0   2.1   1:05.88 application
  69015 1001      20   0 3826324 334628  51896 S 163.0   2.1   1:07.51 application
  69015 1001      20   0 3819152 334676  51896 S 165.0   2.1   1:09.16 application
  69015 1001      20   0 3819152 334676  51896 S 163.0   2.1   1:10.79 application
  69015 1001      20   0 3819152 335200  51896 S 162.0   2.1   1:12.41 application
  69015 1001      20   0 3819152 335200  51896 S 164.0   2.1   1:14.05 application
  69015 1001      20   0 3819152 335200  51896 S 163.0   2.1   1:15.68 application
  69015 1001      20   0 3819152 335200  51896 S 161.4   2.1   1:17.31 application
  69015 1001      20   0 3819152 335200  51896 S 164.0   2.1   1:18.95 application
  69015 1001      20   0 3819
