  17209 1001      20   0 1291692 315468  42228 S   0.0   1.9   5:48.37 application
  17209 1001      20   0 1291692 315732  42228 S 196.0   1.9   5:50.33 application
  17209 1001      20   0 1292716 315996  42228 S 298.0   1.9   5:53.31 application
  17209 1001      20   0 1293740 317052  42228 S 309.0   1.9   5:56.40 application
  17209 1001      20   0 1293740 317052  42228 S 300.0   1.9   5:59.40 application
  17209 1001      20   0 1293740 317052  42228 S 299.0   1.9   6:02.39 application
  17209 1001      20   0 1293740 317316  42228 S 303.0   1.9   6:05.42 application
  17209 1001      20   0 1293740 317316  42228 S 302.0   1.9   6:08.44 application
  17209 1001      20   0 1293740 317316  42228 S 305.9   1.9   6:11.53 application
  17209 1001      20   0 1293740 317316  42228 S 300.0   1.9   6:14.53 application
  17209 1001      20   0 1293740 317316  42228 S 289.0   1.9   6:17.42 application
  17209 1001      20   0 1293740 317316  42228 S 299.0   1.9   6:20.41 application
  17209 1001      20   0 1293740 317316  42228 S 291.0   1.9   6:23.32 application
  17209 1001      20   0 1293740 317316  42228 S 299.0   1.9   6:26.31 application
  17209 1001      20   0 1293740 317316  42228 S 304.0   1.9   6:29.35 application
  17209 1001      20   0 1293740 317316  42228 S 300.0   1.9   6:32.38 application
  17209 1001      20   0 1293740 317316  42228 S 300.0   1.9   6:35.38 application
  17209 1001      20   0 1293740 317316  42228 S 297.0   1.9   6:38.35 application
  17209 1001      20   0 1293740 317316  42228 S 295.0   1.9   6:41.30 application
  17209 1001      20   0 1293740 317316  42228 S 297.0   1.9   6:44.27 application
  17209 1001      20   0 1293740 317316  42228 S 288.0   1.9   6:47.15 application
  17209 1001      20   0 1293740 317316  42228 S 289.0   1.9   6:50.04 application
  17209 1001      20   0 1293740 317316  42228 S 291.1   1.9   6:52.98 application
  17209 1001      20   0 1293740 317316  42228 S 295.0   1.9   6:55.93 application
  17209 1001      20   0 1293740 317316  42228 S 297.0   1.9   6:58.90 application
  17209 1001      20   0 1293740 317316  42228 S 296.0   1.9   7:01.86 application
  17209 1001      20   0 1293740 317316  42228 S 303.0   1.9   7:04.89 application
  17209 1001      20   0 1293740 317316  42228 S 305.0   1.9   7:07.94 application
  17209 1001      20   0 1293740 317316  42228 S 309.0   1.9   7:11.03 application
  17209 1001      20   0 1293740 317316  42228 S 303.0   1.9   7:14.06 application
  17209 1001      20   0 1293740 317316  42228 S 298.0   1.9   7:17.07 application
  17209 1001      20   0 1293740 317316  42228 S 292.0   1.9   7:19.99 application
  17209 1001      20   0 1293740 317316  42228 S 303.0   1.9   7:23.02 application
  17209 1001      20   0 1293740 317316  42228 S 311.0   1.9   7:26.13 application
  17209 1001      20   0 1293740 317316  42228 S 296.0   1.9   7:29.09 application
  17209 1001      20   0 1293740 317316  42228 S 300.0   1.9   7:32.09 application
  17209 1001      20   0 1293740 317316  42228 S 309.0   1.9   7:35.18 application
  17209 1001      20   0 1293740 317316  42228 S 308.0   1.9   7:38.26 application
  17209 1001      20   0 1293740 317316  42228 S 299.0   1.9   7:41.28 application
  17209 1001      20   0 1293740 317316  42228 S 301.0   1.9   7:44.29 application
  17209 1001      20   0 1293740 317316  42228 S 300.0   1.9   7:47.29 application
  17209 1001      20   0 1293740 317316  42228 S 298.0   1.9   7:50.27 application
  17209 1001      20   0 1293740 317316  42228 S 296.0   1.9   7:53.23 application
  17209 1001      20   0 1293740 317316  42228 S 296.0   1.9   7:56.19 application
  17209 1001      20   0 1293740 317316  42228 S 298.0   1.9   7:59.17 application
  17209 1001      20   0 1293740 317316  42228 S 299.0   1.9   8:02.16 application
  17209 1001      20   0 1293740 317316  42228 S 297.0   1.9   8:05.16 application
  17209 1001      20   0 1293740 317316  42228 S 297.0   1.9   8:08.13 application
  17209 1001      20   0 1293740 317316  42228 S 296.0   1.9   8:11.09 application
  17209 1001      20   0 1293
