  17209 1001      20   0 1309100 332952  42292 S   0.0   2.0  27:23.99 application
  17209 1001      20   0 1310124 333480  42292 S 379.2   2.0  27:27.82 application
  17209 1001      20   0 1310124 333744  42292 S 401.0   2.0  27:31.83 application
  17209 1001      20   0 1310124 333744  42292 S 401.0   2.0  27:35.84 application
  17209 1001      20   0 1310124 334008  42292 S 402.0   2.0  27:39.86 application
  17209 1001      20   0 1310124 334008  42292 S 400.0   2.0  27:43.86 application
  17209 1001      20   0 1310124 334008  42292 S 400.0   2.0  27:47.86 application
  17209 1001      20   0 1310124 334008  42292 S 403.0   2.0  27:51.89 application
  17209 1001      20   0 1311148 334008  42292 S 396.0   2.0  27:55.89 application
  17209 1001      20   0 1311148 334008  42292 S 400.0   2.0  27:59.89 application
  17209 1001      20   0 1311148 334008  42292 S 404.0   2.0  28:03.93 application
  17209 1001      20   0 1311148 334272  42292 S 399.0   2.0  28:07.92 application
  17209 1001      20   0 1311148 334272  42292 S 400.0   2.0  28:11.92 application
  17209 1001      20   0 1311148 334272  42292 S 401.0   2.0  28:15.93 application
  17209 1001      20   0 1311148 334272  42292 S 401.0   2.0  28:19.94 application
  17209 1001      20   0 1311148 334272  42292 S 401.0   2.0  28:23.95 application
  17209 1001      20   0 1311148 334272  42292 S 400.0   2.0  28:27.99 application
  17209 1001      20   0 1311148 334536  42292 S 400.0   2.1  28:31.99 application
  17209 1001      20   0 1311148 335064  42292 S 398.0   2.1  28:35.97 application
  17209 1001      20   0 1311148 335064  42292 S 403.0   2.1  28:40.00 application
  17209 1001      20   0 1311148 335064  42292 S 401.0   2.1  28:44.01 application
  17209 1001      20   0 1311148 335064  42292 S 401.0   2.1  28:48.02 application
  17209 1001      20   0 1311148 335328  42292 S 404.0   2.1  28:52.06 application
  17209 1001      20   0 1312172 335328  42292 S 393.1   2.1  28:56.03 application
  17209 1001      20   0 1312172 335328  42292 S 399.0   2.1  29:00.02 application
  17209 1001      20   0 1312172 335328  42292 S 400.0   2.1  29:04.02 application
  17209 1001      20   0 1312172 335328  42292 S 400.0   2.1  29:08.02 application
  17209 1001      20   0 1312172 335592  42292 S 403.0   2.1  29:12.05 application
  17209 1001      20   0 1312172 335592  42292 S 397.0   2.1  29:16.02 application
  17209 1001      20   0 1312172 335592  42292 S 408.0   2.1  29:20.10 application
  17209 1001      20   0 1312172 335592  42292 S 394.1   2.1  29:24.08 application
  17209 1001      20   0 1312172 335592  42292 S 403.0   2.1  29:28.11 application
  17209 1001      20   0 1312172 335856  42292 S 399.0   2.1  29:32.10 application
  17209 1001      20   0 1312172 335856  42292 S 401.0   2.1  29:36.11 application
  17209 1001      20   0 1312172 335856  42292 S 402.0   2.1  29:40.13 application
  17209 1001      20   0 1312172 336120  42292 S 400.0   2.1  29:44.13 application
  17209 1001      20   0 1312172 336120  42292 S 401.0   2.1  29:48.14 application
  17209 1001      20   0 1312172 336120  42292 S 398.0   2.1  29:52.12 application
  17209 1001      20   0 1313196 336120  42292 S 398.0   2.1  29:56.14 application
  17209 1001      20   0 1313196 336384  42292 S 401.0   2.1  30:00.15 application
  17209 1001      20   0 1313196 336384  42292 S 400.0   2.1  30:04.15 application
  17209 1001      20   0 1313196 336648  42292 S 399.0   2.1  30:08.14 application
  17209 1001      20   0 1313196 336648  42292 S 401.0   2.1  30:12.15 application
  17209 1001      20   0 1313196 336648  42292 S 400.0   2.1  30:16.15 application
  17209 1001      20   0 1313196 336648  42292 S 399.0   2.1  30:20.14 application
  17209 1001      20   0 1313196 336648  42292 S 396.0   2.1  30:24.14 application
  17209 1001      20   0 1313196 336648  42292 S 401.0   2.1  30:28.15 application
  17209 1001      20   0 1313196 336912  42292 S 399.0   2.1  30:32.14 application
  17209 1001      20   0 1313196 337176  42292 S 400.0   2.1  30:36.14 application
  17209 1001      20   0 1313
