  42465 root      20   0   13.6g 663012  29044 S 120.0   4.1   4:54.26 java
  42465 root      20   0   13.6g 663092  29044 S 184.0   4.1   4:56.10 java
  42465 root      20   0   13.6g 663092  29044 S 182.0   4.1   4:57.92 java
  42465 root      20   0   13.6g 663092  29044 S 183.0   4.1   4:59.75 java
  42465 root      20   0   13.6g 663092  29044 S 183.0   4.1   5:01.58 java
  42465 root      20   0   13.6g 663092  29044 S 183.0   4.1   5:03.41 java
  42465 root      20   0   13.6g 663516  29044 S 183.0   4.1   5:05.24 java
  42465 root      20   0   13.6g 663516  29044 S 180.0   4.1   5:07.04 java
  42465 root      20   0   13.6g 663768  29044 S 183.0   4.1   5:08.87 java
  42465 root      20   0   13.6g 663768  29044 S 180.2   4.1   5:10.69 java
  42465 root      20   0   13.6g 663768  29044 S 183.0   4.1   5:12.52 java
  42465 root      20   0   13.6g 663768  29044 S 182.0   4.1   5:14.34 java
  42465 root      20   0   13.6g 663768  29044 S 182.0   4.1   5:16.16 java
  42465 root      20   0   13.6g 663768  29044 S 182.0   4.1   5:17.98 java
  42465 root      20   0   13.6g 663768  29044 S 182.0   4.1   5:19.80 java
  42465 root      20   0   13.6g 663920  29044 S 183.0   4.1   5:21.63 java
  42465 root      20   0   13.6g 663920  29044 S 182.0   4.1   5:23.45 java
  42465 root      20   0   13.6g 663920  29044 S 182.0   4.1   5:25.27 java
  42465 root      20   0   13.6g 664076  29044 S 182.0   4.1   5:27.09 java
  42465 root      20   0   13.6g 664076  29044 S 181.2   4.1   5:28.92 java
  42465 root      20   0   13.6g 664076  29044 S 182.0   4.1   5:30.74 java
  42465 root      20   0   13.6g 664184  29044 S 182.0   4.1   5:32.56 java
  42465 root      20   0   13.6g 664184  29044 S 184.0   4.1   5:34.40 java
  42465 root      20   0   13.6g 664184  29044 S 184.0   4.1   5:36.24 java
  42465 root      20   0   13.6g 664184  29044 S 183.0   4.1   5:38.07 java
  42465 root      20   0   13.6g 664184  29044 S 182.0   4.1   5:39.89 java
  42465 root      20   0   13.6g 664184  29044 S 183.0   4.1   5:41.72 java
  42465 root      20   0   13.6g 664184  29044 S 181.0   4.1   5:43.53 java
  42465 root      20   0   13.6g 664184  29044 S 182.0   4.1   5:45.35 java
  42465 root      20   0   13.6g 664184  29044 S 181.2   4.1   5:47.18 java
  42465 root      20   0   13.6g 664184  29044 S 182.0   4.1   5:49.00 java
  42465 root      20   0   13.6g 664184  29044 S 183.0   4.1   5:50.83 java
  42465 root      20   0   13.6g 664184  29044 S 184.0   4.1   5:52.67 java
  42465 root      20   0   13.6g 664336  29044 S 181.0   4.1   5:54.48 java
  42465 root      20   0   13.6g 664336  29044 S 181.0   4.1   5:56.29 java
  42465 root      20   0   13.6g 664628  29044 S 184.0   4.1   5:58.13 java
  42465 root      20   0   13.6g 664628  29044 S 182.0   4.1   5:59.95 java
  42465 root      20   0   13.6g 664772  29044 S 182.0   4.1   6:01.77 java
  42465 root      20   0   13.6g 664832  29044 S 186.0   4.1   6:03.63 java
  42465 root      20   0   13.6g 664832  29044 S 182.2   4.1   6:05.47 java
  42465 root      20   0   13.6g 664968  29044 S 183.0   4.1   6:07.30 java
  42465 root      20   0   13.6g 665104  29044 S 183.0   4.1   6:09.13 java
  42465 root      20   0   13.6g 665356  29044 S 183.0   4.1   6:10.96 java
  42465 root      20   0   13.6g 665356  29044 S 183.0   4.1   6:12.79 java
  42465 root      20   0   13.6g 665356  29044 S 182.0   4.1   6:14.61 java
  42465 root      20   0   13.6g 665356  29044 S 183.0   4.1   6:16.44 java
  42465 root      20   0   13.6g 665356  29044 S 182.0   4.1   6:18.26 java
  42465 root      20   0   13.6g 665356  29044 S 184.0   4.1   6:20.10 java
  42465 root      20   0   13.6g 665356  29044 S 182.0   4.1   6:21.92 java
  42465 root      20   0   13.6g 665356  29044 S 181.2   4.1   6:23.75 java
  42465 root      20   0   13.6g 665356  29044 S 183.0   4.1   6:25.58 java
  42465 root      20   0   13.6g 665356  29044 S 183.0   4.1   6:27.41 java
  42465 root      20   0   13.6g 665356  29044 S 182.0   4.1   6:29.23 java
  42465 root      20   0   13.6g 665356  29044 S 183.0   4.1   6:31.
