  70060 1001      20   0 2336368  76232  50656 S 100.0   0.5   0:00.21 application
  70060 1001      20   0 3011212 232752  50656 S 189.0   1.4   0:02.10 application
  70060 1001      20   0 4476628 312656  51152 S 181.0   1.9   0:03.91 application
  70060 1001      20   0 4482772 328364  51600 S 176.0   2.0   0:05.67 application
  70060 1001      20   0 4482772 330476  51600 S 172.3   2.0   0:07.41 application
  70060 1001      20   0 4482772 331856  51664 S 173.0   2.0   0:09.14 application
  70060 1001      20   0 4482772 331856  51664 S 175.0   2.0   0:10.89 application
  70060 1001      20   0 4482772 332180  51728 S 174.0   2.0   0:12.63 application
  70060 1001      20   0 4482772 332180  51728 S 174.0   2.0   0:14.37 application
  70060 1001      20   0 4482772 332180  51728 S 175.0   2.0   0:16.12 application
  70060 1001      20   0 4482772 332564  51856 S 173.0   2.0   0:17.85 application
  70060 1001      20   0 4483796 332564  51856 S 174.0   2.0   0:19.59 application
  70060 1001      20   0 4483796 332564  51856 S 172.0   2.0   0:21.31 application
  70060 1001      20   0 4483796 332564  51856 S 175.0   2.0   0:23.06 application
  70060 1001      20   0 4483796 332564  51856 S 172.3   2.0   0:24.80 application
  70060 1001      20   0 4483796 332828  51856 S 172.0   2.0   0:26.52 application
  70060 1001      20   0 4483796 333092  51856 S 175.0   2.0   0:28.27 application
  70060 1001      20   0 4483796 333092  51856 S 173.0   2.0   0:30.00 application
  70060 1001      20   0 4483796 333092  51856 S 174.0   2.0   0:31.74 application
  70060 1001      20   0 4483796 333092  51856 S 174.0   2.0   0:33.48 application
  70060 1001      20   0 4483796 333092  51856 S 174.0   2.0   0:35.22 application
  70060 1001      20   0 4483796 333356  51856 S 173.0   2.0   0:36.95 application
  70060 1001      20   0 4483796 333356  51856 S 174.0   2.0   0:38.69 application
  70060 1001      20   0 4483796 333356  51856 S 175.0   2.0   0:40.44 application
  70060 1001      20   0 4484820 333676  51920 S 171.3   2.0   0:42.17 application
  70060 1001      20   0 4484820 333676  51920 S 174.0   2.0   0:43.91 application
  70060 1001      20   0 4484820 333940  51920 S 175.0   2.0   0:45.66 application
  70060 1001      20   0 4484820 334264  51984 S 174.0   2.0   0:47.40 application
  70060 1001      20   0 4484820 334264  51984 S 173.0   2.0   0:49.13 application
  70060 1001      20   0 4484820 334264  51984 S 174.0   2.0   0:50.87 application
  70060 1001      20   0 4484820 334264  51984 S 174.0   2.0   0:52.61 application
  70060 1001      20   0 4484820 334264  51984 S 174.0   2.0   0:54.35 application
  70060 1001      20   0 4419252 335756  51984 S 175.0   2.1   0:56.10 application
  70060 1001      20   0 4386468 336312  51984 S 172.0   2.1   0:57.82 application
  70060 1001      20   0 4379296 336760  51984 S 172.3   2.1   0:59.56 application
  70060 1001      20   0 4379296 337024  51984 S 173.0   2.1   1:01.29 application
  70060 1001      20   0 4379296 337024  51984 S 174.0   2.1   1:03.03 application
  70060 1001      20   0 4379296 337288  51984 S 174.0   2.1   1:04.77 application
  70060 1001      20   0 4379296 337288  51984 S 172.0   2.1   1:06.49 application
  70060 1001      20   0 4379296 337552  51984 S 174.0   2.1   1:08.23 application
  70060 1001      20   0 4379296 337552  51984 S 173.0   2.1   1:09.96 application
  70060 1001      20   0 4379296 337552  51984 S 174.0   2.1   1:11.70 application
  70060 1001      20   0 4379296 337552  51984 S 174.0   2.1   1:13.44 application
  70060 1001      20   0 4379296 337552  51984 S 175.0   2.1   1:15.19 application
  70060 1001      20   0 4379296 337552  51984 S 173.3   2.1   1:16.94 application
  70060 1001      20   0 4379296 337816  51984 S 174.0   2.1   1:18.68 application
  70060 1001      20   0 4379296 337816  51984 S 175.0   2.1   1:20.43 application
  70060 1001      20   0 4379296 337816  51984 S 173.0   2.1   1:22.16 application
  70060 1001      20   0 4379296 337816  51984 S 174.0   2.1   1:23.90 application
  70060 1001      20   0 4379
