  47280 1001      20   0 1038760  51624  41844 S  12.5   0.3   0:00.08 application
  47280 1001      20   0 1131944 148540  42160 S  86.0   0.9   0:00.94 application
  47280 1001      20   0 1258920 275260  42160 S 115.0   1.7   0:02.09 application
  47280 1001      20   0 1287592 307800  42516 S 106.0   1.9   0:03.15 application
  47280 1001      20   0 1287592 308592  42516 S 104.0   1.9   0:04.19 application
  47280 1001      20   0 1287592 310440  42516 S 105.0   1.9   0:05.24 application
  47280 1001      20   0 1287592 310440  42516 S 104.0   1.9   0:06.28 application
  47280 1001      20   0 1287592 310440  42516 S 103.0   1.9   0:07.32 application
  47280 1001      20   0 1287592 310440  42516 S 102.0   1.9   0:08.34 application
  47280 1001      20   0 1287592 310440  42516 S 103.0   1.9   0:09.37 application
  47280 1001      20   0 1287592 310440  42516 S 105.0   1.9   0:10.42 application
  47280 1001      20   0 1287592 311232  42516 S 104.0   1.9   0:11.46 application
  47280 1001      20   0 1287592 311232  42516 S 101.0   1.9   0:12.47 application
  47280 1001      20   0 1288616 312612  42580 S 102.0   1.9   0:13.49 application
  47280 1001      20   0 1288616 312612  42580 S 104.0   1.9   0:14.53 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:15.56 application
  47280 1001      20   0 1288616 312612  42580 S 102.0   1.9   0:16.59 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:17.62 application
  47280 1001      20   0 1288616 312612  42580 S 104.0   1.9   0:18.66 application
  47280 1001      20   0 1288616 312612  42580 S 102.0   1.9   0:19.68 application
  47280 1001      20   0 1288616 312612  42580 S 102.0   1.9   0:20.70 application
  47280 1001      20   0 1288616 312612  42580 S 104.0   1.9   0:21.74 application
  47280 1001      20   0 1288616 312612  42580 S 104.0   1.9   0:22.78 application
  47280 1001      20   0 1288616 312612  42580 S 105.0   1.9   0:23.83 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:24.87 application
  47280 1001      20   0 1288616 312612  42580 S 106.0   1.9   0:25.93 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:26.96 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:27.99 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:29.02 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:30.05 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:31.08 application
  47280 1001      20   0 1288616 312612  42580 S 105.0   1.9   0:32.13 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:33.17 application
  47280 1001      20   0 1288616 312612  42580 S 104.0   1.9   0:34.21 application
  47280 1001      20   0 1288616 312612  42580 S 102.0   1.9   0:35.23 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:36.26 application
  47280 1001      20   0 1288616 312612  42580 S 101.0   1.9   0:37.27 application
  47280 1001      20   0 1288616 312612  42580 S 102.0   1.9   0:38.29 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:39.32 application
  47280 1001      20   0 1288616 312612  42580 S 102.0   1.9   0:40.34 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:41.38 application
  47280 1001      20   0 1288616 312612  42580 S 102.0   1.9   0:42.40 application
  47280 1001      20   0 1288616 312612  42580 S 104.0   1.9   0:43.44 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:44.47 application
  47280 1001      20   0 1288616 312612  42580 S 104.0   1.9   0:45.51 application
  47280 1001      20   0 1288616 312612  42580 S 103.0   1.9   0:46.54 application
  47280 1001      20   0 1288616 312612  42580 S 104.0   1.9   0:47.58 application
  47280 1001      20   0 1288616 312612  42580 S 104.0   1.9   0:48.62 application
  47280 1001      20   0 1288616 312612  42580 S 105.0   1.9   0:49.67 application
  47280 1001      20   0 1288
