  47280 1001      20   0 1313192 336728  42964 S 173.3   2.1  31:20.23 application
  47280 1001      20   0 1313192 337256  42964 S 400.0   2.1  31:24.27 application
  47280 1001      20   0 1313192 337520  42964 S 401.0   2.1  31:28.28 application
  47280 1001      20   0 1313192 337520  42964 S 400.0   2.1  31:32.28 application
  47280 1001      20   0 1313192 337784  42964 S 400.0   2.1  31:36.28 application
  47280 1001      20   0 1313192 338048  42964 S 399.0   2.1  31:40.27 application
  47280 1001      20   0 1314216 338048  42964 S 401.0   2.1  31:44.28 application
  47280 1001      20   0 1314216 338048  42964 S 400.0   2.1  31:48.28 application
  47280 1001      20   0 1314216 338312  42964 S 396.0   2.1  31:52.28 application
  47280 1001      20   0 1314216 338312  42964 S 400.0   2.1  31:56.28 application
  47280 1001      20   0 1314216 338312  42964 S 401.0   2.1  32:00.29 application
  47280 1001      20   0 1314216 338312  42964 S 402.0   2.1  32:04.31 application
  47280 1001      20   0 1314216 338576  42964 S 401.0   2.1  32:08.32 application
  47280 1001      20   0 1314216 338576  42964 S 400.0   2.1  32:12.32 application
  47280 1001      20   0 1314216 338576  42964 S 401.0   2.1  32:16.33 application
  47280 1001      20   0 1314216 338840  42964 S 400.0   2.1  32:20.33 application
  47280 1001      20   0 1314216 338840  42964 S 401.0   2.1  32:24.34 application
  47280 1001      20   0 1314216 338840  42964 S 398.0   2.1  32:28.36 application
  47280 1001      20   0 1314216 339104  42964 S 399.0   2.1  32:32.35 application
  47280 1001      20   0 1314216 339104  42964 S 402.0   2.1  32:36.37 application
  47280 1001      20   0 1314216 339104  42964 S 401.0   2.1  32:40.38 application
  47280 1001      20   0 1314216 339104  42964 S 401.0   2.1  32:44.39 application
  47280 1001      20   0 1315240 339368  42964 S 401.0   2.1  32:48.40 application
  47280 1001      20   0 1315240 339368  42964 S 401.0   2.1  32:52.41 application
  47280 1001      20   0 1315240 339368  42964 S 400.0   2.1  32:56.41 application
  47280 1001      20   0 1315240 339368  42964 S 398.0   2.1  33:00.43 application
  47280 1001      20   0 1315240 339632  42964 S 399.0   2.1  33:04.42 application
  47280 1001      20   0 1315240 339632  42964 S 402.0   2.1  33:08.44 application
  47280 1001      20   0 1315240 339632  42964 S 401.0   2.1  33:12.45 application
  47280 1001      20   0 1315240 339632  42964 S 402.0   2.1  33:16.47 application
  47280 1001      20   0 1315240 339632  42964 S 401.0   2.1  33:20.48 application
  47280 1001      20   0 1315240 339632  42964 S 401.0   2.1  33:24.49 application
  47280 1001      20   0 1315240 339896  42964 S 397.0   2.1  33:28.50 application
  47280 1001      20   0 1315240 340160  42964 S 398.0   2.1  33:32.48 application
  47280 1001      20   0 1315240 340160  42964 S 403.0   2.1  33:36.51 application
  47280 1001      20   0 1315240 340160  42964 S 402.0   2.1  33:40.53 application
  47280 1001      20   0 1315240 340160  42964 S 397.0   2.1  33:44.50 application
  47280 1001      20   0 1316264 340160  42964 S 402.0   2.1  33:48.52 application
  47280 1001      20   0 1316264 340160  42964 S 404.0   2.1  33:52.56 application
  47280 1001      20   0 1316264 340424  42964 S 395.0   2.1  33:56.55 application
  47280 1001      20   0 1316264 340688  42964 S 402.0   2.1  34:00.57 application
  47280 1001      20   0 1316264 340688  42964 S 398.0   2.1  34:04.55 application
  47280 1001      20   0 1316264 340688  42964 S 402.0   2.1  34:08.57 application
  47280 1001      20   0 1316264 340688  42964 S 399.0   2.1  34:12.56 application
  47280 1001      20   0 1316264 340688  42964 S 402.0   2.1  34:16.58 application
  47280 1001      20   0 1316264 340688  42964 S 402.0   2.1  34:20.60 application
  47280 1001      20   0 1316264 340688  42964 S 400.0   2.1  34:24.60 application
  47280 1001      20   0 1316264 340688  42964 S 397.0   2.1  34:28.61 application
  47280 1001      20   0 1316264 340688  42964 S 402.0   2.1  34:32.63 application
  47280 1001      20   0 1316
