  47280 1001      20   0 1333672 358112  42964 S   0.0   2.2  47:20.02 application
  47280 1001      20   0 1333672 358640  42964 S 377.0   2.2  47:23.79 application
  47280 1001      20   0 1334696 358640  42964 S 397.0   2.2  47:27.80 application
  47280 1001      20   0 1334696 358640  42964 S 399.0   2.2  47:31.79 application
  47280 1001      20   0 1334696 358640  42964 S 400.0   2.2  47:35.79 application
  47280 1001      20   0 1334696 358904  42964 S 400.0   2.2  47:39.79 application
  47280 1001      20   0 1334696 359168  42964 S 401.0   2.2  47:43.80 application
  47280 1001      20   0 1334696 359168  42964 S 399.0   2.2  47:47.79 application
  47280 1001      20   0 1334696 359168  42964 S 400.0   2.2  47:51.79 application
  47280 1001      20   0 1334696 359168  42964 S 401.0   2.2  47:55.80 application
  47280 1001      20   0 1334696 359168  42964 S 396.0   2.2  47:59.80 application
  47280 1001      20   0 1334696 359168  42964 S 401.0   2.2  48:03.81 application
  47280 1001      20   0 1334696 359432  42964 S 400.0   2.2  48:07.81 application
  47280 1001      20   0 1334696 359696  42964 S 401.0   2.2  48:11.82 application
  47280 1001      20   0 1335720 359696  42964 S 401.0   2.2  48:15.83 application
  47280 1001      20   0 1335720 359696  42964 S 401.0   2.2  48:19.84 application
  47280 1001      20   0 1335720 359960  42964 S 401.0   2.2  48:23.85 application
  47280 1001      20   0 1335720 359960  42964 S 397.0   2.2  48:27.86 application
  47280 1001      20   0 1335720 360224  42964 S 401.0   2.2  48:31.87 application
  47280 1001      20   0 1335720 360224  42964 S 400.0   2.2  48:35.87 application
  47280 1001      20   0 1335720 360224  42964 S 402.0   2.2  48:39.89 application
  47280 1001      20   0 1335720 360488  42964 S 401.0   2.2  48:43.90 application
  47280 1001      20   0 1335720 360488  42964 S 400.0   2.2  48:47.90 application
  47280 1001      20   0 1335720 360488  42964 S 400.0   2.2  48:51.90 application
  47280 1001      20   0 1335720 360488  42964 S 403.0   2.2  48:55.93 application
  47280 1001      20   0 1335720 360488  42964 S 397.0   2.2  48:59.90 application
  47280 1001      20   0 1336744 360488  42964 S 401.0   2.2  49:03.95 application
  47280 1001      20   0 1336744 360488  42964 S 400.0   2.2  49:07.95 application
  47280 1001      20   0 1336744 360488  42964 S 401.0   2.2  49:11.96 application
  47280 1001      20   0 1336744 360488  42964 S 401.0   2.2  49:15.97 application
  47280 1001      20   0 1336744 360752  42964 S 401.0   2.2  49:19.98 application
  47280 1001      20   0 1336744 361016  42964 S 402.0   2.2  49:24.00 application
  47280 1001      20   0 1336744 361016  42964 S 400.0   2.2  49:28.00 application
  47280 1001      20   0 1336744 361280  42964 S 398.0   2.2  49:32.02 application
  47280 1001      20   0 1336744 361544  42964 S 401.0   2.2  49:36.03 application
  47280 1001      20   0 1336744 361808  42964 S 400.0   2.2  49:40.03 application
  47280 1001      20   0 1336744 361808  42964 S 401.0   2.2  49:44.04 application
  47280 1001      20   0 1336744 361808  42964 S 402.0   2.2  49:48.06 application
  47280 1001      20   0 1337768 361808  42964 S 400.0   2.2  49:52.06 application
  47280 1001      20   0 1337768 361808  42964 S 402.0   2.2  49:56.08 application
  47280 1001      20   0 1337768 361808  42964 S 400.0   2.2  50:00.08 application
  47280 1001      20   0 1337768 361808  42964 S 401.0   2.2  50:04.09 application
  47280 1001      20   0 1337768 361808  42964 S 396.0   2.2  50:08.09 application
  47280 1001      20   0 1337768 361808  42964 S 400.0   2.2  50:12.09 application
  47280 1001      20   0 1337768 362072  42964 S 401.0   2.2  50:16.10 application
  47280 1001      20   0 1337768 362072  42964 S 403.0   2.2  50:20.13 application
  47280 1001      20   0 1337768 362072  42964 S 398.0   2.2  50:24.11 application
  47280 1001      20   0 1337768 362336  42964 S 403.0   2.2  50:28.14 application
  47280 1001      20   0 1337768 362336  42964 S 400.0   2.2  50:32.14 application
  47280 1001      20   0 1338
